y,default,age,balance,loan,day,duration,campaign,pdays,previous
1,0,52,657,0,7,398,2,460,2
1,0,37,1315,0,30,224,1,-1,0
0,0,51,1466,0,7,406,2,-1,0
0,0,41,879,1,7,60,4,-1,0
0,0,35,293,0,30,521,2,-1,0
0,0,38,424,0,17,279,1,-1,0
0,0,34,1831,0,20,203,2,-1,0
0,0,39,111,0,18,201,2,-1,0
0,0,34,455,0,20,372,3,-1,0
1,0,27,-195,0,18,391,1,-1,0
0,0,32,3616,0,14,165,2,-1,0
0,0,57,14093,0,11,231,5,-1,0
0,0,41,1567,0,1,291,2,-1,0
0,0,41,5426,0,14,149,2,-1,0
0,0,30,261,0,19,233,1,137,20
0,0,36,2843,0,12,473,1,182,1
1,0,31,406,0,4,736,1,-1,0
0,0,36,0,0,6,337,1,-1,0
0,0,38,493,0,11,553,1,367,7
0,0,49,5996,0,21,345,2,-1,0
0,0,57,3777,0,13,65,2,-1,0
0,0,34,524,0,13,9,1,-1,0
0,0,32,574,0,14,259,2,145,3
0,0,37,427,1,9,371,3,-1,0
0,0,33,483,0,3,280,2,-1,0
1,0,56,3391,0,21,243,1,-1,0
0,0,27,0,0,23,435,3,-1,0
1,0,21,2488,0,30,258,6,169,3
0,0,58,1517,0,29,7,5,-1,0
0,0,32,217,1,15,317,5,-1,0
0,0,33,22,0,30,76,2,207,1
1,0,25,331,0,26,170,4,-1,0
1,0,25,505,1,17,386,2,-1,0
0,0,30,1808,0,18,83,2,-1,0
0,0,22,4111,1,19,65,1,-1,0
0,0,39,52,0,13,69,1,-1,0
0,0,46,25,0,17,564,2,-1,0
0,0,31,1890,0,21,588,1,-1,0
0,0,45,419,0,18,113,4,-1,0
0,0,32,2693,0,21,16,1,-1,0
0,0,36,-231,1,15,779,2,-1,0
0,1,51,-55,0,11,281,2,266,6
1,0,34,462,0,21,1877,3,-1,0
0,0,24,119,0,15,51,1,-1,0
0,0,45,586,1,28,32,3,-1,0
0,0,32,228,0,5,176,1,288,3
1,0,77,4659,0,14,161,1,-1,0
0,0,41,168,0,18,187,3,-1,0
0,0,37,0,0,26,24,1,-1,0
0,1,43,-715,0,30,67,3,-1,0
0,0,48,0,0,8,85,1,168,2
0,0,27,769,0,9,317,2,-1,0
0,0,33,0,0,28,236,10,-1,0
0,0,29,428,1,7,54,1,345,2
0,0,34,0,0,5,71,1,-1,0
1,0,52,-970,0,4,489,1,-1,0
0,0,60,6313,0,19,39,2,-1,0
0,0,32,948,0,12,204,2,-1,0
0,0,32,0,0,22,455,2,-1,0
0,0,56,1877,0,30,86,1,-1,0
0,0,31,874,0,18,190,2,-1,0
0,0,42,323,1,8,280,2,-1,0
0,0,35,106,1,11,588,2,-1,0
0,0,56,1906,1,19,45,9,-1,0
0,0,48,1152,0,21,168,5,-1,0
0,0,46,179,0,29,194,4,436,1
0,0,37,391,0,8,103,3,-1,0
0,0,41,89,0,6,333,2,-1,0
0,0,36,442,1,29,102,3,-1,0
0,1,45,-249,1,1,92,1,-1,0
0,0,55,8104,0,6,213,2,-1,0
0,0,39,501,0,26,289,1,-1,0
0,0,35,308,0,22,77,2,-1,0
1,0,55,602,0,1,324,3,90,2
0,0,55,273,0,29,84,3,183,3
0,0,27,50,0,29,168,1,-1,0
0,0,34,1641,0,17,380,1,-1,0
0,0,34,20,0,4,10,1,-1,0
0,0,25,4590,0,28,199,2,-1,0
0,0,41,-256,1,9,35,3,-1,0
0,0,43,978,1,26,82,2,-1,0
1,0,28,80,0,20,676,2,146,2
0,0,31,2104,0,3,455,1,-1,0
0,0,78,499,0,16,80,4,-1,0
0,0,45,1269,0,29,549,2,-1,0
0,0,48,310,0,6,135,1,-1,0
0,0,32,1143,1,10,412,1,-1,0
0,0,42,2980,0,20,101,3,-1,0
0,0,37,37,0,28,253,2,-1,0
0,0,40,462,1,6,272,1,335,4
0,0,32,1031,0,17,84,1,-1,0
0,0,42,9009,0,20,135,2,-1,0
0,0,43,-465,1,23,166,1,-1,0
0,0,44,5181,1,31,18,7,-1,0
0,0,37,176,0,5,147,2,347,1
0,0,37,1699,0,9,63,1,-1,0
0,0,37,0,0,17,65,2,119,1
0,0,28,172,1,2,194,2,-1,0
0,0,32,0,1,11,333,2,-1,0
0,0,34,6979,0,15,14,5,-1,0
0,0,40,6,0,11,140,1,-1,0
0,0,34,-62,0,16,109,3,-1,0
0,0,34,1972,0,23,61,2,-1,0
0,0,34,899,0,19,377,3,7,4
0,0,37,21,0,2,96,1,271,2
0,0,36,23,0,8,152,2,347,1
1,0,56,-1206,0,15,382,2,-1,0
0,0,49,0,1,23,97,6,-1,0
0,0,33,215,0,29,543,12,-1,0
0,0,30,1372,0,20,240,2,-1,0
0,0,36,1981,0,17,48,2,-1,0
0,0,23,9216,0,5,471,2,-1,0
0,0,57,39,0,30,354,3,-1,0
0,0,27,5563,0,30,435,2,-1,0
0,0,38,1,1,21,152,2,-1,0
0,0,42,782,0,3,285,1,-1,0
1,0,75,3771,0,15,185,1,181,2
0,0,34,992,0,4,301,1,88,2
0,0,48,1526,0,6,273,2,-1,0
1,0,35,2658,0,19,768,2,141,3
0,0,39,1315,0,19,1337,4,126,1
1,0,29,455,0,21,403,1,-1,0
0,0,45,0,0,18,139,2,-1,0
0,0,42,2030,1,9,196,1,-1,0
0,0,29,1599,0,8,115,1,61,1
0,0,38,-196,0,2,60,1,271,1
0,0,56,1333,0,28,17,14,-1,0
0,0,36,9149,0,13,141,3,-1,0
0,0,25,-350,0,23,95,3,-1,0
0,0,38,432,0,15,10,2,373,1
0,0,57,11494,0,19,198,1,-1,0
0,1,31,-253,0,12,220,4,-1,0
1,0,42,372,0,3,654,2,-1,0
0,0,45,1410,0,11,71,2,-1,0
0,0,30,975,0,13,256,2,351,2
0,0,49,305,1,10,834,10,-1,0
0,0,49,400,0,21,151,3,-1,0
0,0,53,-22,0,31,20,3,-1,0
0,0,37,4030,0,26,178,5,-1,0
0,0,49,365,0,26,59,2,-1,0
0,0,41,204,0,13,111,7,-1,0
0,0,54,1691,0,20,186,1,-1,0
0,0,32,406,0,6,227,1,-1,0
0,0,33,-204,0,15,297,3,-1,0
0,0,33,359,0,20,210,1,242,1
0,0,36,123,0,18,9,1,-1,0
0,0,35,0,1,23,112,1,62,6
0,0,52,142,0,25,112,6,-1,0
0,0,40,3571,0,9,222,3,-1,0
0,0,44,33,0,13,195,3,351,10
0,0,45,0,0,26,768,2,91,5
0,0,30,3096,0,26,123,1,-1,0
0,1,48,20,0,27,145,3,-1,0
0,0,33,3576,0,2,124,1,308,2
0,0,57,206,0,5,216,3,-1,0
0,0,57,7082,0,6,69,3,-1,0
0,0,51,1634,0,22,168,4,-1,0
0,0,34,1,0,22,483,7,-1,0
0,0,50,4012,0,19,690,3,-1,0
0,0,44,3762,0,28,125,12,-1,0
0,0,27,-247,1,4,344,2,-1,0
0,0,50,606,0,14,673,2,-1,0
0,0,36,0,0,28,60,1,250,1
0,0,42,-189,0,12,247,2,-1,0
0,0,32,0,0,27,123,2,-1,0
0,0,42,484,0,11,144,2,-1,0
0,0,43,0,1,8,9,2,172,5
0,0,31,395,0,9,155,3,-1,0
0,0,32,2349,0,14,134,5,-1,0
0,0,55,410,1,11,221,2,-1,0
0,0,58,3401,0,3,84,3,265,2
0,0,46,222,0,8,71,2,-1,0
0,0,55,989,1,23,246,4,-1,0
0,0,34,415,1,23,361,2,-1,0
0,0,28,16,0,12,119,4,-1,0
0,0,42,7190,0,29,375,2,-1,0
1,0,29,482,1,10,1097,3,-1,0
0,0,54,209,1,25,97,1,-1,0
0,0,32,0,0,26,181,2,-1,0
0,0,39,5803,0,2,83,3,-1,0
0,0,53,624,1,21,180,4,-1,0
0,0,58,883,0,18,543,1,78,2
0,0,40,1516,1,23,373,1,-1,0
0,0,29,872,0,7,230,1,-1,0
0,0,33,-988,1,15,83,3,-1,0
0,0,38,902,0,31,58,13,-1,0
0,0,56,1007,0,29,88,6,-1,0
0,0,40,0,0,2,297,1,28,3
1,0,24,174,1,18,487,1,-1,0
0,0,46,12186,0,20,29,3,-1,0
0,0,35,524,0,21,484,4,-1,0
0,0,35,0,0,21,262,4,-1,0
0,0,34,4,0,15,644,1,-1,0
0,0,35,11219,0,12,699,2,79,1
0,0,38,0,0,28,247,2,-1,0
0,0,50,5776,0,18,49,3,-1,0
0,0,51,37,0,13,341,1,-1,0
0,0,59,593,0,13,64,2,-1,0
0,0,32,1148,0,20,121,1,-1,0
0,0,37,3561,0,2,98,1,-1,0
0,0,42,63,0,16,88,6,-1,0
0,0,40,260,0,20,197,6,-1,0
0,0,28,2269,0,9,331,1,-1,0
0,0,47,1060,0,6,83,3,-1,0
0,0,27,-220,0,26,138,2,-1,0
0,0,41,49,0,17,312,5,-1,0
1,0,34,69,1,4,120,3,1,6
1,0,50,4108,0,7,526,2,-1,0
0,0,47,480,0,28,211,2,-1,0
0,0,53,4994,0,18,62,6,-1,0
0,0,53,0,1,15,135,5,-1,0
0,0,47,3681,0,14,101,2,-1,0
1,1,49,-701,0,30,988,2,-1,0
0,0,29,451,0,28,451,1,-1,0
1,0,45,-311,0,23,1030,1,-1,0
1,0,38,593,1,24,1484,24,-1,0
1,0,32,759,0,9,317,5,-1,0
0,0,70,4531,0,18,445,1,-1,0
0,0,65,1840,0,1,383,2,188,5
0,0,56,345,0,22,605,1,-1,0
0,0,35,1287,0,14,330,2,-1,0
0,0,56,353,1,25,171,2,-1,0
0,0,56,205,1,23,442,2,-1,0
1,0,49,687,0,17,772,1,-1,0
0,0,38,1147,1,8,249,5,-1,0
0,0,35,4286,0,9,357,1,-1,0
0,0,38,605,0,18,147,2,-1,0
0,0,49,8545,1,6,199,7,167,1
0,0,55,559,0,28,271,2,-1,0
0,0,43,2,0,30,783,3,-1,0
0,0,43,2,1,20,472,2,-1,0
1,0,25,760,0,27,223,3,89,2
0,0,30,1317,0,21,395,2,-1,0
0,0,46,182,0,4,56,1,-1,0
0,0,50,276,1,17,641,6,-1,0
1,0,35,2971,0,4,429,4,164,2
0,0,26,1064,0,31,113,1,-1,0
0,0,45,1783,0,20,11,11,-1,0
0,0,37,-67,0,2,157,1,-1,0
0,0,60,179,1,29,79,4,-1,0
1,0,38,1199,0,4,178,1,1,1
0,0,47,214,1,9,168,1,-1,0
0,0,33,6699,0,9,425,1,462,1
0,0,51,1760,1,19,162,1,-1,0
1,0,35,145,0,18,799,2,-1,0
1,0,35,978,0,29,1370,3,209,3
0,0,48,1150,0,28,357,1,-1,0
0,0,37,121,0,22,22,6,-1,0
0,0,29,828,0,16,215,3,321,3
0,0,34,244,0,31,56,4,-1,0
1,0,32,228,0,21,1017,6,-1,0
1,0,30,424,0,16,298,4,-1,0
0,0,47,447,1,7,126,1,-1,0
0,0,33,-195,0,20,9,1,-1,0
0,0,33,1410,0,5,8,1,254,5
0,0,63,1084,0,14,201,1,183,1
0,0,51,10924,0,6,106,2,-1,0
0,0,41,832,1,21,164,1,176,1
0,0,56,478,0,5,97,1,-1,0
0,0,60,0,1,23,151,1,-1,0
0,0,41,3950,0,30,96,2,-1,0
0,0,37,504,0,16,555,1,-1,0
0,0,36,219,1,11,270,2,347,1
0,0,57,1602,0,29,339,3,-1,0
1,0,55,2587,0,4,328,2,94,2
0,0,44,0,1,16,159,1,-1,0
0,0,47,2303,0,6,323,2,364,1
0,0,31,1660,0,20,342,1,-1,0
0,1,35,32,0,21,180,1,-1,0
0,0,39,278,1,28,60,3,-1,0
0,0,50,4,0,17,223,1,96,2
0,0,29,318,0,18,1434,2,356,4
0,0,30,209,0,6,30,2,-1,0
0,0,46,271,0,16,134,4,-1,0
0,0,27,3196,0,9,10,2,-1,0
1,0,48,4099,0,2,397,2,-1,0
0,0,26,2572,0,5,620,1,-1,0
0,0,36,339,0,21,6,6,-1,0
0,0,42,0,1,7,209,2,-1,0
0,0,50,395,0,15,419,2,-1,0
0,0,49,2039,0,18,283,2,-1,0
0,0,45,5450,0,8,188,2,-1,0
0,0,23,780,0,16,267,1,-1,0
0,0,38,0,0,7,196,2,-1,0
0,0,32,8436,0,17,245,1,149,2
1,0,60,11262,0,26,323,1,-1,0
0,0,30,946,0,19,1065,1,183,1
0,0,58,497,0,11,138,5,-1,0
0,0,60,55,0,4,207,1,-1,0
0,0,38,-140,0,25,456,3,-1,0
0,0,51,-379,0,5,261,1,-1,0
0,0,42,-396,0,11,80,1,308,4
0,0,30,0,0,18,131,6,363,9
0,0,40,733,0,6,94,7,-1,0
1,0,37,393,0,14,567,3,275,4
0,0,53,7290,0,30,153,1,-1,0
0,0,27,468,0,13,109,1,-1,0
0,0,39,0,0,30,53,1,325,1
0,0,39,3705,0,16,77,1,-1,0
1,0,59,9676,0,27,234,2,-1,0
0,0,37,1328,0,13,121,2,341,4
0,0,41,8,0,15,155,2,-1,0
0,0,45,61,0,17,108,1,-1,0
0,0,48,6613,0,17,159,3,-1,0
0,0,48,302,0,26,208,3,-1,0
0,0,32,1005,0,12,215,1,-1,0
0,0,35,109,0,6,597,3,-1,0
0,0,33,1240,0,4,505,2,260,1
0,0,28,0,1,3,380,4,-1,0
0,0,64,2923,0,12,120,1,-1,0
0,0,35,0,0,27,106,4,-1,0
0,0,33,43,0,14,332,2,358,2
0,0,41,288,0,15,221,4,-1,0
0,0,34,613,0,4,80,1,-1,0
0,0,37,6101,0,4,60,5,87,1
0,0,38,168,1,13,212,3,-1,0
0,0,39,7685,0,14,493,3,-1,0
0,0,35,4515,0,19,98,2,-1,0
1,0,28,517,1,8,681,1,-1,0
0,0,27,148,0,22,203,1,-1,0
0,1,48,-285,1,19,157,1,-1,0
0,0,50,887,0,16,287,1,-1,0
0,0,45,3098,0,7,159,2,-1,0
0,0,41,744,0,14,125,1,-1,0
0,0,39,130,0,8,202,2,-1,0
0,0,44,438,0,8,37,3,303,1
1,0,54,0,0,28,161,1,98,2
0,0,49,322,0,6,72,4,-1,0
0,0,34,186,0,2,342,1,-1,0
1,0,75,3810,0,16,262,1,183,1
0,0,42,0,0,13,325,2,-1,0
0,0,53,4380,0,19,223,7,-1,0
1,0,49,755,0,31,1212,4,-1,0
0,0,31,2070,0,29,319,2,-1,0
0,0,45,999,0,29,182,2,-1,0
0,0,39,167,1,17,330,1,-1,0
0,0,46,1322,1,19,514,1,-1,0
0,0,42,1076,0,14,213,1,-1,0
0,0,37,502,0,7,551,1,351,1
0,0,26,1216,0,16,472,2,-1,0
0,0,37,876,0,15,140,4,327,2
0,0,36,342,0,7,142,1,-1,0
0,0,29,950,0,4,135,3,-1,0
0,0,36,973,1,23,293,1,-1,0
0,0,26,3825,0,13,107,1,-1,0
0,0,32,2366,0,20,127,2,-1,0
0,0,40,542,0,20,1816,1,-1,0
0,0,53,995,0,4,200,3,-1,0
0,0,29,20,0,12,418,1,-1,0
0,0,34,228,0,22,387,4,-1,0
0,0,43,130,0,5,156,1,337,3
0,0,56,217,1,21,121,2,-1,0
0,0,55,0,0,6,108,2,-1,0
0,0,31,259,0,7,47,1,-1,0
0,0,27,619,0,20,16,5,322,4
0,0,36,644,0,18,54,2,-1,0
0,0,44,22,0,6,265,2,-1,0
0,0,37,4303,0,23,168,1,-1,0
0,0,30,239,0,7,115,3,-1,0
0,0,42,275,0,26,31,8,-1,0
1,0,30,1221,0,25,279,4,-1,0
0,0,62,816,0,1,28,2,-1,0
0,0,24,1222,0,20,369,1,-1,0
0,0,31,2363,0,13,247,1,-1,0
0,0,66,2262,0,22,155,1,-1,0
0,0,47,2,0,10,89,1,-1,0
0,0,39,2,0,17,180,1,-1,0
1,0,35,4508,0,18,854,1,-1,0
0,0,35,-402,0,17,46,1,-1,0
0,0,27,1577,1,28,266,2,-1,0
0,0,32,34,0,5,321,2,-1,0
0,0,44,795,0,28,99,24,-1,0
0,0,42,117,0,9,147,1,-1,0
1,0,34,5462,0,30,430,1,-1,0
0,0,25,402,1,7,264,1,-1,0
0,0,40,641,0,16,156,6,-1,0
0,0,43,36,0,26,118,1,102,2
0,0,55,383,0,6,343,3,-1,0
0,0,50,283,0,7,226,3,-1,0
0,0,45,0,0,1,5,1,-1,0
0,0,35,3102,0,20,138,1,-1,0
1,0,32,889,0,10,185,1,99,5
0,0,59,0,0,3,722,1,99,4
0,0,34,-370,0,21,748,1,-1,0
0,0,39,-606,0,26,142,1,-1,0
0,0,40,10378,0,17,523,3,-1,0
0,0,36,1313,0,20,8,10,-1,0
0,0,40,8969,0,17,153,1,-1,0
0,0,55,-196,0,20,210,2,-1,0
0,1,38,15,0,10,121,1,-1,0
1,0,61,4608,0,12,212,1,-1,0
0,0,41,666,0,21,253,3,-1,0
0,0,57,452,0,13,139,4,-1,0
0,0,48,149,0,9,71,1,-1,0
1,0,77,7802,0,4,421,1,92,2
0,0,35,1453,0,28,199,1,-1,0
0,0,54,1480,0,14,108,1,-1,0
0,0,37,715,0,20,247,2,-1,0
0,0,56,237,0,9,236,4,-1,0
0,0,40,694,0,4,97,4,196,5
0,0,40,0,0,14,109,8,-1,0
0,0,54,55,0,2,112,2,-1,0
0,0,55,136,0,19,15,10,-1,0
0,1,55,-404,0,22,502,3,-1,0
0,0,52,779,0,16,30,3,-1,0
0,0,55,1187,0,2,193,2,-1,0
0,0,33,641,0,13,347,2,-1,0
0,0,52,826,0,15,468,2,-1,0
0,0,33,991,0,27,148,1,-1,0
1,0,53,1796,0,16,295,1,91,2
1,0,46,22,0,26,388,6,-1,0
1,0,44,244,0,12,1735,4,-1,0
0,0,48,1328,0,6,339,1,-1,0
0,0,50,7317,0,13,172,1,370,1
0,0,34,4943,1,19,117,2,-1,0
0,0,38,258,1,20,587,2,-1,0
0,0,42,515,0,19,501,2,-1,0
0,0,32,12607,0,14,203,5,84,1
0,0,58,2,1,25,282,9,-1,0
0,0,31,13,0,28,110,5,-1,0
1,0,19,103,0,10,104,2,-1,0
0,0,41,3872,0,15,231,1,-1,0
0,0,31,296,0,20,378,3,-1,0
0,0,52,217,1,15,193,6,-1,0
0,0,42,360,0,24,110,5,-1,0
0,0,41,428,0,12,92,1,-1,0
1,0,30,315,0,23,1407,1,-1,0
0,0,38,121,1,6,168,1,212,2
0,0,32,820,0,17,738,3,-1,0
1,0,52,195,0,18,220,1,63,5
0,0,48,108,0,27,89,2,-1,0
0,0,36,-381,0,31,30,29,-1,0
0,0,45,757,0,20,103,1,325,4
0,0,34,691,1,2,70,1,-1,0
1,0,36,1925,0,20,904,2,-1,0
0,0,34,902,0,14,159,1,367,2
0,0,61,5207,0,11,336,1,81,2
0,0,54,0,0,19,220,1,-1,0
0,0,50,665,0,17,238,1,-1,0
0,0,43,738,0,21,585,4,191,4
0,0,47,233,0,8,293,3,-1,0
0,0,45,-839,0,28,68,1,-1,0
0,0,57,5799,0,17,97,1,-1,0
0,0,27,1033,0,9,1713,1,-1,0
0,0,49,66,0,9,218,3,-1,0
0,0,43,2567,0,14,109,1,360,2
0,0,40,1584,0,21,661,1,-1,0
0,0,32,182,0,6,145,1,-1,0
0,0,58,76,0,18,54,4,-1,0
0,0,34,663,0,20,111,1,-1,0
0,0,46,3455,0,14,566,2,-1,0
0,0,29,15,0,3,136,1,-1,0
0,0,52,1054,0,4,273,1,-1,0
0,0,45,1529,0,30,160,1,-1,0
0,0,26,63,0,28,76,4,-1,0
0,0,40,0,0,19,44,1,-1,0
0,0,41,920,1,27,239,1,-1,0
1,0,47,3696,0,12,250,2,181,4
0,0,27,59,0,15,792,4,-1,0
0,0,27,0,0,23,198,13,-1,0
0,0,48,157,0,6,73,1,-1,0
0,0,49,2465,0,20,157,3,-1,0
0,0,35,0,0,24,90,6,-1,0
0,1,47,2,0,5,236,2,-1,0
0,0,54,0,0,16,118,5,-1,0
0,0,39,12437,0,18,40,1,-1,0
0,0,28,378,0,17,346,1,-1,0
0,0,54,211,0,19,200,2,-1,0
0,0,34,-228,0,20,187,3,332,3
0,0,63,2747,0,11,113,1,80,1
0,0,42,1932,0,16,192,32,-1,0
0,0,43,11269,0,29,92,1,-1,0
0,0,37,1314,0,8,682,2,85,7
0,0,55,2275,0,25,139,9,-1,0
1,0,43,1304,0,6,501,2,-1,0
1,1,41,720,1,24,651,1,-1,0
0,0,47,2914,0,18,405,13,-1,0
0,0,34,1464,0,23,350,1,-1,0
0,0,28,11555,0,8,125,2,-1,0
0,0,36,-302,0,13,36,2,-1,0
0,0,50,2497,0,21,35,1,176,1
0,0,35,-339,0,8,389,2,-1,0
0,0,40,56,1,29,194,1,247,1
0,0,26,211,0,29,168,3,-1,0
0,0,36,3611,0,4,347,3,-1,0
0,0,59,0,0,30,3025,2,-1,0
0,0,28,459,0,16,83,13,-1,0
0,0,46,242,0,9,332,2,-1,0
0,0,50,1138,0,14,219,10,-1,0
0,0,53,1319,0,16,427,1,150,1
0,0,81,1,0,19,65,5,-1,0
0,0,35,67,0,5,192,2,-1,0
0,0,58,937,0,5,155,1,-1,0
0,0,44,0,1,11,161,1,-1,0
0,0,38,-558,0,21,533,1,-1,0
0,0,49,171,0,4,19,3,175,2
0,0,33,696,1,5,193,1,176,8
0,0,29,361,1,28,819,3,-1,0
1,0,28,227,0,30,278,1,-1,0
0,0,31,236,1,4,211,3,-1,0
0,0,33,-53,0,29,617,2,-1,0
0,0,52,192,0,23,61,2,-1,0
0,0,43,38,0,25,197,6,-1,0
0,0,32,518,0,18,34,7,-1,0
0,0,36,16,1,18,95,4,-1,0
0,0,41,-256,0,3,147,2,-1,0
0,0,43,105,1,4,668,2,-1,0
0,0,45,334,0,5,87,2,-1,0
0,0,39,1048,1,21,405,1,-1,0
0,0,41,108,1,13,83,7,-1,0
0,0,31,660,0,22,115,1,-1,0
0,1,37,0,0,10,108,1,-1,0
0,0,28,1034,0,29,113,1,-1,0
0,0,47,201,0,7,58,2,382,1
0,0,37,189,0,8,148,4,-1,0
0,0,60,-49,0,29,188,1,261,2
0,0,43,1413,0,28,75,3,-1,0
0,0,58,264,1,8,523,3,-1,0
0,0,52,54,1,18,103,1,-1,0
0,0,50,12519,0,17,146,2,147,4
1,0,32,2881,0,2,356,1,-1,0
0,0,42,0,0,17,71,1,-1,0
0,0,31,88,1,8,189,2,-1,0
0,0,28,1020,0,28,251,1,-1,0
0,0,36,119,0,23,127,8,-1,0
0,0,51,1594,0,4,197,1,-1,0
0,0,46,342,1,5,84,1,-1,0
0,0,50,72,0,8,141,2,-1,0
0,0,32,14,0,2,171,1,-1,0
0,0,26,81,0,21,262,3,-1,0
1,0,41,231,0,7,352,2,-1,0
0,0,39,1161,0,9,236,1,336,1
0,0,31,-45,0,2,184,1,-1,0
0,0,28,231,1,25,568,2,-1,0
0,0,31,36,0,27,105,2,-1,0
0,0,30,1570,0,26,260,1,-1,0
1,0,35,7050,0,11,222,3,182,4
0,0,33,3704,0,6,447,2,-1,0
0,0,30,6619,0,21,239,8,-1,0
0,0,32,-84,0,11,426,1,-1,0
0,0,40,1509,0,12,333,1,58,3
0,0,31,1134,0,6,174,2,-1,0
0,0,36,146,1,15,284,2,-1,0
0,0,33,9449,0,8,428,1,-1,0
0,0,57,374,1,16,236,1,-1,0
0,0,45,88,0,29,150,2,-1,0
0,0,59,2764,0,24,237,1,206,2
1,0,30,2,1,25,1031,8,-1,0
0,0,33,8023,0,30,107,1,105,3
0,0,52,289,0,21,45,13,-1,0
0,0,83,0,0,18,140,10,-1,0
1,0,58,1382,0,9,700,1,-1,0
0,1,33,280,1,18,155,1,-1,0
0,0,41,2195,0,3,211,5,-1,0
0,0,31,33,0,6,165,4,-1,0
0,0,35,275,1,10,144,5,-1,0
1,0,27,703,0,5,590,3,-1,0
0,0,57,887,0,20,43,8,-1,0
0,0,56,0,0,20,471,2,-1,0
0,0,53,1178,0,15,295,2,-1,0
1,0,39,2763,0,2,526,2,-1,0
0,0,32,890,1,28,27,10,-1,0
1,0,46,548,0,12,1181,4,-1,0
0,0,56,272,0,26,103,2,-1,0
0,0,46,6269,0,18,249,3,112,2
0,0,29,178,0,5,231,4,-1,0
0,0,60,252,1,13,123,2,147,3
0,0,33,23663,0,16,199,2,146,2
0,0,27,81,0,5,197,1,199,3
0,0,50,59,0,28,67,2,-1,0
0,0,45,1343,1,8,220,1,-1,0
0,0,58,225,0,7,122,6,-1,0
0,0,59,0,0,26,104,7,-1,0
