Loan Status,Term,Current Loan Amount,Annual Income
1,0,755920,1378277
1,0,213114,1378277
1,0,427702,1378277
1,0,560956,1378277
1,0,486332,1378277
1,0,270358,1378277
1,0,171336,1378277
1,0,155166,1378277
1,0,325622,1378277
1,0,442992,1378277
1,0,393910,1378277
1,0,223190,1378277
1,0,623216,1378277
1,0,623766,1378277
1,0,650958,1378277
1,0,701514,1378277
1,0,330044,1378277
1,0,372658,1378277
1,0,261140,1378277
1,0,381612,1378277
1,0,360690,1378277
1,0,705430,1378277
1,0,208494,1378277
1,0,200288,1378277
1,0,400752,1378277
1,0,787182,1378277
1,0,445412,1378277
1,0,266464,1378277
1,0,368786,1378277
1,0,86680,1378277
1,0,110770,1378277
1,0,360206,1378277
1,0,159830,1378277
1,0,107338,1378277
1,0,360052,1378277
1,0,175868,1378277
1,0,350900,1378277
1,0,657492,1378277
1,0,225544,1378277
1,0,218614,1378277
1,0,425304,1378277
1,0,443872,1378277
1,0,127424,1378277
1,0,70246,1378277
1,0,140470,1378277
1,0,266552,1378277
1,0,603614,1378277
1,0,432740,1378277
1,0,440264,1378277
1,0,139766,1378277
1,0,153736,1378277
1,0,473396,1378277
1,0,259490,1378277
1,0,345774,1378277
1,0,66924,1378277
1,0,549340,1378277
1,0,374264,1378277
1,0,109054,1378277
1,0,151162,1378277
1,0,258368,1378277
1,0,111320,1378277
1,0,532004,1378277
1,0,445016,1378277
1,0,334026,1378277
1,0,437844,1378277
1,0,593560,1378277
1,0,131318,1378277
1,0,130834,1378277
1,0,455950,1378277
1,0,316954,1378277
1,0,129712,1378277
1,0,179850,1378277
1,0,541420,1378277
1,0,559262,1378277
1,0,263164,1378277
1,0,231286,1378277
1,0,436084,1378277
1,0,309694,1378277
1,0,213114,1378277
1,0,215468,1378277
1,0,349646,1378277
1,0,213796,1378277
1,0,314908,1378277
1,0,305382,1378277
1,0,514096,1378277
1,0,442024,1378277
1,0,398024,1378277
1,0,129558,1378277
1,0,224466,1378277
1,0,440308,1378277
1,0,655842,1378277
1,0,435776,1378277
1,0,128920,1378277
1,0,307428,1378277
1,0,77154,1378277
1,0,465190,1378277
1,0,353760,1378277
1,0,774862,1378277
1,0,460812,1378277
1,0,236104,1378277
1,0,157410,1378277
1,0,315502,1378277
1,0,354860,1378277
1,0,134090,1378277
1,0,518804,1378277
1,0,172304,1378277
1,0,379082,1378277
1,0,371250,1378277
1,0,178002,1378277
1,0,155716,1378277
1,0,659890,1378277
1,0,438372,1378277
1,0,427152,1378277
1,0,270336,1378277
1,0,541860,1378277
1,0,331716,1378277
1,0,109428,1378277
1,0,612678,1378277
1,0,183370,1378277
1,0,196856,1378277
1,0,222948,1378277
1,0,757152,1378277
1,0,759462,1378277
1,0,107140,1378277
1,0,407154,1378277
1,0,199760,1378277
1,0,435820,1378277
1,0,309364,1378277
1,0,561154,1378277
1,0,393074,1378277
1,0,438768,1378277
1,0,416350,1378277
1,0,257752,1378277
1,0,218086,1378277
1,0,258324,1378277
1,0,686400,1378277
1,0,672232,1378277
1,0,444268,1378277
1,0,248204,1378277
1,0,662838,1378277
1,0,401390,1378277
1,0,362714,1378277
1,0,452012,1378277
1,0,258214,1378277
1,0,307868,1378277
1,0,463298,1378277
1,0,450472,1378277
1,0,560846,1378277
1,0,216458,1378277
1,0,131714,1378277
1,0,175450,1378277
1,0,530530,1378277
1,0,771628,1378277
1,0,450054,1378277
1,0,231990,1378277
1,0,191356,1378277
1,0,348656,1378277
1,0,87098,1378277
1,0,487630,1378277
1,0,491260,1378277
1,0,264616,1378277
1,0,456038,1378277
1,0,759000,1378277
1,0,124234,1378277
1,0,99594,1378277
1,0,333432,1378277
1,0,212344,1378277
1,0,629772,1378277
1,0,193952,1378277
1,0,154638,1378277
1,0,172436,1378277
1,0,157256,1378277
1,0,612436,1378277
1,0,314468,1378277
1,0,665610,1378277
1,0,332486,1378277
1,0,765006,1378277
1,0,347534,1378277
1,0,261096,1378277
1,0,786566,1378277
1,0,546766,1378277
1,0,141724,1378277
1,0,477862,1378277
1,0,324170,1378277
1,0,653928,1378277
1,0,144430,1378277
1,0,659868,1378277
1,0,292094,1378277
1,0,112530,1378277
1,0,311168,1378277
1,0,498036,1378277
1,0,368720,1378277
1,0,312180,1378277
1,0,663630,1378277
1,0,784014,1378277
1,0,217646,1378277
1,0,53658,1378277
1,0,328130,1378277
1,0,432872,1378277
1,0,324830,1378277
1,0,220550,1378277
1,0,150150,1378277
1,0,141878,1378277
1,0,264440,1378277
1,0,155364,1378277
1,0,261470,1378277
1,0,264572,1378277
1,0,786412,1378277
1,0,54384,1378277
1,0,183678,1378277
1,0,266398,1378277
1,0,218790,1378277
1,0,626714,1378277
1,0,109384,1378277
1,0,266112,1378277
1,0,443696,1378277
1,0,334862,1378277
1,0,615692,1378277
1,0,701096,1378277
1,0,210276,1378277
1,0,552706,1378277
1,0,204512,1378277
1,0,781704,1378277
1,0,365332,1378277
1,0,463936,1378277
1,0,434544,1378277
1,0,533324,1378277
1,0,447436,1378277
1,0,431772,1378277
1,0,387156,1378277
1,0,323400,1378277
1,0,264264,1378277
1,0,108350,1378277
1,0,490688,1378277
1,0,176572,1378277
1,0,329604,1378277
1,0,156596,1378277
1,0,343442,1378277
1,0,193754,1378277
1,0,355476,1378277
1,0,397496,1378277
1,0,345620,1378277
1,0,538736,1378277
1,0,619630,1378277
1,0,112926,1378277
1,0,656172,1378277
1,0,764082,1378277
1,0,432960,1378277
1,0,278256,1378277
1,0,22396,1378277
1,0,152020,1378277
1,0,534754,1378277
1,0,403084,1378277
1,0,517022,1378277
1,0,344564,1378277
1,0,180378,1378277
1,0,222420,1378277
1,0,347886,1378277
1,0,613800,1378277
1,0,524678,1378277
1,0,756382,1378277
1,0,494318,1378277
1,0,104500,1378277
1,0,77616,1378277
1,0,216964,1378277
1,0,605462,1378277
1,0,269302,1378277
1,0,224884,1378277
1,0,178046,1378277
1,0,184294,1378277
1,0,334686,1378277
1,0,266332,1378277
1,0,737330,1378277
1,0,109494,1378277
1,0,335412,1378277
1,0,471262,1378277
1,0,217998,1378277
1,0,616132,1378277
1,0,392238,1378277
1,0,154330,1378277
1,0,325424,1378277
1,0,125620,1378277
1,0,315744,1378277
1,0,109054,1378277
1,0,754292,1378277
1,0,379170,1378277
1,0,22132,1378277
1,0,613668,1378277
1,0,788480,1378277
1,0,560076,1378277
1,0,158862,1378277
1,0,197780,1378277
1,0,422136,1378277
1,0,89364,1378277
1,0,222112,1378277
1,0,262064,1378277
1,0,152790,1378277
1,0,88748,1378277
1,0,465652,1378277
1,0,22396,1378277
1,0,422598,1378277
1,0,359810,1378277
1,0,765380,1378277
1,0,466290,1378277
1,0,332948,1378277
1,0,135256,1378277
1,0,166012,1378277
1,0,178574,1378277
1,0,388036,1378277
1,0,284152,1378277
1,0,225544,1378277
1,0,330440,1378277
1,0,692384,1378277
1,0,397078,1378277
1,0,272206,1378277
1,0,269522,1378277
1,0,523886,1378277
1,0,268730,1378277
1,0,120604,1378277
1,0,403700,1378277
1,0,331562,1378277
1,0,336930,1378277
1,0,530420,1378277
1,0,405900,1378277
1,0,175692,1378277
1,0,346060,1378277
1,0,128986,1378277
1,0,255046,1378277
1,0,300916,1378277
1,0,223388,1378277
1,0,259820,1378277
1,0,151096,1378277
1,0,162932,1378277
1,0,404228,1378277
1,0,44286,1378277
1,0,400246,1378277
1,0,648450,1378277
1,0,130240,1378277
1,0,152042,1378277
1,0,223058,1378277
1,0,155430,1378277
1,0,137324,1378277
1,0,168102,1378277
1,0,444004,1378277
1,0,193358,1378277
1,0,107954,1378277
1,0,292402,1378277
1,0,320430,1378277
1,0,554356,1378277
1,0,675180,1378277
1,0,291742,1378277
1,0,324588,1378277
1,0,425612,1378277
1,0,408474,1378277
1,0,150348,1378277
1,0,542806,1378277
1,0,66374,1378277
1,0,373560,1378277
1,0,567798,1378277
1,0,336644,1378277
1,0,224180,1378277
1,0,260612,1378277
1,0,100144,1378277
1,0,235202,1378277
1,0,337392,1378277
1,0,182094,1378277
1,0,530288,1378277
1,0,270094,1378277
1,0,220704,1378277
1,0,331496,1378277
1,0,309540,1378277
1,0,390016,1378277
1,0,331958,1378277
1,0,177738,1378277
1,0,123090,1378277
1,0,119636,1378277
1,1,332552,1378277
1,1,457666,1378277
1,1,616484,1378277
1,1,355454,1378277
1,1,396792,1378277
1,1,379610,1378277
1,1,721358,1378277
1,1,427152,1378277
1,1,717376,1378277
1,1,680878,1378277
1,1,765006,1378277
1,1,739838,1378277
1,1,778624,1378277
1,1,561066,1378277
1,1,703076,1378277
1,1,542586,1378277
1,1,620796,1378277
1,1,292072,1378277
1,1,345796,1378277
1,1,728508,1378277
1,1,260656,1378277
1,1,309408,1378277
1,1,411840,1378277
1,1,387750,1378277
1,1,779702,1378277
1,1,244926,1378277
1,1,753302,1378277
1,1,257686,1378277
1,1,536140,1378277
1,1,339614,1378277
1,1,521708,1378277
1,1,429088,1378277
1,1,652806,1378277
1,1,411906,1378277
1,1,216414,1378277
1,1,435996,1378277
1,1,370964,1378277
1,1,177804,1378277
1,1,478918,1378277
1,1,536140,1378277
1,1,451374,1378277
1,1,542256,1378277
1,1,373670,1378277
1,1,312224,1378277
1,1,764456,1378277
1,1,395340,1378277
1,1,403414,1378277
1,1,787798,1378277
1,1,447788,1378277
1,1,366828,1378277
1,1,646272,1378277
1,1,771782,1378277
1,1,313170,1378277
1,1,234256,1378277
1,1,610720,1378277
1,1,315392,1378277
1,1,398464,1378277
1,1,266948,1378277
1,1,456236,1378277
1,1,141636,1378277
1,1,769846,1378277
1,1,573958,1378277
1,1,618398,1378277
1,1,255464,1378277
1,1,257818,1378277
1,1,759528,1378277
1,1,436898,1378277
1,1,656436,1378277
1,1,208230,1378277
1,1,756382,1378277
1,1,762762,1378277
1,1,453508,1378277
1,1,536910,1378277
1,1,759682,1378277
1,1,643566,1378277
1,1,257928,1378277
1,1,437184,1378277
1,1,268466,1378277
1,1,278454,1378277
1,1,555346,1378277
1,1,402490,1378277
1,1,543840,1378277
1,1,673728,1378277
1,1,787402,1378277
1,1,469106,1378277
1,1,221804,1378277
1,1,537680,1378277
1,1,657162,1378277
1,1,408012,1378277
1,1,622468,1378277
1,1,353056,1378277
1,1,467720,1378277
1,1,433752,1378277
1,1,336138,1378277
1,1,417406,1378277
1,1,444136,1378277
1,1,541530,1378277
1,1,666688,1378277
1,1,259006,1378277
1,1,443696,1378277
1,1,244002,1378277
1,1,437008,1378277
1,1,579040,1378277
1,1,749276,1378277
1,1,506528,1378277
1,1,193600,1378277
1,1,275264,1378277
1,1,313544,1378277
1,1,757614,1378277
1,1,516780,1378277
1,1,344850,1378277
1,1,345246,1378277
1,1,334620,1378277
1,1,329450,1378277
1,1,295856,1378277
1,1,753984,1378277
1,1,308286,1378277
1,1,351010,1378277
1,1,347182,1378277
1,1,779636,1378277
1,1,464398,1378277
1,1,554620,1378277
1,1,432828,1378277
1,1,581944,1378277
1,1,563640,1378277
1,1,543840,1378277
1,1,549010,1378277
1,1,532224,1378277
1,1,548856,1378277
1,1,532268,1378277
1,1,319462,1378277
1,1,411356,1378277
1,1,476102,1378277
1,1,322454,1378277
1,1,443256,1378277
1,1,517924,1378277
1,1,780780,1378277
1,1,352176,1378277
1,1,512028,1378277
1,1,414106,1378277
1,1,413974,1378277
1,1,312246,1378277
1,1,626362,1378277
1,1,326612,1378277
1,1,264308,1378277
1,1,485518,1378277
1,1,316646,1378277
1,1,774246,1378277
1,1,768306,1378277
1,1,364078,1378277
1,1,484770,1378277
1,1,776094,1378277
1,1,535282,1378277
1,1,638440,1378277
1,1,561550,1378277
1,1,343200,1378277
1,1,260084,1378277
1,1,788414,1378277
1,1,549406,1378277
1,1,333564,1378277
1,1,691394,1378277
1,1,519706,1378277
1,1,324610,1378277
1,1,552706,1378277
1,1,444136,1378277
1,1,434500,1378277
1,1,237336,1378277
1,1,345598,1378277
1,1,654588,1378277
1,1,278190,1378277
1,1,629310,1378277
1,1,217382,1378277
1,1,348062,1378277
1,1,447436,1378277
1,1,765622,1378277
1,1,302852,1378277
1,1,447876,1378277
1,1,648978,1378277
1,1,562276,1378277
1,1,401236,1378277
1,1,656832,1378277
1,1,442156,1378277
1,1,270446,1378277
1,1,433048,1378277
1,1,451462,1378277
1,1,464354,1378277
1,1,415910,1378277
1,1,337744,1378277
1,1,219472,1378277
1,1,393272,1378277
1,1,519926,1378277
1,1,134816,1378277
1,1,442772,1378277
1,1,331980,1378277
1,1,676544,1378277
1,1,462990,1378277
1,1,287320,1378277
1,1,695904,1378277
1,1,597344,1378277
1,1,261536,1378277
1,1,261052,1378277
1,1,327008,1378277
1,1,458634,1378277
1,1,551606,1378277
1,1,334488,1378277
1,1,468446,1378277
1,1,361548,1378277
1,1,391292,1378277
1,1,392436,1378277
1,1,259424,1378277
1,1,388366,1378277
1,1,283052,1378277
1,1,351142,1378277
1,1,770462,1378277
1,1,752378,1378277
1,1,669240,1378277
1,1,438548,1378277
1,1,394218,1378277
1,1,502414,1378277
1,1,780626,1378277
1,1,546040,1378277
1,1,428142,1378277
1,1,357874,1378277
1,1,308286,1378277
1,1,629552,1378277
1,1,454938,1378277
1,1,513920,1378277
1,1,775170,1378277
1,1,547140,1378277
1,1,382910,1378277
1,1,455708,1378277
1,1,435380,1378277
1,1,461824,1378277
1,1,537350,1378277
1,1,557106,1378277
1,1,297066,1378277
1,1,786412,1378277
1,1,579964,1378277
1,1,263780,1378277
1,1,220066,1378277
1,1,448140,1378277
1,1,627418,1378277
1,1,615252,1378277
1,1,241406,1378277
1,1,481646,1378277
1,1,665962,1378277
1,1,587928,1378277
1,1,462176,1378277
1,1,223498,1378277
1,1,751454,1378277
1,1,516626,1378277
1,1,372878,1378277
1,1,769780,1378277
1,1,657162,1378277
1,1,323444,1378277
1,1,266200,1378277
1,1,564388,1378277
1,1,523732,1378277
1,1,331496,1378277
1,1,414282,1378277
1,1,259996,1378277
1,1,538186,1378277
1,1,599896,1378277
1,1,383284,1378277
1,1,292666,1378277
1,1,280082,1378277
1,1,649352,1378277
1,1,388916,1378277
1,1,241846,1378277
1,1,616726,1378277
1,1,334950,1378277
1,1,463936,1378277
1,1,266266,1378277
1,1,658878,1378277
1,1,549626,1378277
1,1,654984,1378277
1,1,533126,1378277
1,1,225192,1378277
1,1,766238,1378277
1,1,410630,1378277
1,1,479248,1378277
1,1,357060,1378277
1,1,666402,1378277
1,1,582538,1378277
1,1,330440,1378277
1,1,432036,1378277
1,1,268466,1378277
1,1,533522,1378277
1,1,258280,1378277
1,1,323840,1378277
1,1,438548,1378277
1,1,307384,1378277
1,1,695750,1378277
1,1,484968,1378277
0,1,581592,1378277
0,0,655314,1378277
0,1,552442,1378277
0,0,216238,1378277
0,1,688380,1378277
0,1,438680,1378277
0,1,359282,1378277
0,1,458458,1378277
0,0,213092,1378277
0,1,762454,1378277
0,1,616682,1378277
0,1,260546,1378277
0,1,431684,1378277
0,1,544786,1378277
0,1,555896,1378277
0,1,526966,1378277
0,1,707564,1378277
0,1,409970,1378277
0,1,343794,1378277
0,0,540100,1378277
0,1,174108,1378277
0,0,482372,1378277
0,0,756602,1378277
0,1,774312,1378277
0,1,734580,1378277
0,0,430760,1378277
0,0,396946,1378277
0,0,217470,1378277
0,0,106876,1378277
0,1,502546,1378277
0,0,276100,1378277
0,1,782870,1378277
0,0,697510,1378277
0,0,343794,1378277
0,0,210100,1378277
0,1,483604,1378277
0,0,539726,1378277
0,0,214962,1378277
0,0,324522,1378277
0,1,436040,1378277
0,0,64944,1378277
0,0,473594,1378277
0,1,137610,1378277
0,0,187594,1378277
0,1,351472,1378277
0,0,524546,1378277
0,1,443256,1378277
0,0,628452,1378277
0,0,336116,1378277
0,1,441716,1378277
0,1,651992,1378277
0,1,514998,1378277
0,0,296318,1378277
0,0,109934,1378277
0,1,394548,1378277
0,1,444664,1378277
0,0,177760,1378277
0,1,438856,1378277
0,0,206646,1378277
0,0,220308,1378277
0,1,369578,1378277
0,1,650694,1378277
0,1,669240,1378277
0,0,225104,1378277
0,0,215974,1378277
0,0,447348,1378277
0,1,641542,1378277
0,0,240350,1378277
0,0,359348,1378277
0,0,400004,1378277
0,0,315832,1378277
0,0,651992,1378277
0,1,488576,1378277
0,0,670428,1378277
0,1,546128,1378277
0,0,103862,1378277
0,1,359964,1378277
0,0,699160,1378277
0,1,681296,1378277
0,1,265496,1378277
0,1,346962,1378277
0,1,512754,1378277
0,0,134706,1378277
0,1,438900,1378277
0,1,527692,1378277
0,0,381546,1378277
0,0,225896,1378277
0,0,106128,1378277
0,0,244706,1378277
0,0,352506,1378277
0,0,387772,1378277
0,1,517858,1378277
0,1,603680,1378277
0,1,480634,1378277
0,1,497200,1378277
0,1,645678,1378277
0,1,771628,1378277
0,0,279994,1378277
0,1,532378,1378277
0,0,258874,1378277
0,1,643764,1378277
0,1,485408,1378277
0,1,657426,1378277
0,0,217734,1378277
0,1,353584,1378277
0,0,356994,1378277
0,0,173272,1378277
0,0,432564,1378277
0,1,756536,1378277
0,0,260216,1378277
0,1,363484,1378277
0,1,482152,1378277
0,1,469260,1378277
0,1,646800,1378277
0,1,494076,1378277
0,0,163438,1378277
0,0,522302,1378277
0,0,215226,1378277
0,0,425942,1378277
0,0,127974,1378277
0,0,489808,1378277
0,1,258896,1378277
0,1,680548,1378277
0,1,535678,1378277
0,1,426888,1378277
0,0,526724,1378277
0,1,435688,1378277
0,1,371074,1378277
0,1,786478,1378277
0,1,759990,1378277
0,1,754688,1378277
0,1,723668,1378277
0,1,787644,1378277
0,1,611446,1378277
0,1,421190,1378277
0,1,764236,1378277
0,1,546260,1378277
0,0,71302,1378277
0,0,321970,1378277
0,0,501622,1378277
0,1,363418,1378277
0,1,753060,1378277
0,0,488510,1378277
0,1,401786,1378277
0,0,193930,1378277
0,1,438922,1378277
0,1,253638,1378277
0,0,264770,1378277
0,1,630234,1378277
0,1,547536,1378277
0,0,45298,1378277
0,1,387992,1378277
0,1,377102,1378277
0,1,569690,1378277
0,1,335808,1378277
0,1,407660,1378277
0,0,538516,1378277
0,1,266156,1378277
0,1,755612,1378277
0,0,184932,1378277
0,0,218988,1378277
0,0,132154,1378277
0,0,347072,1378277
0,1,259094,1378277
0,1,625174,1378277
0,0,507562,1378277
0,1,418242,1378277
0,1,434852,1378277
0,0,349074,1378277
0,0,185570,1378277
0,1,352660,1378277
0,0,343244,1378277
0,0,440484,1378277
0,1,750376,1378277
0,1,782870,1378277
0,0,349712,1378277
0,1,432564,1378277
0,1,233684,1378277
0,0,191136,1378277
0,1,669834,1378277
0,1,617760,1378277
0,0,751784,1378277
0,0,152768,1378277
0,1,428758,1378277
0,0,456918,1378277
0,0,438482,1378277
0,1,450912,1378277
0,1,403084,1378277
0,1,404558,1378277
0,0,542586,1378277
0,0,350834,1378277
0,0,449680,1378277
0,1,529804,1378277
0,1,784630,1378277
0,0,531036,1378277
0,0,175494,1378277
0,1,337964,1378277
0,1,231946,1378277
0,1,455576,1378277
0,0,405900,1378277
0,0,128700,1378277
0,1,789096,1378277
0,1,440308,1378277
0,0,413732,1378277
0,0,549780,1378277
0,1,423852,1378277
0,1,219692,1378277
0,1,539330,1378277
0,1,554180,1378277
0,0,392326,1378277
0,0,444884,1378277
0,1,294514,1378277
0,1,436744,1378277
0,1,608014,1378277
0,1,258588,1378277
0,1,382492,1378277
0,1,550990,1378277
0,1,437316,1378277
0,1,219230,1378277
0,0,497354,1378277
0,1,448976,1378277
0,0,449636,1378277
0,1,445236,1378277
0,0,268730,1378277
0,0,358644,1378277
0,0,397980,1378277
0,0,535436,1378277
0,0,224642,1378277
0,1,492118,1378277
0,1,754446,1378277
0,0,431068,1378277
0,0,200376,1378277
0,1,332640,1378277
0,0,131428,1378277
0,0,248380,1378277
0,0,760232,1378277
0,1,388388,1378277
0,1,554400,1378277
0,1,540276,1378277
0,1,672606,1378277
0,1,789096,1378277
0,0,266024,1378277
0,1,513304,1378277
0,1,435644,1378277
0,1,476586,1378277
0,1,762916,1378277
0,1,252538,1378277
0,1,766700,1378277
0,0,546920,1378277
0,1,391138,1378277
0,0,90178,1378277
0,1,314380,1378277
0,1,756382,1378277
0,1,390764,1378277
0,1,546326,1378277
0,1,393316,1378277
0,1,223146,1378277
0,1,776622,1378277
0,0,189046,1378277
0,0,618530,1378277
0,1,612480,1378277
0,0,128788,1378277
0,0,153560,1378277
0,0,390808,1378277
0,0,539638,1378277
0,1,550726,1378277
0,0,614526,1378277
0,1,421542,1378277
0,0,264220,1378277
0,1,519838,1378277
0,1,428538,1378277
0,0,335192,1378277
0,1,549318,1378277
0,0,219868,1378277
0,1,338206,1378277
0,0,207878,1378277
0,0,473352,1378277
0,0,176066,1378277
0,1,684684,1378277
0,0,354156,1378277
0,0,221232,1378277
0,0,262372,1378277
0,1,438988,1378277
0,1,382778,1378277
0,0,212300,1378277
0,0,323400,1378277
0,0,309474,1378277
0,0,429132,1378277
1,1,246620,1378277
1,1,310948,1378277
1,1,756756,1378277
1,1,345906,1378277
1,1,657030,1378277
1,1,344080,1378277
1,1,653862,1378277
1,1,652938,1378277
1,1,398068,1378277
1,1,494560,1378277
1,1,359326,1378277
1,1,432322,1378277
1,1,217492,1378277
1,1,769780,1378277
1,1,646866,1378277
1,1,409992,1378277
1,1,347842,1378277
1,1,264946,1378277
1,1,552860,1378277
1,1,441716,1378277
1,1,357808,1378277
1,1,756756,1378277
1,1,477598,1378277
1,1,538252,1378277
1,1,755766,1378277
