churn,months,totcalls,totmou,d0alband
1,49,18890,46903.43,0
0,55,50044,107198.0167,0
0,55,9821,22135,1
1,55,32793,93695,0
1,49,2878,9775.053333,0
1,51,16861,38139.25333,1
1,55,15839,39970,1
1,51,1528,3623.02,0
0,55,9411,15246.02,1
1,49,46039,97840.04,1
1,49,497,1186,0
1,55,1005,3320,0
0,51,78825,125485.1867,1
1,49,1006,1942,0
1,55,33091,75100.02,1
1,51,41065,106177,1
1,51,460,1061,1
0,53,11991,23846,1
1,49,8372,18510.10333,1
0,49,2136,4813.03,0
1,53,781,1856,0
1,53,1476,4954,0
0,49,53619,120999.05,1
0,55,36892,67399.05667,1
0,51,23924,53022.4,1
1,53,26140,65225,1
1,53,14395,29672.36,0
1,49,1791,5387,0
0,53,13205,27398.05,1
0,49,25453,62538.00667,0
1,53,1027,2132.15,0
1,49,26063,35906.02,1
1,51,72085,102388.08,1
1,53,25580,67355.11,1
0,53,1688,2716,1
1,51,10112,39108.03,0
1,49,36493,59837.48,0
1,55,14702,40689.04,0
1,49,2765,8004.05,0
1,53,9479,31269.05667,0
1,49,10995,17078.02,0
1,51,54976,110529.08,1
0,55,31468,56590.13333,1
1,49,23680,65182.12667,1
1,49,62,105,0
0,53,19242,46888.07,1
1,53,10632,28325,1
1,53,9265,21567.03333,1
1,49,22055,44297.81333,0
1,51,10286,23244,1
0,55,9230,26166.99,0
1,53,74039,137951.9133,1
0,55,12550,29652,0
1,55,16473,30430.06,0
1,51,15841,25147,1
1,53,29475,67310.49667,1
0,51,7352,19719.2,1
1,51,18657,59255.24333,0
0,49,32064,50155,1
1,55,80295,143007,1
1,51,8857,23622.08667,1
1,49,4655,8821.32,1
0,51,39187,74358.02,1
1,55,40397,115477.92,1
1,49,9634,28030,1
0,51,1963,2987,0
0,51,12905,30634.32333,1
1,48,35148,84028.47333,1
1,48,3930,7950.096667,0
1,51,29914,59143,1
1,53,16481,47415.02,1
1,51,15735,31841.04,1
1,55,2533,5143,0
0,53,14255,49459,1
1,51,13927,29169.16333,0
0,53,20314,39115.76,0
0,53,17679,42448,1
0,55,5245,17771,1
1,48,4634,10461,1
1,50,12215,34383.09,0
1,52,33550,69206.03333,1
1,48,15898,54832.14333,1
1,53,26258,62200,1
1,50,4594,11551.12333,1
1,50,2816,5441,1
1,52,7789,24355,1
0,54,40653,70637,1
1,54,13128,62265.14,1
1,48,963,2413,0
1,48,3328,8769,0
1,54,16315,52035,1
1,50,32467,107484.8333,1
1,48,7974,12701,0
1,50,1713,3962,0
1,54,36144,76125,0
1,54,12490,33463.06667,1
1,50,48680,96269.56667,1
1,50,18270,45755.03333,1
1,48,1708,3488,0
1,48,13335,47478.37667,1
0,54,1144,2197,0
0,52,11604,32802.11333,1
1,50,1350,3795.186667,0
1,54,8526,21610.15333,0
1,52,23549,34938,1
0,48,17545,44559.03667,1
1,52,575,1655,0
0,48,9831,22328.02,1
0,48,21566,60025,1
1,50,6122,10494,1
1,54,3641,11405.15,0
1,54,60976,112961.1167,0
0,48,34323,83578.12,1
1,48,54269,92628.16667,1
0,48,26835,81144.07,1
1,48,2691,5517,0
0,50,18268,66914.13667,1
0,48,2221,14628,1
1,50,3073,6565.12,1
0,50,21418,46919.82,1
1,54,12681,36184.88,1
1,48,12996,32945.1,0
0,48,32439,64480,1
1,48,42006,101256.4633,1
0,50,9650,25004.01667,1
1,50,3915,5524,0
1,50,14020,30179,0
1,50,64778,105123.4667,1
1,54,19653,64545.22667,1
1,50,7906,21396.19333,0
0,52,77444,174467.38,1
1,52,18788,43617.09,1
0,52,563,765,0
0,48,14457,44219,0
0,52,24339,77753.06333,1
0,48,27667,69591.45333,1
0,50,39205,72848.36667,0
0,48,13453,42141.78,1
1,48,668,1828,0
0,48,6033,12578.30333,1
0,52,8858,19529.78,1
0,52,35739,58142.03333,0
1,50,30604,85758.20333,1
1,48,25956,50989.48333,0
0,48,35145,72310.53667,0
0,52,4694,8331,1
1,48,18417,35764.02,1
1,50,12521,54130.05,1
1,52,8720,17785.13333,1
1,48,551,1385,0
1,48,3576,7567.036667,0
1,48,4843,23810.03667,0
0,54,34112,71579.38333,1
0,54,25330,87422.01667,1
0,48,30847,85122.19,1
0,50,24418,90972.09,1
0,48,12184,25041,0
0,50,18957,42018,1
1,54,13934,26534.13333,0
0,48,21688,47535.42667,1
0,50,1056,2102.02,1
1,52,23362,63366.03,1
1,54,34993,85027.15333,0
0,54,12440,42193,1
1,48,8534,20632.24333,1
0,48,19331,37185.52,1
1,54,5363,15487,0
0,48,14350,24833.45,1
0,50,6296,12995.31,1
0,52,11114,32562.12,1
0,52,27152,56580.44667,0
0,50,436,1653.016667,0
0,52,38139,68641,0
0,50,31029,61484.33,1
1,52,9977,21329,1
1,54,15889,30469.11333,1
0,52,61552,112342.6833,0
0,50,56931,101165.04,1
1,52,17464,35028.53333,1
0,50,2436,7117,1
1,48,15172,33518.12667,1
0,54,15433,35600.04667,1
0,50,26783,46943.05,1
1,52,8645,20276.01667,1
1,52,7036,22065.02,1
1,54,3881,11260.02,1
1,50,4616,12780,1
1,48,14908,30599.84,1
0,52,36144,97024.02,1
1,54,14647,34569.28667,0
1,52,6119,11655.53667,0
0,52,14720,44925.17,1
0,54,3608,7761,0
0,48,15149,57023.05,1
0,50,23270,84029.02,1
0,48,2932,6538.036667,1
1,52,12801,33794.19667,0
1,50,31735,88159,0
1,52,24382,41673.05,1
1,52,28284,78485,1
1,50,932,1987,0
1,50,19916,49201.67,1
0,50,15739,50392.06,1
0,48,6340,19149.22,0
0,54,1389,2311,1
1,48,5386,16984.29,0
1,50,17186,55341,0
0,50,17229,51764,0
0,50,9080,23207.03333,0
1,52,8562,21896.08667,1
1,48,2860,4474.02,0
1,50,19390,40584.22333,1
1,52,50915,91840.13667,0
0,50,4978,9659,0
1,50,6996,19273.02,0
0,52,20747,46059.66333,1
1,48,6320,23487,0
1,48,2748,7295,0
0,48,47848,105028.1067,0
0,48,2786,4211,0
1,52,20482,51475,1
0,52,25010,43249,0
0,48,47349,103040.0467,1
0,52,7043,11874,1
0,54,3026,13661,1
0,48,23251,50341.02,1
0,48,18109,46933,1
1,48,1109,1555.03,0
0,52,17953,32027.18,1
1,52,5986,16242,1
0,50,16190,37169.02,1
1,54,1294,2410,1
1,50,51817,124032.06,1
0,50,18706,38707.08,1
0,54,24384,45457,0
1,50,13593,34732.49,0
0,50,2899,4556,1
0,50,33737,102230,0
1,54,13577,63674.11,1
0,54,21021,57125.38333,1
0,48,7539,11221,1
1,52,9839,20087.3,0
1,48,6805,16500.04667,1
1,52,41166,64472.60667,0
1,54,30266,61792.05667,1
0,50,36276,65121.08667,1
1,48,11635,22091,1
0,52,2796,6954.016667,0
0,52,12136,34747.07,0
1,50,1332,2333,0
1,54,64690,126500.6867,1
0,48,7730,20182,1
1,54,15316,31049.01667,1
1,52,12521,35729.06333,1
1,54,20495,51117.29667,1
0,48,3411,12324.06667,1
1,50,23357,47230,1
1,54,25563,68025.05333,0
1,47,6196,23363,0
1,47,488,1096,0
0,52,60376,93008.06667,1
0,50,66754,122300.5,0
1,47,781,3406,0
0,47,23823,52491.7,1
1,52,8186,20494,1
1,51,6215,12048.02,1
0,47,20791,63123,1
0,47,4901,14030,0
0,47,17125,34663.05333,1
0,53,76972,152486.0367,0
0,53,7333,15713,1
1,47,10656,20241.23333,1
1,47,9798,24429,0
0,51,31562,82912.01,1
1,47,3617,20575,0
0,53,44849,116770.85,1
0,51,9369,21235.02,0
0,53,17927,48809.14333,1
1,49,3034,7792.04,0
0,53,37432,81924.34333,1
1,47,11792,27814.03667,1
1,53,13603,23795,0
0,49,13637,31543.36333,1
1,53,35951,74665.08667,0
0,49,1803,3127,0
1,51,14123,27922.10667,0
1,47,13330,31869,1
1,53,6406,16590,1
1,53,21642,71989.03667,1
1,49,652,1432.053333,0
0,47,3635,14247,0
1,53,45588,101751.08,1
0,49,12671,27705.15,1
0,49,34709,66424.23667,1
1,51,4663,23320.02,0
1,47,5599,18697.23667,1
1,49,5309,12350.28,1
0,51,19346,42130.01667,1
1,47,18365,30344,1
1,51,4044,8135.016667,0
0,51,20094,36556.15333,0
1,53,2004,3968,0
0,51,23325,55467.41,1
0,53,40927,87542,1
1,49,27349,64743.17667,1
1,47,29334,72678.07,0
0,49,29489,74384.15,1
1,51,5091,11274.27,1
0,47,20176,40588.06333,1
1,53,2300,4031.02,0
0,53,12774,30946.05333,1
0,47,53384,83927.81667,0
0,49,7884,19368,1
1,47,15118,32327.16667,0
1,47,8282,18591.11,1
1,51,11540,29462,1
1,47,2157,4697,0
1,47,7735,12755.05,0
0,53,8952,17895.01667,1
1,49,28685,72638,1
0,53,24160,57051.72,1
0,47,11545,35948,0
1,51,2400,5649,1
0,51,35472,88242.33667,1
0,47,11324,30109.15667,1
0,49,28434,60211.42333,1
1,49,10615,24369.21333,1
1,49,26643,51977.39333,1
0,53,4066,7828,1
1,53,15868,38777.07,1
0,49,20651,47225.14,1
0,53,23685,54608.02,1
0,47,22244,49902.19667,1
1,51,9660,26291,0
1,53,5317,9318,1
0,49,58239,128293.03,1
1,51,8761,20178,0
1,47,26391,73849.26667,1
1,47,4479,11224.05333,0
1,53,27750,54352.05,1
1,53,4927,8188,0
1,49,4704,14220,0
1,49,127,327,0
0,51,22087,46777.2,0
1,47,6140,10265,0
0,53,20923,39490,1
1,49,574,1284.07,0
0,53,9249,27541,1
1,49,45016,112829.5233,0
0,47,6609,9826.016667,1
0,53,33331,86906.16667,0
1,47,1380,4063,1
0,51,8055,16635.06667,0
1,51,28697,63723.41333,1
1,47,15872,26508.17,1
0,49,38593,84072,0
0,47,16973,45026.58667,0
0,47,9112,18457,1
1,49,26346,64006.32,1
0,49,12231,29049.12333,0
0,53,4663,19520,1
0,53,8276,15337.20667,0
1,49,24561,54491.14,1
0,53,22739,35653,1
1,51,2274,5426.036667,1
1,53,67034,121809.02,1
1,51,5133,12525.13,0
1,49,33561,53811.02,0
0,51,33152,56762.05667,0
1,51,4050,10162.15333,0
1,51,2060,10639,0
0,53,15769,31632,1
0,49,44998,87989.71667,1
0,47,5873,11253,1
0,51,47937,100104.4333,1
1,47,9154,24634.14,1
0,49,8099,18393.18667,1
0,51,7028,23229,1
0,47,11646,30114.22,1
1,53,14204,34535.42,1
0,53,14404,30396.27667,1
1,51,13193,29870.38,1
0,47,25451,81269,1
0,47,25139,42809.28333,0
0,51,98874,173608.37,1
0,49,20991,41748.08667,1
1,53,3611,10012.05,0
0,51,24995,45221.15,1
0,53,17773,44883,1
1,47,21871,50592.21667,1
1,47,17174,40411.44333,1
1,47,5594,9840.05,0
0,51,3738,17146,1
1,49,4245,8407.04,0
0,51,32095,59696.04,1
1,49,11015,29424,0
0,49,24436,61794.20667,1
1,53,11473,25240.24,0
0,49,18025,51725.01667,0
1,47,625,1042,0
0,53,16960,56143.74333,1
0,49,26317,55509.17,0
1,47,25539,51687.07,0
1,47,20980,39549.32,1
0,53,25361,74316.11,0
0,51,14057,48337.01667,1
1,51,1892,10426.03667,1
0,53,10362,27068,0
1,49,8064,21608,1
0,47,24820,55926.03667,0
1,47,9828,25675.07,1
0,49,50636,106760.3067,0
1,51,42014,69241,1
0,53,11639,40531.04,1
0,49,3219,6011,0
1,47,7371,36834,0
1,51,15885,35932.07,1
1,47,7273,12000.03,1
0,47,1990,3598,1
0,53,1614,6976,0
1,53,654,2180,0
0,53,9722,24124,1
0,47,5003,10479,1
1,49,8352,18053.22333,1
0,51,14422,47060,0
1,49,7268,15468,1
1,53,6063,22410.01667,1
0,49,19748,71211.89333,0
1,47,33883,98733,1
1,53,2691,7324,0
0,47,11286,23861.01667,0
1,47,7892,18944.02,0
0,49,9160,29860.21,1
1,47,4674,9779,0
0,53,46579,98624.09667,1
1,53,5512,15799,0
0,47,27617,59365.1,1
1,49,7858,19496.07667,0
1,51,27024,51788.23667,0
0,53,320,961,0
0,47,167,271,1
1,47,10181,21636,1
0,47,21170,82900.80333,1
0,53,23766,51261.03667,1
0,47,54383,100425.34,1
0,47,19197,39549.09,1
0,49,19400,45846.04,0
0,47,26348,69136.21667,0
0,49,10311,26603.04,1
1,51,1970,4534.016667,0
0,47,28059,63372.45,1
0,51,14270,33926.03667,0
1,49,57960,87099.37,1
1,53,47241,111541.4267,0
0,47,35652,88932.16667,0
1,51,1904,6428,1
1,53,11868,22715.29,1
0,51,3355,10868,1
0,47,386,936,0
1,51,23097,54985.03333,0
0,47,41017,69478.14333,1
1,47,3386,7093.07,1
1,51,24836,70317.17,1
1,49,30479,61245.27,1
0,51,84073,233419.0967,1
1,47,20461,48315.12333,1
1,49,2531,4533,1
0,49,5797,22419,1
0,47,23111,41637.05,0
0,47,13479,37411.03667,1
0,53,19344,49146.37667,1
1,47,3673,10544.87,0
1,47,6199,15561.09667,0
1,53,21163,47438.09667,0
0,49,5279,17794,1
1,51,2236,4984.02,0
0,51,4507,16186.10333,0
0,51,21227,47147.71,1
0,49,7084,13388,1
1,47,11025,18819,1
1,53,36592,85527.02,1
0,49,28066,43535,1
1,53,10386,35642.12333,1
0,47,11301,28095.09,0
0,49,721,2039.016667,0
0,53,1303,3207.036667,0
0,51,8702,21804.24,1
0,49,16901,25645,1
0,47,3423,9204,0
1,51,6544,15467.02,1
1,53,18175,62835,1
1,51,3280,5891,0
1,47,18951,47102.37,0
1,47,15247,26622.10333,1
0,53,3275,9588,1
1,47,35779,63324.03667,0
1,53,5517,16019,0
0,49,34153,81292.07,1
0,47,20913,43473.07667,0
0,49,21323,34324.07333,1
0,53,9495,22982.01667,1
0,53,70411,140779.4167,1
0,51,5783,14281.01667,0
1,53,316,851,0
1,51,6563,26322,0
1,51,3127,7210,1
0,51,37953,108829.4033,1
1,53,4747,9594.096667,0
0,53,11592,27034.01667,1
0,51,21884,41859.02,1
1,51,322,672,0
0,53,3129,12075.13333,1
0,47,5717,16455,1
0,51,11483,25997,1
1,51,492,885.02,0
0,51,9633,24661.01667,1
0,53,43638,96932.05667,1
0,47,11310,27523.05333,1
0,46,9701,25583.15,1
1,46,39613,97229.13667,1
1,46,10618,20083,1
0,53,13039,33557,0
1,46,12579,29772.30667,1
0,49,1411,2179,0
1,51,11389,24276,1
0,51,14717,28643.05333,0
1,46,2395,7346,0
1,46,20821,49277.26667,1
1,46,26262,53891.12333,1
0,53,515,1143,0
1,46,18347,30322,0
0,46,39450,89321.01667,1
1,50,10009,25720.14667,1
0,52,8145,28356,1
0,46,29097,66711.02,1
1,50,22754,97239.02,0
0,48,14424,23708.03667,1
0,50,20873,35165.01667,1
0,46,12703,26819.12,1
1,46,15537,28447,1
1,50,2697,4729,1
0,48,9040,27500.19667,1
0,50,10174,40448.01667,1
1,50,10507,27124.08333,0
1,46,14622,48519.10333,0
1,50,17737,47884.16667,1
0,46,39079,84473.1,1
1,52,2882,5890,0
0,52,3745,8860,0
1,46,12932,45733.35333,1
1,48,117,229,0
0,50,5749,10707,1
0,46,3255,5176,0
1,52,62711,147379.3133,1
1,50,2102,6017,0
1,48,10329,19938,0
1,50,12181,30435.1,1
0,48,38330,112345,1
0,52,27232,70842.07,1
0,52,10655,18381.19667,1
1,52,11752,23947.05,0
0,52,2224,5491,1
0,46,13017,20129,1
0,46,7297,19756.26,0
0,48,2731,8310.873333,0
0,48,30681,60835,0
0,50,5736,13970.12667,1
0,46,7868,17228.16333,1
0,50,23496,54964.48667,1
1,50,8221,12555,1
1,50,7441,30241.04667,1
1,52,2332,8712,1
0,48,7341,16231,0
1,46,7173,17444,1
0,50,6965,12752,1
1,46,2487,4703.033333,0
1,48,7013,14051.01667,0
1,52,440,961.02,0
0,50,7098,18399,0
1,52,4071,9509,1
1,46,1708,3073,0
1,48,2060,5175.113333,1
0,46,21306,44679.32333,1
1,48,10862,31550,0
0,52,21758,53123,1
0,48,52059,80545.02,0
1,48,9697,22931.2,1
1,48,3254,8326.016667,1
0,52,12075,30701.22,1
1,52,24605,50826,1
0,48,11412,29309.53667,1
1,50,10101,26514.03667,1
1,46,5130,9273,1
0,48,11249,19417.04,0
1,48,18564,30990.02,0
1,50,14587,37439.05,1
1,50,9101,22019,1
1,52,669,1150,1
1,52,3169,6820,1
0,48,4402,11853,0
1,48,6112,28545.36667,1
0,52,48380,84506.19333,1
1,52,4097,7554.053333,0
0,48,10898,22537.06667,1
0,48,8697,22643,1
1,52,801,1362,1
0,48,899,2501,1
1,48,1734,4797,0
1,48,9362,19009.04,1
1,48,7439,25945,1
1,48,3757,28769,0
1,46,2805,5627,1
1,48,4515,11058.05,1
0,50,18678,71227.53667,1
0,46,9120,15261.04,1
1,52,1852,3901.05,0
0,52,1174,2502,1
1,48,32921,59274.02,1
0,48,7453,14910.18,1
0,48,13006,36116.09,1
0,50,570,842,0
1,46,1147,1721,0
1,46,4771,9003,0
0,52,4662,10969.08,0
1,48,10295,19890.11667,1
0,52,5406,11081,0
0,52,6549,17976,1
1,46,14391,34836.07,1
0,52,16314,34190.17667,1
0,46,47328,113749,1
1,50,1999,3470,0
0,50,6104,11116.47667,0
1,50,2248,3900,1
0,50,11539,37653.02,1
0,46,1159,3380,1
1,48,11663,31304.07,1
0,50,39251,68466.13667,1
1,50,5926,12899.01667,1
1,46,6775,13696.03,0
1,46,42317,86580.68333,1
0,50,3933,10698,1
1,48,18846,44235.03667,0
1,50,11728,23746,1
0,50,1517,5193,0
1,48,9346,30018,1
1,52,5531,13596,1
0,46,2260,4475,1
0,52,15133,36773,1
0,46,8955,20071.10667,1
1,50,25249,92205.36333,1
1,52,4501,8781.03,0
1,46,10009,18652.01667,0
1,48,33639,57236.07333,1
0,52,3160,6246,1
0,50,13009,28572.16667,1
0,46,7855,14172,1
0,46,1297,2628,1
1,48,2432,5417,1
0,52,9164,23393.02,1
1,52,17558,38999,0
0,48,6501,13838.39,1
1,48,1030,1549,0
0,48,24995,34870,1
1,52,17262,31808.04,1
1,52,9166,21532.02,1
0,52,6449,13069,1
1,52,3651,10701.07333,1
1,46,7263,18753,0
0,52,7729,20875.02,0
0,46,77543,95105,0
0,46,83,143,0
0,46,5560,16337,1
0,48,8527,28955.02,1
0,45,3204,6950,1
0,52,14341,37731.15333,1
0,45,18,32,0
0,48,2223,5729.02,1
1,52,4503,7400.05,1
1,45,2811,4642,0
0,45,547,2954,0
0,45,3745,8846.173333,0
1,45,1029,2946,1
0,51,20884,50785.14667,1
1,47,4107,6662,1
1,49,7486,17308.02,0
0,47,62893,102483,0
1,51,4113,8749,0
1,49,13703,29758.16333,0
1,51,2239,4779,0
0,49,7708,18038,1
0,47,6613,13117.02,0
1,51,499,711,0
0,45,3372,7595,1
1,47,8790,19929.19,1
1,49,17481,28929,0
0,49,8544,16132,1
0,49,5199,16290.05,0
1,45,9004,19384,1
1,49,10321,23000.05,1
1,49,24809,63964.02,1
1,47,13046,30350.14667,0
0,45,10895,26120.25,1
1,47,17090,42835.02,1
1,51,13451,25973,0
0,47,1009,4270,1
1,45,1355,2791.03,1
0,47,6781,16033.33667,1
0,47,7771,19354.28333,1
0,49,13176,21722,0
0,49,18760,32318,0
0,47,2940,6356.03,0
1,51,1317,3403,0
0,51,7625,14386.01667,1
0,45,341,535,1
1,47,1910,5867.07,1
0,45,9147,21662.06333,1
0,47,23084,55237.56333,1
0,49,9216,21068,1
0,49,1843,3272.05,0
0,47,2319,8084,1
1,49,3548,10971.07333,0
1,47,9739,17943,1
0,47,12412,33831.15333,0
0,49,11091,21129.09,1
1,49,13574,26589,1
0,45,6376,17700.13667,0
0,45,5880,12899.14333,0
1,47,7432,19610,1
1,45,9386,21304.02,1
1,47,21518,49640.48333,1
1,51,11222,27795,1
1,51,13629,36927,0
0,51,6847,14501.08333,1
0,49,7768,26751.08,1
0,49,858,2052,0
0,47,33340,67667.06667,0
1,51,17524,32592.05,0
1,47,3952,11574.01667,0
1,49,12683,24870,1
0,51,5797,15096.12,1
0,49,2065,5043,1
0,49,13800,34436.1,0
0,51,98139,163264.1767,1
1,51,3938,7324.03,0
0,45,215,1037,0
0,45,777,1353,1
0,45,12566,22631.05,0
1,51,7975,21508.37333,1
0,49,10145,20030.30333,1
0,49,3709,6497,1
1,45,12600,42766.16,0
0,47,7364,12625,0
0,51,12196,27906.11,1
0,47,3241,17137.02,1
0,45,12443,21595.01667,0
0,51,33598,72108.32333,1
1,51,4784,7953.036667,1
1,45,31945,64482.06333,1
0,45,972,2236.356667,0
1,51,1004,3693,1
1,45,5656,9979,0
0,45,11001,22166,0
1,49,7634,22699.13333,1
0,49,16984,50170.03667,1
1,47,672,2034,0
0,51,1263,3210.02,0
0,45,13980,31450.05,1
0,51,7679,22619.13333,1
1,51,6446,14696.03667,1
0,49,31002,60040,1
1,47,11656,32563,1
0,45,28335,57488.01667,1
0,45,3796,7308,1
0,45,12651,31689.18667,1
1,49,1793,5190.03,1
1,45,11772,25607,1
0,47,70189,136445,1
1,47,10793,23130,1
0,51,18405,49790,1
1,49,5959,15544,1
0,45,2207,8803,1
0,49,8058,24268.05,0
0,49,34414,62691,1
0,49,4548,14051.01667,1
1,51,35626,66808,0
1,51,4383,11689.03667,1
1,51,5828,12227.06,1
0,47,900,1807,0
0,47,10681,23141.02,1
0,51,3269,26477,0
1,49,8093,29803,1
1,51,17167,42842.27,1
1,51,2233,3617.02,0
1,45,2673,7013.05,0
0,51,31167,56079,0
0,47,8414,25938.20667,0
1,49,4387,10315.14,0
0,49,7238,19008.02,1
0,45,1212,3973.053333,0
1,51,17002,42435.02,1
1,45,8497,20402,1
0,47,1569,3193,0
1,47,13595,25792,1
0,47,13055,28293,1
0,45,9200,27757,1
0,47,4143,8418,1
1,49,16532,69098,1
0,45,2355,5649.02,0
0,47,19224,48540.47667,0
1,51,3443,7793,0
1,49,2600,6195.016667,0
0,47,1482,2246,1
0,51,9998,30768.05667,1
0,49,12348,35522.17333,1
0,45,781,2202.016667,0
0,47,17483,28669.07333,0
1,49,4348,10322.03333,1
0,45,8701,26553,0
0,47,1275,3446,1
0,49,11185,23278.02,0
1,51,4908,22683,1
0,51,3232,11670.21667,1
1,44,233,509,1
0,44,14240,40078,0
1,44,40112,68219.02,1
1,50,12958,44420.05667,1
0,48,5618,17083,1
1,46,4524,7072.02,0
0,48,19706,44304.08333,1
1,44,5506,9428.086667,0
0,50,1058,2585,0
1,50,2746,6515,0
1,46,1702,4849,1
1,48,8407,17933,1
0,50,3902,9583.04,1
1,48,21833,34528.02,1
0,46,5935,13250.03,1
0,44,16195,34292.05,1
0,48,398,704,0
0,46,2428,4726,1
0,50,17114,39435.01667,1
1,44,16753,29521.13333,1
1,44,15296,23536,0
0,44,3752,11075.03667,1
1,46,7430,24268.10333,0
1,44,1054,5739.02,0
1,50,5000,11245.08333,1
0,50,9609,49162.02,0
1,46,367,775,0
1,46,8772,19833.08667,1
1,46,7994,30404,0
0,50,17225,42326.06667,1
