ID,CODE_GENDER,FLAG_OW0_CAR,FLAG_OW0_REALIT1,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,Months,Risk,New_Status
5008852,0,1,1,0,112500,1,5,2,2,-20502,-4450,1,0,0,1,0,0
5008853,0,1,1,0,112500,1,5,2,2,-20502,-4450,1,0,0,16,0,0
5008854,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,2,0,0
5008855,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,29,1,0
5008856,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,4,0,0
5008857,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,28,28,1
5008858,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,11,0,0
5008859,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,5,0,0
5008860,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,4,1,0
5008861,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,4,1,0
5008862,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,3,1,0
5008863,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,2,0,0
5008864,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,3,1,0
5008865,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,2,0,0
5008866,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,2,0,0
5008867,1,1,1,2,135000,5,5,2,2,-15761,-3173,1,0,0,4,2,1
5008868,1,0,1,1,211500,3,5,1,2,-16212,-7099,1,0,0,25,0,0
5008870,1,0,1,1,211500,3,5,1,2,-16212,-7099,1,0,0,12,0,0
5008872,0,1,1,0,360000,1,5,2,2,-16670,-5364,1,0,0,11,2,0
5008873,1,0,1,2,126000,1,2,2,2,-12411,-1773,1,0,1,22,0,0
5008874,1,0,1,2,126000,1,2,2,2,-12411,-1773,1,0,1,46,0,0
5008875,1,0,1,2,126000,1,2,2,2,-12411,-1773,1,0,1,40,0,0
5008876,1,0,1,2,126000,1,2,2,2,-12411,-1773,1,0,1,44,0,0
5008877,1,0,1,2,126000,1,2,2,2,-12411,-1773,1,0,1,8,0,0
5008878,1,0,1,2,126000,1,2,2,2,-12411,-1773,1,0,1,12,0,0
5008879,1,0,1,2,126000,1,2,2,2,-12411,-1773,1,0,1,22,0,0
5008880,1,0,1,2,126000,1,2,2,2,-12411,-1773,1,0,1,11,0,0
5008881,1,0,1,2,126000,1,2,2,2,-12411,-1773,1,0,1,20,0,0
5008882,1,0,1,2,126000,1,2,2,2,-12411,-1773,1,0,1,40,0,0
5008884,1,0,1,0,315000,2,5,5,2,-20186,365243,1,0,0,41,14,0
5008888,1,0,1,0,247500,1,2,3,5,-17016,-1347,1,0,0,6,2,1
5008889,1,0,1,0,247500,1,2,3,5,-17016,-1347,1,0,0,5,2,0
5008890,1,0,1,0,247500,1,2,3,5,-17016,-1347,1,0,0,6,2,1
5008891,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,8,0,0
5008892,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008893,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,37,0,0
5008894,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,37,0,0
5008895,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,35,0,0
5008896,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008897,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008898,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,21,0,0
5008899,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008900,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,21,0,0
5008901,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008902,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,21,1,0
5008903,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008904,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,21,1,0
5008905,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008906,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,21,1,0
5008907,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008908,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,21,1,0
5008909,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008910,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,21,1,0
5008911,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008912,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,21,1,0
5008913,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008914,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,19,1,0
5008915,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008916,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,18,1,0
5008917,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008918,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,17,1,0
5008919,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,0,0
5008920,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,16,1,0
5008921,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,14,0,0
5008922,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,14,1,0
5008923,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,13,0,0
5008924,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,13,1,0
5008925,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,13,0,0
5008926,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,12,1,0
5008927,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,10,0,0
5008928,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,10,1,0
5008929,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,8,0,0
5008930,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,7,1,0
5008931,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,6,0,0
5008932,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,6,1,0
5008933,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,6,0,0
5008934,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,5,0,0
5008935,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,5,0,0
5008936,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,4,0,0
5008937,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,2,0,0
5008938,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,2,0,0
5008939,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,1,0,0
5008940,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,2,0,0
5008941,1,0,1,0,297000,1,5,4,5,-15519,-3234,1,0,0,8,0,0
5008942,1,0,0,0,157500,1,2,2,2,-13642,-4846,1,0,0,16,1,1
5008943,1,0,0,0,157500,1,2,2,2,-13642,-4846,1,0,0,15,15,1
5008944,1,0,0,0,157500,1,2,2,2,-13642,-4846,1,0,0,16,1,1
5008945,1,0,0,0,157500,1,2,2,2,-13642,-4846,1,0,0,16,1,1
5008946,1,0,0,0,157500,1,2,2,2,-13642,-4846,1,0,0,16,1,1
5008947,0,0,1,0,135000,5,5,2,2,-15484,-1408,1,1,0,13,13,1
5008948,0,0,1,0,135000,5,5,2,2,-15484,-1408,1,1,0,13,13,1
5008949,0,0,1,0,135000,5,5,2,2,-15484,-1408,1,1,0,1,1,1
5008950,0,0,1,0,135000,5,5,2,2,-15484,-1408,1,1,0,13,13,1
5008951,0,0,1,1,225000,5,5,2,2,-10321,-2808,1,0,0,46,0,0
5008952,0,0,1,1,225000,5,5,2,2,-10321,-2808,1,0,0,46,46,1
5008953,0,0,1,1,225000,5,5,2,2,-10321,-2808,1,0,0,28,28,1
5008954,0,0,1,1,225000,5,5,2,2,-10321,-2808,1,0,0,6,0,0
5008955,1,1,1,0,135000,5,5,2,2,-17785,-1712,1,0,0,5,0,0
5008956,1,1,1,0,135000,5,5,2,2,-17785,-1712,1,0,0,40,0,0
5008957,1,1,1,0,135000,5,5,2,2,-17785,-1712,1,0,0,40,0,0
5008958,1,1,1,0,135000,5,5,2,2,-17785,-1712,1,0,0,4,0,0
5008959,1,1,1,0,135000,5,5,2,2,-17785,-1712,1,0,0,16,0,0
5008960,1,1,1,0,135000,5,5,2,2,-17785,-1712,1,0,0,29,0,0
5008962,1,1,1,0,135000,5,5,2,2,-17785,-1712,1,0,0,27,1,0
5008963,1,1,1,0,135000,5,5,2,2,-17785,-1712,1,0,0,39,1,0
5008966,0,0,1,0,157500,5,5,2,2,-16027,-889,1,0,0,16,1,0
5008967,0,0,1,0,157500,5,5,2,2,-16027,-889,1,0,0,22,8,0
5008971,0,0,1,0,157500,5,5,2,2,-16027,-889,1,0,0,5,0,0
5008973,0,0,1,0,157500,5,5,2,2,-16027,-889,1,0,0,5,0,0
5008974,1,0,1,0,112500,2,5,2,2,-22319,365243,1,0,0,3,1,0
5008975,1,0,1,0,112500,2,5,2,2,-22319,365243,1,0,0,22,1,1
5008976,1,0,1,0,112500,2,5,2,2,-22319,365243,1,0,0,2,0,0
5008977,1,0,1,0,112500,2,5,2,2,-22319,365243,1,0,0,24,0,0
5008978,1,0,1,0,112500,2,5,2,2,-22319,365243,1,0,0,22,1,1
5008979,1,0,1,0,112500,2,5,2,2,-22319,365243,1,0,0,38,0,0
5008980,1,0,1,0,112500,2,5,2,2,-22319,365243,1,0,0,51,0,0
5008981,0,1,1,0,112500,3,5,2,2,-20874,-2381,1,0,0,11,11,1
5008983,0,1,1,0,112500,3,5,2,2,-20874,-2381,1,0,0,12,12,1
5008984,0,1,1,0,112500,3,5,2,2,-20874,-2381,1,0,0,59,56,0
5008986,0,1,1,0,112500,3,5,2,2,-20874,-2381,1,0,0,11,11,1
5008987,0,1,1,0,112500,3,5,2,2,-20874,-2381,1,0,0,11,0,0
5008988,0,1,1,0,112500,3,5,2,2,-20874,-2381,1,0,0,17,17,1
5008991,1,1,1,0,270000,5,5,3,2,-16582,-1194,1,1,0,29,3,1
5008992,1,1,1,0,270000,5,5,3,2,-16582,-1194,1,1,0,7,1,0
5008993,1,1,1,0,270000,5,5,3,2,-16582,-1194,1,1,0,18,0,0
5008994,1,1,1,0,270000,5,5,3,2,-16582,-1194,1,1,0,20,3,0
5008995,1,1,1,0,270000,5,5,3,2,-16582,-1194,1,1,0,19,1,1
5008998,1,1,1,0,270000,5,2,2,2,-10628,-828,1,0,1,4,4,1
5008999,1,1,1,0,270000,5,2,2,2,-10628,-828,1,0,1,4,4,1
5009000,0,1,1,0,157500,5,5,2,2,-9927,-828,1,0,0,23,0,0
5009001,0,0,1,0,166500,5,5,2,2,-18926,-6276,1,1,0,7,1,1
5009002,0,0,1,0,166500,5,5,2,2,-18926,-6276,1,1,0,7,1,1
5009005,0,0,1,0,166500,5,5,2,2,-18926,-6276,1,1,0,7,1,1
5009006,0,0,1,0,166500,5,5,2,2,-18926,-6276,1,1,0,11,4,1
5009007,0,0,1,0,166500,5,5,2,2,-18926,-6276,1,1,0,11,4,1
5009008,0,0,1,0,166500,5,5,2,2,-18926,-6276,1,1,0,7,1,1
5009009,0,0,1,0,166500,5,5,2,2,-18926,-6276,1,1,0,11,4,1
5009010,0,0,1,0,166500,5,5,2,2,-18926,-6276,1,1,0,7,1,1
5009012,0,0,1,0,166500,5,5,2,2,-18926,-6276,1,1,0,6,3,0
5009014,0,0,1,0,166500,5,5,2,2,-18926,-6276,1,1,0,7,1,1
5009016,1,0,1,2,216000,3,2,2,2,-15444,-3112,1,0,1,25,0,0
5009018,1,0,1,2,216000,3,2,2,2,-15444,-3112,1,0,1,13,1,0
5009019,1,0,1,2,216000,3,2,2,2,-15444,-3112,1,0,1,33,0,0
5009020,1,0,1,2,216000,3,2,2,2,-15444,-3112,1,0,1,25,0,0
5009022,1,0,1,2,216000,3,2,2,2,-15444,-3112,1,0,1,40,0,0
5009023,1,0,1,2,216000,3,2,2,2,-15444,-3112,1,0,1,36,0,0
5009024,1,0,1,2,216000,3,2,2,2,-15444,-3112,1,0,1,9,0,0
5009025,1,0,1,2,216000,3,2,2,2,-15444,-3112,1,0,1,34,0,0
5009027,1,1,1,0,270000,1,5,2,2,-19861,-10843,1,0,1,22,7,0
5009028,1,1,1,0,225000,1,5,2,2,-14450,-2777,1,0,0,11,1,1
5009029,1,1,1,0,225000,1,5,2,2,-14450,-2777,1,0,0,16,1,0
5009031,1,0,1,0,315000,5,5,4,2,-10554,-1194,1,0,0,14,10,0
5009032,1,0,1,0,315000,5,5,4,2,-10554,-1194,1,0,0,14,10,0
5009033,1,0,0,0,255150,2,3,1,5,-18682,365243,1,0,0,17,13,1
5009034,1,0,0,0,255150,2,3,1,5,-18682,365243,1,0,0,18,0,0
5009035,1,0,0,0,255150,2,3,1,5,-18682,365243,1,0,0,6,2,1
5009036,1,0,0,0,255150,2,3,1,5,-18682,365243,1,0,0,19,3,0
5009037,1,0,0,0,255150,2,3,1,5,-18682,365243,1,0,0,20,16,1
5009038,1,0,0,0,255150,2,3,1,5,-18682,365243,1,0,0,13,9,1
5009039,1,0,1,2,157500,5,5,4,2,-14326,-555,1,0,0,9,2,0
5009040,1,0,1,2,157500,5,5,4,2,-14326,-555,1,0,0,4,2,0
5009042,1,0,1,0,148500,5,2,2,2,-17641,-889,1,0,0,21,13,1
5009043,1,0,1,0,148500,5,2,2,2,-17641,-889,1,0,0,19,4,1
5009044,1,0,1,0,148500,5,2,2,2,-17641,-889,1,0,0,15,1,1
5009045,1,0,1,0,148500,5,2,2,2,-17641,-889,1,0,0,15,1,1
5009046,1,0,1,0,148500,5,2,2,2,-17641,-889,1,0,0,8,4,0
5009047,1,0,1,0,148500,5,2,2,2,-17641,-889,1,0,0,12,1,0
5009050,1,0,1,2,202500,5,2,2,2,-10997,-2289,1,0,1,14,0,0
5009051,1,0,1,2,202500,5,2,2,2,-10997,-2289,1,0,1,43,0,0
5009052,1,0,1,2,202500,5,2,2,2,-10997,-2289,1,0,1,48,0,0
5009053,1,0,1,2,202500,5,2,2,2,-10997,-2289,1,0,1,14,0,0
5009055,1,0,1,2,202500,5,2,2,2,-10997,-2289,1,0,1,14,13,1
5009056,0,0,1,0,202500,5,5,4,2,-8861,-889,1,1,0,10,0,0
5009057,0,0,1,0,202500,5,5,4,2,-8861,-889,1,1,0,10,0,0
5009058,1,1,1,0,112500,1,5,4,2,-7489,-797,1,0,1,1,1,1
5009060,1,0,1,0,94500,2,2,2,2,-22331,365243,1,0,0,4,0,0
5009062,0,1,1,0,315000,5,5,1,2,-10450,-2077,1,0,0,38,19,0
5009063,0,1,1,0,315000,5,5,1,2,-10450,-2077,1,0,0,28,19,0
5009064,0,1,1,0,315000,5,5,1,2,-10450,-2077,1,0,0,5,5,1
5009065,0,1,1,0,315000,5,5,1,2,-10450,-2077,1,0,0,11,11,1
5009066,0,1,1,0,315000,5,5,1,2,-10450,-2077,1,0,0,16,2,0
5009067,0,1,1,0,315000,5,5,1,2,-10450,-2077,1,0,0,5,1,1
5009068,0,1,1,0,315000,5,5,1,2,-10450,-2077,1,0,0,23,19,0
5009069,0,1,1,0,315000,5,5,1,2,-10450,-2077,1,0,0,36,2,0
5009070,0,1,1,0,315000,5,5,1,2,-10450,-2077,1,0,0,38,19,0
5009071,1,1,1,0,270000,1,3,1,3,-10264,-3173,1,0,1,21,5,0
5009072,1,1,1,0,270000,1,3,1,3,-10264,-3173,1,0,1,24,5,0
5009074,1,1,1,1,450000,3,2,2,2,-17726,-708,1,0,1,23,0,0
5009075,1,1,1,1,450000,3,2,2,2,-17726,-708,1,0,1,24,1,1
5009078,0,0,1,1,180000,5,5,2,6,-14122,-1286,1,0,0,31,0,0
5009079,1,0,1,0,112500,5,2,1,2,-10064,-3173,1,0,1,44,0,0
5009080,1,0,1,0,112500,5,2,1,2,-10064,-3173,1,0,1,16,0,0
5009081,1,0,1,0,112500,5,2,1,2,-10064,-3173,1,0,1,17,6,1
5009083,0,0,1,0,90000,5,5,2,2,-20531,-5730,1,0,0,48,9,0
5009084,0,0,1,0,90000,5,5,2,2,-20531,-5730,1,0,0,3,0,0
5009088,0,1,0,2,202500,1,2,2,2,-14730,-2989,1,0,0,41,9,1
5009089,0,1,0,2,202500,1,2,2,2,-14730,-2989,1,0,0,40,8,0
5009090,0,1,1,0,247500,5,5,2,2,-12628,-4025,1,0,0,14,0,0
5009092,0,1,1,1,765000,5,2,2,2,-12197,-1194,1,1,0,4,0,0
5009094,0,1,1,1,765000,5,2,2,2,-12197,-1194,1,1,0,4,0,0
5009095,0,1,1,1,765000,5,2,2,2,-12197,-1194,1,1,0,4,0,0
5009096,1,0,1,1,270000,1,5,2,2,-13679,-4391,1,0,1,25,1,0
5009097,1,0,1,1,270000,1,5,2,2,-13679,-4391,1,0,1,15,1,1
5009098,1,0,1,1,270000,1,5,2,2,-13679,-4391,1,0,1,18,1,0
5009099,1,0,1,0,315000,5,2,3,2,-13271,-555,1,0,0,29,19,1
5009100,1,0,1,0,315000,5,2,3,2,-13271,-555,1,0,0,28,18,1
5009103,0,1,1,2,157500,5,5,2,6,-12859,-4056,1,0,0,39,2,0
5009104,0,1,1,2,157500,5,5,2,6,-12859,-4056,1,0,0,28,28,1
5009105,0,1,1,2,157500,5,5,2,6,-12859,-4056,1,0,0,31,31,1
5009106,0,1,1,2,157500,5,5,2,6,-12859,-4056,1,0,0,61,61,1
5009108,0,0,1,0,360000,1,5,2,2,-15321,-2747,1,0,0,8,0,0
5009109,0,0,1,0,360000,1,5,2,2,-15321,-2747,1,0,0,21,0,0
5009110,1,0,1,0,112500,1,2,2,2,-8842,-312,1,0,1,4,0,0
5009116,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,13,0,0
5009117,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,50,1,0
5009118,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,13,0,0
5009120,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,13,0,0
5009122,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,13,0,0
5009123,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,44,1,0
5009124,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,13,0,0
5009125,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,47,1,0
5009126,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,13,0,0
5009127,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,23,1,0
5009128,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,13,0,0
5009129,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,12,0,0
5009130,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,23,1,0
5009131,1,0,0,0,157500,1,2,3,6,-15737,-432,1,0,0,13,0,0
5009133,0,0,1,0,382500,2,5,5,2,-21673,365243,1,0,0,17,5,0
5009134,0,0,1,0,382500,2,5,5,2,-21673,365243,1,0,0,17,0,0
5009135,0,0,1,0,382500,2,5,5,2,-21673,365243,1,0,0,10,2,1
5009136,0,0,1,0,382500,2,5,5,2,-21673,365243,1,0,0,16,0,0
5009137,0,0,1,0,382500,2,5,5,2,-21673,365243,1,0,0,10,2,1
5009138,0,0,1,0,382500,2,5,5,2,-21673,365243,1,0,0,17,11,1
5009139,0,0,1,0,382500,2,5,5,2,-21673,365243,1,0,0,9,1,1
5009140,0,0,1,0,382500,2,5,5,2,-21673,365243,1,0,0,10,2,1
5009141,1,0,0,0,135000,5,5,1,2,-9657,-1560,1,1,0,34,0,0
5009142,1,0,0,0,135000,5,5,1,2,-9657,-1560,1,1,0,12,0,0
5009143,0,1,0,0,225000,2,5,1,2,-18289,365243,1,0,0,12,0,0
5009144,0,1,0,0,225000,2,5,1,2,-18289,365243,1,0,0,11,5,0
5009145,0,1,0,0,315000,5,2,2,2,-15825,-3720,1,1,0,36,0,0
5009146,0,1,0,0,315000,5,2,2,2,-15825,-3720,1,1,0,26,0,0
5009147,0,1,0,0,315000,5,2,2,2,-15825,-3720,1,1,0,13,0,0
5009149,0,1,0,0,315000,5,2,2,2,-15825,-3720,1,1,0,8,0,0
5009150,0,1,0,0,315000,5,2,2,2,-15825,-3720,1,1,0,18,0,0
5009151,1,0,0,0,180000,5,5,2,2,-19575,-2901,1,0,0,30,1,0
5009152,1,0,0,0,180000,5,5,2,2,-19575,-2901,1,0,0,48,1,0
5009153,1,0,0,0,180000,5,5,2,2,-19575,-2901,1,0,0,48,1,0
5009154,1,0,0,0,180000,5,5,2,2,-19575,-2901,1,0,0,29,1,0
5009155,1,0,0,0,180000,5,5,2,2,-19575,-2901,1,0,0,28,1,0
5009156,1,0,0,0,180000,5,5,2,2,-19575,-2901,1,0,0,18,1,0
5009157,1,0,0,0,180000,5,5,2,2,-19575,-2901,1,0,0,48,1,0
5009158,1,0,0,0,180000,5,5,2,2,-19575,-2901,1,0,0,44,1,0
5009159,1,0,0,0,180000,5,5,2,2,-19575,-2901,1,0,0,15,1,0
5009160,1,0,0,0,180000,5,5,2,2,-19575,-2901,1,0,0,22,1,0
5009161,1,0,0,0,180000,5,5,2,2,-19575,-2901,1,0,0,24,0,0
5009162,1,0,0,0,180000,5,5,2,2,-19575,-2901,1,0,0,48,1,0
5009163,1,0,0,0,157500,5,5,2,2,-12915,-3174,1,0,0,13,0,0
5009164,1,0,0,0,157500,5,5,2,2,-12915,-3174,1,0,0,17,0,0
5009165,1,0,0,0,157500,5,5,2,2,-12915,-3174,1,0,0,17,0,0
5009166,1,0,0,0,157500,5,5,2,2,-12915,-3174,1,0,0,17,0,0
5009168,1,0,0,0,157500,5,5,2,2,-12915,-3174,1,0,0,17,0,0
5009170,1,1,0,0,144000,2,5,2,2,-22877,365243,1,0,1,14,0,0
5009177,0,1,0,0,229500,5,3,2,1,-18325,-1256,1,0,0,50,3,0
5009178,0,1,0,0,229500,5,3,2,1,-18325,-1256,1,0,0,35,3,0
5009179,0,1,0,0,229500,5,3,2,1,-18325,-1256,1,0,0,13,0,0
5009180,0,1,0,0,229500,5,3,2,1,-18325,-1256,1,0,0,39,3,0
5009181,0,1,0,0,229500,5,3,2,1,-18325,-1256,1,0,0,13,3,0
5009182,0,1,0,0,229500,5,3,2,1,-18325,-1256,1,0,0,35,0,0
5009183,0,1,0,0,229500,5,3,2,1,-18325,-1256,1,0,0,32,1,0
5009186,1,0,0,0,270000,5,2,2,2,-17573,-5792,1,1,0,4,0,0
5009187,1,0,0,0,270000,5,2,2,2,-17573,-5792,1,1,0,6,0,0
5009188,1,0,0,0,270000,5,2,2,2,-17573,-5792,1,1,0,17,0,0
5009189,1,0,0,0,270000,5,2,2,2,-17573,-5792,1,1,0,17,1,0
5009190,1,0,0,0,270000,5,2,2,2,-17573,-5792,1,1,0,23,0,0
5009191,1,0,0,0,270000,5,2,2,2,-17573,-5792,1,1,0,17,0,0
5009192,1,0,0,0,270000,5,2,2,2,-17573,-5792,1,1,0,34,0,0
5009193,1,0,0,0,270000,5,2,2,2,-17573,-5792,1,1,0,30,0,0
5009195,1,0,0,0,292500,3,5,2,2,-20953,-8684,1,1,0,7,1,1
