CUSTOMER_ID,RISK_SEG1ENTATION,INCIDENT_SEVERITY,Real_sta_claim,AUTHORITY_CONTACTED,ANY_INJURY
A00000704,0,1,1,2,1
A00007999,2,0,1,2,0
A00009037,1,1,1,3,1
A00004253,0,0,1,3,1
A00007386,2,0,1,3,1
A00003800,2,1,1,3,1
A00008730,1,2,1,3,0
A00006834,1,2,1,0,1
A00003354,0,1,1,0,1
A00009382,1,1,1,2,1
A00003257,2,0,0,0,0
A00000848,0,2,1,0,1
A00008547,1,2,1,0,1
A00001399,0,1,1,2,0
A00007605,2,1,1,0,0
A00007591,2,1,1,0,0
A00000787,1,2,1,0,1
A00000912,0,2,1,2,0
A00007889,0,0,1,0,1
A00005063,1,2,1,3,1
A00009842,1,1,1,0,0
A00001073,0,2,1,0,1
A00005542,1,2,1,2,1
A00007877,1,1,1,0,1
A00006667,1,2,1,1,0
A00009896,1,2,1,3,1
A00004413,0,2,1,0,0
A00004506,1,2,1,2,1
A00004564,1,1,1,0,1
A00005816,2,1,1,0,1
A00008005,1,1,1,1,0
A00004325,1,0,0,3,0
A00007699,0,2,1,0,1
A00004524,1,2,1,0,0
A00006293,1,0,1,3,1
A00004252,0,1,1,0,1
A00003797,1,1,1,1,0
A00003072,1,0,1,3,0
A00002757,0,1,1,0,1
A00004422,1,0,1,2,1
A00002818,1,1,0,2,0
A00004769,0,0,1,0,1
A00008702,0,0,1,1,1
A00002353,0,1,1,0,1
A00009319,2,2,1,1,1
A00004971,1,1,1,3,1
A00005752,0,2,1,1,1
A00002527,1,2,1,0,1
A00000970,1,1,1,0,1
A00001896,1,2,1,1,0
A00009828,0,2,1,1,1
A00000412,1,1,1,3,1
A00000295,1,1,1,2,1
A00008093,1,2,1,0,1
A00003541,1,0,1,0,1
A00001678,1,1,1,0,0
A00008295,1,0,1,2,1
A00002775,0,2,1,0,1
A00001166,1,0,1,1,1
A00003617,0,2,1,1,1
A00005861,0,1,1,1,0
A00004948,1,0,1,3,1
A00004975,2,0,1,0,0
A00002933,1,1,0,0,0
A00002781,0,0,1,1,1
A00003981,2,2,1,0,1
A00007633,0,2,1,1,0
A00003395,0,2,1,3,0
A00008184,0,0,1,0,1
A00005321,0,0,1,0,1
A00004662,1,1,1,3,0
A00008498,1,2,1,2,0
A00007785,1,0,1,0,1
A00005768,1,2,1,2,1
A00004423,1,2,1,0,1
A00005109,1,1,1,3,0
A00006321,1,2,1,0,1
A00007548,0,2,1,0,1
A00007255,0,0,1,2,1
A00004346,1,1,0,0,0
A00007689,1,1,1,0,0
A00006433,1,1,1,3,1
A00004452,2,0,1,0,0
A00000358,1,0,1,3,0
A00006175,2,2,1,3,1
A00005032,1,2,1,2,0
A00001617,1,0,0,2,0
A00009631,0,1,1,2,0
A00000282,1,1,1,1,1
A00009043,1,0,1,3,1
A00006472,1,2,1,1,0
A00000530,1,2,1,0,1
A00003041,0,0,1,0,1
A00000557,1,0,1,1,1
A00006886,0,1,1,1,1
A00002050,1,1,1,1,1
A00001251,1,2,1,0,1
A00004584,1,0,1,0,0
A00009111,1,0,1,1,1
A00005461,1,0,1,0,1
A00002955,2,1,1,1,0
A00001742,2,2,1,2,1
A00000952,0,2,1,2,1
A00002637,0,2,1,0,0
A00007698,0,1,1,2,0
A00004621,0,1,1,3,1
A00003346,0,1,1,0,0
A00000444,0,1,1,1,1
A00009658,1,1,1,0,1
A00006222,2,1,1,2,0
A00008673,0,2,1,0,0
A00003179,1,0,1,0,0
A00001907,0,0,1,0,1
A00007937,0,0,1,0,1
A00000439,0,2,1,1,1
A00002730,0,1,1,1,1
A00007208,1,0,1,1,1
A00003231,0,2,1,0,1
A00008540,0,0,1,2,0
A00006198,2,2,1,0,1
A00004574,2,1,1,3,1
A00009166,2,1,1,1,1
A00002041,0,0,1,1,0
A00009918,0,1,1,3,1
A00002725,1,2,1,0,0
A00007981,1,2,1,2,1
A00005141,0,1,1,0,1
A00004408,1,0,1,3,0
A00002084,0,0,1,0,1
A00008408,0,1,1,0,1
A00006343,1,1,1,1,1
A00001157,0,0,1,0,1
A00009612,0,2,1,0,1
A00003521,0,2,1,3,1
A00001937,1,0,1,0,1
A00006480,0,1,1,2,0
A00003794,2,2,1,1,1
A00007745,1,1,1,1,1
A00003819,2,1,1,1,1
A00002171,0,0,1,3,1
A00008500,2,2,1,0,0
A00009345,1,2,1,0,1
A00000361,2,1,1,0,1
A00006836,2,0,1,3,1
A00000946,0,1,1,3,1
A00005678,0,2,1,3,1
A00000595,0,2,1,3,1
A00002295,1,2,1,3,0
A00001491,1,0,1,1,1
A00001993,0,0,1,1,0
A00008645,1,2,1,0,0
A00008129,1,0,1,0,1
A00009901,1,1,1,0,0
A00001872,0,2,1,0,0
A00002669,0,0,1,3,0
A00009611,0,0,1,3,0
A00004912,0,0,1,0,1
A00002958,1,2,1,0,1
A00006631,1,2,1,3,1
A00004502,1,1,1,1,0
A00008948,0,1,1,1,1
A00001829,1,1,1,0,0
A00007430,1,0,1,1,1
A00001261,1,1,1,1,1
A00005509,0,0,1,2,1
A00001558,1,2,1,1,1
A00008409,1,1,1,0,0
A00008791,1,2,1,2,0
A00001037,1,1,1,1,0
A00005419,0,2,1,3,1
A00007251,2,0,1,2,1
A00004444,0,1,1,0,1
A00001464,1,1,1,1,1
A00001168,0,1,1,0,1
A00005513,1,0,1,0,0
A00004933,0,0,1,1,1
A00001361,1,1,1,3,1
A00002966,0,1,1,0,1
A00001589,2,0,1,0,0
A00007135,1,0,1,1,0
A00005826,0,2,1,2,1
A00006409,1,2,1,0,0
A00006341,0,1,1,0,1
A00001262,2,0,0,0,0
A00007820,1,1,1,3,0
A00002331,1,0,1,1,1
A00000164,1,0,1,1,1
A00006258,0,2,1,2,0
A00002981,1,2,1,3,1
A00002416,1,0,1,3,0
A00008554,1,2,1,0,0
A00009324,2,2,1,1,0
A00000265,0,1,1,0,1
A00003486,0,1,1,2,0
A00003620,1,1,1,0,1
A00006219,1,1,1,0,1
A00000862,1,1,1,1,1
A00005170,0,0,1,1,0
A00008325,0,0,1,3,1
A00008078,1,2,1,0,0
A00000369,0,1,1,1,1
A00006036,0,2,1,3,1
A00009813,2,2,1,1,1
A00002605,1,1,1,1,1
A00001501,1,2,1,1,1
A00009851,1,1,1,0,1
A00005245,1,2,1,1,1
A00007332,1,0,1,0,1
A00006969,1,2,1,0,1
A00002774,2,0,1,3,0
A00004658,1,0,1,3,1
A00007883,1,2,1,2,0
A00000764,2,2,1,0,0
A00004710,1,1,1,2,0
A00000274,1,0,1,0,1
A00009965,0,2,1,3,1
A00000716,1,0,1,0,0
A00007084,1,2,1,0,1
A00002883,0,2,1,1,1
A00001963,0,0,1,2,0
A00009895,1,0,1,1,0
A00008860,2,2,1,2,0
A00000160,0,0,1,3,1
A00002407,2,1,1,3,1
A00009114,2,1,1,1,1
A00004624,1,1,1,3,0
A00008629,1,1,1,0,1
A00003725,0,0,1,3,1
A00002170,0,0,1,0,0
A00004718,1,0,1,0,1
A00009778,1,0,1,3,1
A00000545,0,2,0,3,0
A00005933,0,2,1,1,1
A00004993,0,1,1,1,0
A00009586,0,2,1,2,0
A00001467,0,2,1,3,1
A00002721,1,0,1,1,0
A00009630,1,2,0,0,0
A00006048,0,2,1,0,0
A00005153,0,0,1,2,0
A00009624,1,1,1,3,0
A00007248,0,0,1,3,1
A00007415,1,1,1,0,1
A00009234,1,0,1,1,1
A00008118,2,1,1,1,1
A00002568,0,1,1,0,1
A00003475,2,0,1,1,0
A00008191,2,2,1,0,1
A00008983,0,0,1,0,1
A00006037,0,2,1,3,1
A00007435,1,0,1,1,0
A00001023,0,2,1,3,1
A00004706,0,1,1,0,1
A00009418,1,1,1,3,0
A00004268,1,1,1,0,1
A00007778,1,0,1,2,1
A00002528,2,1,1,1,1
A00001799,0,2,1,0,1
A00003263,1,2,1,1,1
A00009940,1,0,1,2,1
A00000323,0,2,1,0,1
A00005845,2,1,1,3,1
A00009858,1,2,1,2,1
A00001026,1,2,1,1,0
A00003117,1,2,1,0,1
A00008201,0,0,1,3,1
A00003747,1,1,1,1,0
A00004469,0,0,1,3,1
A00000666,2,1,0,0,0
A00007897,2,1,1,1,0
A00000004,2,1,1,0,1
A00003942,1,1,1,1,1
A00005590,0,2,1,1,1
A00005427,1,2,1,0,1
A00004647,2,2,1,0,1
A00007779,0,1,1,3,1
A00009560,1,1,1,1,1
A00001456,0,0,1,2,1
A00006331,1,0,1,3,0
A00007070,0,2,1,3,1
A00009449,1,0,1,1,1
A00008480,1,1,1,2,1
A00002427,1,2,1,3,1
A00008320,1,1,1,0,1
A00004873,1,1,1,0,1
A00002227,0,2,1,3,0
A00001179,1,0,1,0,1
A00004169,1,2,1,1,1
A00006320,0,1,1,0,1
A00000255,1,1,1,0,0
A00008256,0,0,1,3,1
A00008672,1,2,1,1,1
A00007970,1,0,1,0,1
A00005274,1,1,1,0,0
A00001897,1,2,1,0,1
A00000122,1,0,1,1,0
A00001307,0,1,1,0,1
A00004338,1,1,1,0,1
A00003189,0,2,1,0,1
A00004242,1,0,1,0,1
A00005046,1,2,1,1,0
A00009349,1,2,1,3,1
A00004189,0,1,1,1,0
A00006851,1,2,1,3,1
A00000505,1,1,1,0,0
A00007123,0,2,1,0,1
A00005803,0,2,1,3,1
A00004135,0,1,1,0,1
A00000886,0,2,1,1,1
A00009549,0,1,1,0,1
A00000940,0,0,1,1,1
A00003104,2,2,1,0,1
A00006395,0,0,1,1,1
A00008243,1,0,1,2,0
A00007018,0,1,1,3,1
A00009787,2,1,1,0,1
A00000050,0,2,1,0,1
A00001871,0,2,1,3,1
A00008568,0,1,1,0,1
A00009204,1,1,1,0,0
A00007209,2,0,1,3,1
A00007419,1,0,1,2,0
A00006371,2,2,1,0,0
A00000921,1,1,1,0,0
A00004684,0,0,1,0,1
A00009181,0,1,1,0,1
A00003350,0,0,1,0,1
A00002338,0,1,1,1,1
A00004399,0,2,1,3,1
A00001863,1,2,1,1,0
A00003075,0,2,1,2,0
A00000163,1,0,1,2,1
A00003880,1,2,1,1,1
A00006232,0,0,1,0,0
A00002522,0,0,1,0,1
A00000337,0,0,1,0,1
A00003125,0,0,1,3,0
A00009365,1,0,1,0,0
A00007922,2,2,1,0,1
A00006297,0,1,1,0,1
A00003322,1,1,1,1,1
A00000438,1,0,1,2,1
A00009366,0,1,1,0,1
A00005870,1,1,1,2,0
A00007714,1,2,1,0,1
A00006941,0,1,1,0,0
A00009627,0,0,1,3,0
A00002301,1,0,1,1,1
A00008726,0,2,1,1,1
A00007489,1,1,1,3,1
A00000796,1,1,1,0,0
A00003279,0,2,1,1,1
A00008714,1,2,1,0,1
A00009340,1,0,1,2,1
A00001684,0,1,1,0,0
A00005229,0,2,1,1,1
A00002216,2,1,1,1,0
A00000228,1,0,1,3,0
A00003684,2,0,1,0,1
A00008847,0,2,1,1,0
A00004778,0,2,1,3,1
A00000146,1,1,1,0,1
A00006136,0,0,1,1,1
A00008276,2,2,1,1,1
A00001493,0,2,1,1,1
A00009678,0,1,1,1,1
A00002335,0,0,1,0,1
A00001113,1,2,0,1,0
A00001733,1,2,1,1,1
A00006309,0,2,1,0,1
A00004833,0,1,1,3,0
A00003160,0,0,1,0,0
A00005289,0,2,1,3,1
A00009467,1,1,1,1,1
A00008552,0,1,1,0,0
A00004517,1,0,1,1,1
A00007864,0,0,1,1,1
A00006854,1,0,1,0,1
A00009277,1,0,1,3,1
A00001115,1,0,1,1,1
A00005998,1,1,1,3,1
A00004454,1,1,1,2,1
A00008870,0,2,1,3,1
A00007259,0,2,1,1,1
A00008626,0,0,1,0,1
A00009352,0,0,1,1,1
A00008239,2,0,1,1,1
A00001945,1,0,1,1,1
A00000852,0,0,1,0,1
A00000314,0,1,1,0,0
A00002487,0,0,1,0,0
A00005284,2,1,1,0,1
A00001783,0,0,1,3,1
A00006080,0,0,1,1,1
A00000334,1,1,1,1,0
A00001062,0,1,1,0,1
A00000330,1,2,1,3,0
A00007239,0,0,1,0,0
A00001694,0,2,1,1,1
A00007992,2,1,1,1,0
A00007113,2,0,1,1,1
A00008234,2,2,1,2,1
A00005878,0,0,1,0,1
A00002928,1,0,1,3,1
A00007563,0,0,1,1,0
A00008475,0,1,1,1,1
A00002903,0,1,1,3,0
A00009300,2,2,1,1,1
A00009007,1,2,1,0,0
A00003156,1,0,1,1,1
A00006680,1,0,1,0,1
A00003619,1,2,1,1,1
A00000452,1,2,1,3,1
A00003054,0,0,1,1,1
A00002909,0,0,1,0,1
A00008290,0,0,1,1,1
A00004690,0,1,1,2,1
A00008321,0,0,1,0,1
A00003157,0,1,1,3,0
A00005187,1,1,1,1,1
A00006085,0,2,1,1,1
A00001017,1,2,1,1,1
A00003906,1,1,1,1,0
A00009623,0,1,1,0,1
A00009555,1,1,1,1,1
A00001892,0,2,1,0,1
A00005331,2,2,1,0,1
A00000185,0,2,1,0,1
A00009520,1,0,1,0,1
A00007120,2,2,1,1,1
A00006872,0,0,1,0,1
A00008488,1,1,1,0,1
A00001656,1,2,1,2,1
A00000995,1,1,1,1,1
A00008214,0,1,1,0,1
A00003453,0,2,1,1,1
A00008824,1,2,1,1,1
A00001127,0,1,1,2,1
A00005553,0,0,1,1,1
A00005618,0,1,1,1,1
A00009013,0,2,1,3,1
A00002959,0,1,1,1,1
A00005488,0,2,1,0,0
A00005422,0,2,1,0,0
A00004481,2,2,1,1,1
A00007542,2,1,1,0,1
A00002380,0,2,1,1,0
A00004026,0,0,1,1,0
A00002243,0,0,1,1,0
A00004199,1,2,1,1,1
A00000688,0,0,0,1,0
A00002918,0,0,1,2,1
A00008126,0,2,1,3,1
A00000960,1,0,1,1,0
A00008357,0,1,1,1,1
A00006862,0,1,1,0,0
A00006942,0,1,1,1,1
A00009900,0,0,1,0,1
A00005028,0,2,1,1,1
A00004439,2,1,1,2,0
A00002630,0,2,1,3,1
A00009642,0,2,1,3,1
A00003264,2,2,1,2,1
A00003375,1,0,1,3,0
A00005068,1,1,1,0,1
A00009151,2,1,1,1,1
A00000006,0,1,1,2,1
A00004998,0,1,1,0,1
A00001422,0,1,1,1,0
A00003198,0,2,1,0,1
A00002866,2,1,1,1,1
A00006895,0,1,1,1,0
A00004075,1,1,1,1,1
A00005593,0,1,1,1,1
A00009173,0,0,1,3,1
A00009968,1,2,1,0,1
A00004579,0,2,1,1,1
A00002708,0,2,1,0,0
A00008941,1,0,1,1,1
A00001749,2,2,1,0,1
A00007625,1,2,1,0,1
A00009822,1,0,1,0,1
A00007375,1,0,1,0,0
A00009836,0,1,1,3,1
A00003311,1,0,1,1,1
A00003085,1,2,1,1,1
A00005325,0,1,1,0,1
A00006931,0,2,1,1,1
A00004681,0,0,1,2,1
A00002694,0,2,1,3,1
A00005054,0,0,1,0,0
A00004688,2,2,1,0,1
A00005613,1,0,1,0,1
A00002202,1,0,1,0,1
A00000312,2,1,1,0,0
A00006928,1,1,1,0,1
A00000868,2,2,1,1,1
A00004545,0,0,1,0,0
A00001874,2,1,1,3,1
A00003441,2,1,0,3,0
A00003162,0,0,1,1,1
A00001709,1,0,1,1,1
A00002345,1,2,1,2,1
A00009125,1,2,1,3,1
A00003190,2,1,1,1,1
A00004451,1,2,1,0,1
A00003401,1,1,1,1,0
A00006207,0,0,1,1,1
A00004400,1,1,1,0,1
A00000581,1,2,1,3,1
A00000748,0,1,1,2,0
A00000878,2,1,1,0,1
A00005692,1,0,1,0,1
A00003128,1,0,1,0,1
A00008548,1,1,1,3,1
A00006261,1,2,1,0,0
A00006791,0,1,1,2,0
A00009315,1,1,1,1,0
A00009223,0,0,1,0,1
A00009554,0,2,1,2,0
A00008088,0,2,1,0,1
A00001247,0,1,1,2,1
A00009565,1,1,1,1,1
A00002009,0,0,1,0,1
A00008766,2,1,1,0,1
A00002409,0,0,1,3,0
A00004171,0,0,1,0,0
A00003854,1,0,1,1,1
A00007302,0,0,1,3,0
A00007202,0,0,1,3,1
A00007784,0,2,1,3,1
A00000842,1,2,1,3,1
A00009703,0,0,1,1,1
A00000313,0,1,1,2,1
A00008040,2,0,1,0,1
A00006467,0,1,1,2,1
A00004946,0,2,1,1,0
A00001538,0,2,1,1,0
A00001600,1,2,0,1,0
A00006810,1,0,1,0,1
A00007201,0,2,1,0,1
A00003276,0,1,1,3,1
A00008232,2,1,1,1,1
A00007482,1,1,1,0,1
A00006773,1,1,1,0,1
A00005184,2,2,1,0,1
A00003481,1,2,1,0,0
A00004551,1,1,1,0,1
A00009930,1,0,0,1,0
A00005800,1,2,1,0,0
A00001437,1,0,1,1,0
A00004173,2,0,1,0,0
A00005016,1,1,1,2,1
A00005957,2,2,1,3,1
A00002232,0,2,1,1,0
A00003420,0,2,1,0,0
A00001096,1,2,1,3,1
A00008115,1,2,1,0,1
A00000728,1,0,1,0,1
A00000908,1,2,1,1,1
A00007395,0,2,1,1,1
A00009603,0,2,1,1,0
A00000352,0,2,1,0,0
A00000644,2,0,1,1,1
A00009486,0,2,1,3,1
A00004759,1,2,1,2,1
A00003830,0,2,1,0,1
A00003700,0,2,1,0,1
A00003236,0,2,1,3,1
A00000586,1,0,1,1,1
A00006049,0,0,1,3,1
A00003101,1,0,1,0,0
A00007974,2,1,1,1,0
A00006722,0,2,1,1,1
A00008555,2,0,1,1,1
A00002564,0,2,1,0,0
A00006863,1,2,1,1,1
A00004392,0,0,1,0,0
A00000115,1,0,1,1,0
A00002083,1,1,1,0,1
A00008809,2,1,1,2,0
A00001995,0,1,1,1,1
A00003730,2,2,1,1,1
A00003856,0,1,1,0,0
A00006523,1,0,1,1,1
A00009509,1,1,1,0,1
A00000572,0,2,1,3,0
A00004577,1,1,1,3,1
A00007246,1,2,1,1,1
A00003339,1,0,1,1,0
A00004160,0,1,1,3,1
A00006229,2,0,1,3,1
A00001784,1,1,1,3,1
A00003220,0,2,1,3,1
A00006905,0,0,1,1,1
A00009648,2,0,1,3,1
A00005096,2,1,1,0,1
A00001566,1,0,1,1,1
A00002250,1,2,1,1,0
A00000238,0,1,1,0,0
A00003000,2,1,1,0,0
A00003163,0,2,1,1,1
A00009525,1,2,1,0,1
A00006634,1,1,1,0,0
A00001350,0,2,1,0,1
A00004927,0,1,1,0,1
A00008358,1,0,1,1,1
A00005994,1,1,1,0,1
A00009718,2,2,1,0,0
A00008086,2,1,1,3,0
A00006034,1,2,1,0,1
A00008264,2,0,1,1,1
A00008674,0,0,1,2,1
A00009676,0,0,1,3,1
A00006745,0,0,1,0,1
A00009784,0,2,1,1,1
A00002765,1,2,1,0,1
A00002014,1,0,1,2,1
A00001953,1,1,1,0,1
A00004003,1,0,1,1,1
A00005084,0,1,1,3,1
A00003059,0,0,1,3,1
A00002839,1,0,1,0,1
A00008627,0,0,1,0,1
A00000766,2,2,1,1,0
A00005029,0,2,1,3,1
A00006389,0,1,1,0,0
A00009213,0,2,1,1,0
A00004079,1,1,1,0,1
A00009105,0,2,1,1,1
A00006736,2,1,1,3,1
A00006579,2,0,1,0,0
A00002587,0,0,1,0,1
A00002778,2,0,1,0,1
A00002289,0,1,1,0,0
A00009465,1,0,1,1,1
A00004520,0,1,1,1,0
A00007097,1,0,1,0,1
A00006741,0,1,1,3,1
A00002973,0,1,1,1,1
A00007796,1,1,1,3,1
A00009578,2,1,1,0,1
A00002536,2,0,1,1,0
A00000948,0,2,1,1,0
A00002925,0,0,1,1,1
A00004001,1,2,1,2,1
A00007920,0,0,1,1,1
A00005214,0,0,1,0,1
A00009654,0,0,1,2,1
A00002902,1,2,1,1,1
A00003272,2,1,1,0,0
A00006489,0,0,1,0,1
A00005079,0,1,1,2,1
A00002701,1,0,1,3,1
A00002693,1,0,1,3,0
A00001147,1,1,1,0,1
A00004546,1,1,1,3,1
A00007081,1,0,1,3,1
A00006312,1,2,1,0,1
A00005310,1,0,1,0,1
A00007236,1,0,1,3,0
A00006151,1,2,1,2,0
A00006145,0,2,1,0,0
A00003654,0,0,1,3,1
A00002026,0,0,1,3,1
A00009790,1,1,1,0,1
A00009170,0,1,1,1,1
A00005199,0,0,1,0,1
A00009972,0,1,1,3,1
A00000051,2,0,1,2,0
A00007902,0,2,1,0,1
A00003853,0,1,1,2,1
A00000332,1,1,1,0,1
A00003888,1,0,1,0,1
A00004417,0,2,1,1,1
A00005923,0,1,1,1,1
A00002153,0,1,1,1,1
A00007133,1,0,1,2,0
A00002796,1,1,1,3,1
A00001327,1,0,1,1,0
A00003545,0,1,1,3,0
A00003602,0,0,1,1,1
A00006873,1,2,1,0,1
A00000979,2,0,1,1,1
A00005320,1,0,1,0,1
A00008386,0,0,0,0,0
A00005378,0,0,1,3,1
A00002970,2,2,1,0,1
A00005646,1,1,1,0,1
A00002635,1,0,1,3,0
A00006490,1,1,1,1,1
A00008841,1,0,1,0,1
A00008274,0,0,1,0,1
A00001520,1,1,1,1,0
A00002748,1,0,1,0,1
A00002266,0,0,1,0,1
A00008770,0,1,1,0,1
A00008352,0,1,1,0,1
A00008654,0,2,1,1,0
A00007031,0,0,1,1,1
A00006849,1,0,1,0,1
A00006244,2,0,1,0,1
A00005641,0,2,1,0,1
