Cust_num,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,y
8152,31,admin.,married,secondary,no,13898,yes,no,unknown,2,jun,562,no
12255,29,blue-collar,single,secondary,yes,1156,yes,no,unknown,23,jun,123,no
30828,28,technician,married,secondary,no,6043,yes,yes,cellular,9,feb,84,no
6794,38,blue-collar,married,secondary,no,4973,yes,yes,unknown,28,may,195,no
39210,34,management,single,tertiary,no,7879,yes,no,cellular,18,may,767,yes
8338,31,blue-collar,single,secondary,yes,17401,yes,no,unknown,2,jun,153,no
8677,44,services,divorced,secondary,no,6906,yes,no,unknown,3,jun,172,no
9532,39,self-employed,married,secondary,yes,12585,no,no,unknown,6,jun,180,no
20727,45,admin.,married,secondary,yes,7674,no,no,cellular,13,aug,332,no
8755,29,services,single,secondary,no,4239,yes,no,unknown,4,jun,109,no
6455,44,technician,divorced,secondary,no,-1863,yes,no,unknown,27,may,159,no
13697,42,housemaid,married,tertiary,no,3029,yes,yes,cellular,9,jul,630,no
28264,36,blue-collar,married,secondary,no,9677,yes,yes,cellular,29,jan,484,no
19585,31,technician,married,secondary,no,15109,yes,no,cellular,7,aug,115,no
16137,50,technician,divorced,secondary,no,13739,yes,yes,cellular,22,jul,270,no
18581,55,services,divorced,secondary,no,9045,yes,no,cellular,31,jul,81,no
18303,34,technician,single,tertiary,no,8456,yes,yes,cellular,31,jul,68,no
16407,35,management,married,secondary,yes,15949,no,yes,cellular,23,jul,874,no
6337,34,admin.,married,secondary,no,17170,yes,yes,unknown,27,may,405,no
8631,45,admin.,married,secondary,no,8950,yes,no,unknown,3,jun,214,no
35009,33,blue-collar,married,primary,yes,7917,yes,no,cellular,6,may,116,no
6778,40,admin.,divorced,secondary,no,6637,yes,yes,unknown,28,may,270,no
9428,39,services,married,secondary,no,8532,no,no,unknown,6,jun,29,no
38138,32,services,married,secondary,no,18069,no,yes,cellular,15,may,233,no
27678,36,blue-collar,married,tertiary,yes,9702,yes,no,cellular,21,nov,36,no
17335,55,technician,single,tertiary,no,6414,no,no,cellular,28,jul,246,no
28025,56,technician,single,tertiary,no,9878,no,no,cellular,28,jan,290,no
39824,52,admin.,single,secondary,no,-1417,yes,yes,cellular,1,jun,1144,yes
6800,29,admin.,married,secondary,no,8943,yes,no,unknown,28,may,314,no
20521,43,management,married,tertiary,no,13090,no,no,cellular,12,aug,603,no
36336,36,blue-collar,divorced,secondary,no,9033,yes,yes,cellular,11,may,193,no
16227,29,technician,single,secondary,no,13521,yes,yes,cellular,23,jul,89,no
34671,30,technician,single,secondary,no,6906,yes,yes,cellular,5,may,670,yes
9960,35,admin.,married,secondary,no,4297,no,yes,unknown,9,jun,71,no
6850,30,blue-collar,married,primary,no,13761,yes,yes,unknown,28,may,244,no
18396,35,blue-collar,married,secondary,no,13373,yes,no,cellular,31,jul,46,no
14273,27,admin.,married,secondary,yes,15731,yes,no,cellular,14,jul,172,no
7027,43,admin.,married,primary,no,11320,yes,no,unknown,28,may,438,no
3189,50,management,married,tertiary,no,13673,yes,no,unknown,15,may,226,no
29560,32,management,single,secondary,no,10329,yes,yes,cellular,3,feb,19,no
34556,48,admin.,divorced,secondary,no,15290,yes,no,cellular,5,may,54,no
28663,32,services,married,secondary,no,9664,yes,no,cellular,30,jan,134,no
13282,48,admin.,married,secondary,no,17464,no,yes,cellular,8,jul,302,no
8703,44,unemployed,married,secondary,yes,14284,yes,no,unknown,3,jun,113,no
13909,35,services,divorced,secondary,no,6776,no,no,cellular,10,jul,228,no
15987,47,technician,single,secondary,no,48,no,yes,cellular,22,jul,108,no
1904,27,self-employed,single,tertiary,no,15455,yes,no,unknown,9,may,98,no
5934,31,technician,married,tertiary,no,6559,yes,yes,unknown,26,may,523,no
11139,25,services,single,unknown,no,14546,yes,yes,unknown,18,jun,156,no
3034,50,admin.,divorced,secondary,yes,7134,yes,no,unknown,14,may,148,no
1022,48,technician,married,secondary,no,9031,yes,no,unknown,7,may,78,no
29079,38,admin.,married,secondary,no,14916,no,yes,cellular,2,feb,67,no
15736,31,blue-collar,married,secondary,no,13349,yes,no,cellular,21,jul,357,no
37989,47,entrepreneur,married,tertiary,no,4142,yes,no,cellular,14,may,176,no
36431,44,admin.,single,secondary,no,15670,yes,no,cellular,11,may,115,no
15959,29,technician,single,secondary,no,3382,yes,yes,cellular,22,jul,422,no
23713,52,blue-collar,married,primary,no,21617,yes,yes,cellular,28,aug,74,no
8029,35,admin.,married,secondary,no,9330,yes,no,unknown,2,jun,97,no
7191,52,self-employed,married,secondary,no,3399,yes,no,unknown,29,may,322,no
8564,26,technician,married,tertiary,no,10588,yes,no,unknown,3,jun,320,no
17536,33,technician,married,tertiary,no,11686,yes,no,cellular,29,jul,90,no
13102,34,blue-collar,married,primary,no,19715,yes,yes,cellular,8,jul,225,no
12404,34,admin.,single,secondary,no,13680,yes,yes,unknown,27,jun,111,no
13198,29,blue-collar,married,secondary,no,15944,no,yes,cellular,8,jul,528,no
6710,38,technician,divorced,secondary,no,17089,yes,no,unknown,28,may,154,no
17332,38,management,single,tertiary,no,13962,yes,no,cellular,28,jul,76,no
36707,31,services,single,secondary,no,8103,yes,no,telephone,12,may,232,no
2204,36,technician,single,secondary,no,583,yes,no,unknown,12,may,793,no
13773,38,technician,married,secondary,no,17573,yes,no,cellular,10,jul,234,no
8406,29,blue-collar,married,secondary,no,-402,yes,no,unknown,3,jun,538,no
12149,37,services,divorced,primary,yes,11962,no,no,unknown,20,jun,27,no
39320,32,technician,single,secondary,no,-295,yes,yes,cellular,18,may,121,no
26697,49,unemployed,married,tertiary,no,9606,yes,no,cellular,20,nov,77,no
16456,42,technician,married,secondary,no,20212,yes,yes,cellular,23,jul,185,no
13350,28,blue-collar,married,primary,no,10402,yes,no,cellular,8,jul,244,no
18127,35,management,married,tertiary,no,12336,yes,no,cellular,30,jul,540,yes
6665,31,technician,married,secondary,yes,8437,yes,no,unknown,28,may,210,no
36123,36,blue-collar,married,secondary,no,11081,no,no,cellular,11,may,254,no
6984,51,management,single,unknown,no,4925,yes,no,unknown,28,may,33,no
16416,55,retired,divorced,tertiary,no,11604,yes,no,cellular,23,jul,1331,no
333,30,blue-collar,single,secondary,no,15852,yes,no,unknown,5,may,143,no
35090,31,blue-collar,single,secondary,no,5116,yes,no,cellular,6,may,270,no
2103,25,services,married,secondary,no,8548,yes,no,unknown,12,may,24,no
11567,36,blue-collar,married,primary,no,10826,yes,no,unknown,19,jun,130,no
38274,40,blue-collar,married,secondary,no,-1633,yes,no,cellular,15,may,181,no
38838,31,admin.,single,secondary,no,7792,yes,no,cellular,18,may,197,no
15853,38,services,married,secondary,no,3706,yes,no,cellular,21,jul,929,no
5849,27,unemployed,single,tertiary,no,8737,yes,no,unknown,26,may,120,no
21601,31,management,single,tertiary,no,8881,no,no,cellular,19,aug,156,no
8363,31,blue-collar,married,secondary,no,1851,no,no,unknown,3,jun,180,no
14856,60,admin.,married,primary,no,14760,no,yes,cellular,16,jul,227,no
34602,41,blue-collar,married,primary,no,15687,yes,no,cellular,5,may,352,no
34830,35,blue-collar,single,secondary,no,10115,yes,no,cellular,6,may,151,no
36643,48,management,married,secondary,no,-2305,yes,yes,cellular,12,may,399,no
15892,38,services,married,secondary,yes,-605,yes,no,cellular,21,jul,111,no
13813,35,admin.,married,secondary,no,23182,yes,yes,cellular,10,jul,147,no
33072,24,blue-collar,single,secondary,no,14754,yes,no,cellular,20,apr,10,no
6011,53,management,married,primary,no,10552,yes,no,unknown,26,may,543,no
22334,32,technician,single,secondary,no,8518,no,no,cellular,22,aug,586,no
6175,36,blue-collar,married,unknown,no,8686,yes,no,unknown,27,may,597,no
23278,43,technician,divorced,secondary,no,18414,no,no,cellular,27,aug,590,no
12358,27,blue-collar,married,primary,no,6839,no,yes,unknown,27,jun,422,yes
15662,49,admin.,single,secondary,no,-4019,yes,no,cellular,21,jul,31,no
8346,44,management,divorced,tertiary,yes,7404,yes,no,unknown,2,jun,432,yes
8688,42,management,married,tertiary,no,4356,no,no,unknown,3,jun,290,no
28590,45,admin.,married,primary,no,5014,yes,yes,cellular,29,jan,503,no
13009,31,admin.,single,secondary,no,9232,no,yes,cellular,7,jul,230,no
15484,40,retired,married,primary,no,6495,yes,no,cellular,18,jul,905,no
20737,31,entrepreneur,single,tertiary,yes,10255,yes,yes,cellular,13,aug,703,yes
16081,55,services,divorced,secondary,yes,10820,yes,no,cellular,22,jul,502,no
36096,39,services,married,secondary,no,12804,yes,no,cellular,11,may,344,no
24634,50,technician,divorced,secondary,no,18893,no,yes,cellular,17,nov,130,no
7807,37,technician,married,secondary,no,8808,yes,no,unknown,30,may,31,no
5200,36,blue-collar,married,primary,no,6110,no,no,unknown,21,may,173,no
26958,52,admin.,divorced,secondary,no,16697,yes,no,cellular,21,nov,151,no
29618,27,admin.,married,secondary,no,12105,yes,yes,cellular,3,feb,205,no
12542,35,blue-collar,married,unknown,no,10034,yes,yes,unknown,3,jul,85,no
6782,29,technician,single,secondary,yes,6614,yes,no,unknown,28,may,114,no
2487,45,entrepreneur,divorced,tertiary,no,6912,yes,no,unknown,13,may,470,yes
34642,44,services,married,secondary,no,16563,yes,no,cellular,5,may,894,yes
7555,44,services,single,secondary,no,15180,yes,no,unknown,30,may,207,no
8732,24,blue-collar,married,secondary,no,6209,yes,yes,unknown,4,jun,1242,yes
3142,36,blue-collar,married,unknown,no,8760,yes,no,unknown,14,may,76,no
34225,40,blue-collar,married,primary,no,12188,yes,no,cellular,4,may,195,no
37911,53,management,married,tertiary,no,5220,yes,no,cellular,14,may,111,no
39122,28,management,single,tertiary,no,14680,yes,no,cellular,18,may,59,no
26194,41,blue-collar,single,secondary,yes,13027,no,yes,cellular,20,nov,477,yes
34463,24,admin.,single,secondary,no,1258,yes,no,cellular,5,may,180,no
13544,33,services,married,secondary,no,9802,yes,no,cellular,9,jul,125,no
18532,58,management,married,secondary,no,6728,no,no,cellular,31,jul,644,yes
30181,58,management,married,secondary,no,12759,no,no,telephone,5,feb,398,no
11498,41,technician,married,tertiary,no,10115,yes,yes,unknown,19,jun,252,no
38724,42,technician,married,tertiary,no,2629,yes,yes,cellular,15,may,11,no
5832,32,blue-collar,married,primary,no,2274,yes,no,unknown,26,may,188,no
36262,34,services,single,secondary,no,17789,yes,no,cellular,11,may,672,yes
26,44,admin.,married,secondary,no,8765,yes,no,unknown,5,may,172,no
6168,46,blue-collar,married,secondary,no,1149,yes,no,unknown,27,may,138,no
39134,25,services,single,secondary,no,15266,yes,no,cellular,18,may,147,no
35912,41,management,married,tertiary,no,14050,yes,no,cellular,8,may,233,no
6008,33,blue-collar,married,secondary,no,9898,yes,yes,unknown,26,may,221,no
36742,38,blue-collar,married,secondary,no,4648,yes,yes,cellular,12,may,354,no
6687,41,admin.,divorced,secondary,no,13594,yes,no,unknown,28,may,226,no
15232,59,blue-collar,married,primary,no,7852,yes,no,cellular,17,jul,408,no
10423,38,unemployed,married,primary,no,11941,no,no,unknown,12,jun,340,no
36610,48,services,divorced,secondary,no,11304,yes,no,cellular,12,may,1062,yes
17373,59,blue-collar,divorced,secondary,no,7665,no,yes,cellular,28,jul,247,no
6048,28,services,single,secondary,no,10355,yes,no,unknown,26,may,253,no
14201,31,services,single,primary,yes,9685,yes,yes,cellular,11,jul,215,no
14955,40,technician,married,secondary,no,6291,yes,no,cellular,16,jul,700,yes
19052,42,technician,married,secondary,no,20465,yes,yes,cellular,5,aug,97,no
9312,42,blue-collar,married,secondary,no,8929,yes,yes,unknown,5,jun,939,no
35994,36,technician,married,secondary,no,10200,yes,no,cellular,8,may,89,no
12928,58,technician,divorced,secondary,no,10340,yes,yes,cellular,7,jul,98,no
7277,57,blue-collar,married,secondary,no,6648,no,yes,unknown,29,may,26,no
6319,49,technician,married,secondary,no,7178,yes,yes,unknown,27,may,123,no
14622,25,services,single,secondary,no,2248,no,no,cellular,15,jul,246,no
33300,38,services,married,secondary,no,10810,yes,no,cellular,20,apr,111,no
34807,34,blue-collar,married,secondary,no,17846,yes,no,cellular,6,may,208,no
656,33,blue-collar,married,secondary,no,6598,yes,no,unknown,6,may,191,no
8731,49,blue-collar,married,primary,no,16499,yes,yes,unknown,4,jun,213,no
16001,30,entrepreneur,married,secondary,no,12951,yes,yes,cellular,22,jul,88,no
4769,32,management,single,tertiary,no,18020,yes,no,unknown,21,may,74,no
19929,46,management,single,tertiary,yes,12025,no,no,cellular,8,aug,142,no
25501,34,blue-collar,single,primary,no,9302,yes,yes,cellular,19,nov,207,no
12433,45,admin.,single,secondary,no,7601,no,yes,unknown,30,jun,158,no
6500,39,management,married,tertiary,no,14675,yes,no,unknown,27,may,110,no
6986,33,blue-collar,married,primary,no,9926,yes,no,unknown,28,may,528,no
4080,52,admin.,divorced,secondary,no,6089,no,no,unknown,19,may,153,no
37430,42,blue-collar,married,secondary,no,11909,yes,no,cellular,13,may,318,no
38720,42,blue-collar,married,primary,no,14308,yes,no,telephone,15,may,12,no
10453,52,services,married,secondary,no,4184,no,yes,unknown,12,jun,111,no
18063,50,blue-collar,divorced,primary,no,12587,no,yes,cellular,30,jul,208,no
30266,47,blue-collar,divorced,secondary,no,11466,no,yes,cellular,5,feb,48,no
6465,36,services,single,secondary,no,10691,yes,no,unknown,27,may,256,no
35679,43,technician,married,secondary,no,3728,yes,yes,cellular,8,may,105,no
6386,34,technician,single,secondary,no,20252,yes,no,unknown,27,may,280,no
35416,49,blue-collar,married,secondary,no,14636,yes,no,cellular,7,may,423,no
5370,36,blue-collar,married,primary,no,10115,yes,yes,unknown,23,may,691,no
16150,38,admin.,single,secondary,no,9419,no,no,cellular,22,jul,345,no
26166,35,management,married,primary,no,15584,yes,yes,cellular,20,nov,518,no
5306,41,self-employed,married,tertiary,no,3163,yes,yes,unknown,23,may,86,no
6420,31,blue-collar,married,secondary,no,4540,yes,yes,unknown,27,may,389,no
19464,42,management,married,tertiary,no,12197,yes,no,cellular,7,aug,135,no
11833,20,student,single,secondary,no,5067,yes,no,unknown,20,jun,73,no
9839,45,technician,married,primary,no,3359,no,no,unknown,9,jun,225,no
658,40,blue-collar,married,primary,no,11309,yes,yes,unknown,6,may,144,no
38919,33,blue-collar,single,secondary,no,8513,no,no,cellular,18,may,268,no
5407,45,management,married,tertiary,no,12140,yes,no,unknown,23,may,254,no
18194,27,housemaid,single,secondary,yes,6697,no,yes,cellular,30,jul,89,no
21916,37,technician,married,secondary,no,11718,no,no,cellular,20,aug,25,no
36291,35,services,married,secondary,no,5558,yes,no,cellular,11,may,330,no
6892,40,technician,married,secondary,no,5415,yes,no,unknown,28,may,198,no
37864,29,blue-collar,married,secondary,no,10111,yes,yes,cellular,14,may,130,no
25342,32,technician,single,tertiary,no,11485,no,no,cellular,18,nov,218,no
5471,45,blue-collar,divorced,primary,no,4620,yes,no,unknown,23,may,1030,yes
39529,40,blue-collar,married,primary,no,13426,yes,yes,cellular,26,may,133,no
41235,53,retired,divorced,tertiary,no,8584,yes,no,cellular,21,aug,343,yes
36732,36,blue-collar,divorced,primary,no,9819,yes,no,cellular,12,may,725,yes
28942,55,technician,married,secondary,yes,16000,no,no,cellular,2,feb,781,yes
15347,29,services,single,secondary,yes,11925,no,no,cellular,18,jul,113,no
35343,32,management,single,tertiary,no,11968,yes,yes,cellular,7,may,447,no
8821,23,technician,single,secondary,no,1679,yes,no,unknown,4,jun,217,no
41096,42,admin.,married,primary,no,13631,yes,no,cellular,17,aug,308,yes
3778,30,technician,married,secondary,no,10797,yes,yes,unknown,16,may,203,no
5536,40,services,single,secondary,yes,16922,yes,no,unknown,23,may,253,no
24928,30,technician,single,secondary,yes,1255,no,yes,cellular,18,nov,37,no
38748,34,blue-collar,single,tertiary,no,1091,yes,no,cellular,18,may,17,no
39333,32,technician,single,unknown,no,3740,yes,no,cellular,18,may,176,no
39136,34,blue-collar,divorced,secondary,no,13218,yes,yes,cellular,18,may,465,no
36886,49,services,married,secondary,no,18927,yes,no,cellular,12,may,187,no
23680,32,technician,married,secondary,no,8111,no,no,cellular,28,aug,226,no
4903,29,blue-collar,divorced,secondary,no,19618,no,no,unknown,21,may,192,no
18119,38,management,married,tertiary,no,12904,yes,no,cellular,30,jul,86,no
13268,32,blue-collar,divorced,secondary,no,5400,yes,no,cellular,8,jul,192,no
13799,30,services,married,secondary,no,4009,no,yes,cellular,10,jul,174,no
30759,50,technician,divorced,secondary,no,12637,yes,no,cellular,6,feb,68,no
2039,34,blue-collar,divorced,secondary,no,9667,yes,no,unknown,12,may,163,no
9421,50,blue-collar,married,primary,no,14992,yes,no,unknown,6,jun,79,no
20214,34,management,single,tertiary,no,3484,yes,no,cellular,11,aug,111,no
38488,47,blue-collar,married,primary,no,7186,yes,no,cellular,15,may,495,no
15717,32,blue-collar,divorced,secondary,no,14386,yes,yes,cellular,21,jul,808,no
36189,39,services,divorced,secondary,no,14741,yes,no,cellular,11,may,227,no
9607,37,blue-collar,married,secondary,no,1876,yes,yes,unknown,6,jun,298,no
39017,29,services,single,secondary,no,12265,yes,no,cellular,18,may,196,no
35771,50,technician,married,unknown,no,5838,yes,no,cellular,8,may,92,no
33555,43,services,divorced,secondary,no,11115,yes,no,cellular,20,apr,580,no
7792,46,blue-collar,married,primary,no,12879,yes,no,unknown,30,may,113,no
38417,34,management,married,secondary,no,6631,yes,no,cellular,15,may,192,no
6959,26,blue-collar,married,secondary,no,14826,yes,no,unknown,28,may,207,no
2173,28,blue-collar,single,secondary,no,15191,yes,no,unknown,12,may,162,no
38801,32,blue-collar,married,primary,no,5251,yes,no,cellular,18,may,24,no
16892,25,services,married,secondary,no,7857,yes,yes,cellular,25,jul,198,no
26482,33,admin.,single,secondary,no,2577,yes,yes,cellular,20,nov,282,no
10676,35,blue-collar,married,secondary,no,15906,yes,no,unknown,16,jun,15,no
18871,35,technician,divorced,secondary,no,6701,no,no,cellular,4,aug,148,no
6708,40,admin.,married,secondary,yes,6455,yes,no,unknown,28,may,143,no
36532,41,management,single,secondary,no,16373,yes,no,cellular,12,may,431,no
20164,39,technician,married,tertiary,no,23726,no,yes,cellular,11,aug,121,no
37070,35,blue-collar,single,primary,no,4899,yes,no,cellular,13,may,850,yes
1429,40,management,single,tertiary,no,5527,yes,no,unknown,8,may,219,no
21513,30,management,divorced,secondary,no,7476,yes,yes,cellular,19,aug,166,no
5829,31,services,divorced,secondary,no,28575,yes,no,unknown,26,may,283,no
28239,38,entrepreneur,single,tertiary,no,9464,yes,yes,cellular,29,jan,103,no
26489,37,technician,single,secondary,no,9103,no,yes,cellular,20,nov,104,no
8756,29,services,single,secondary,no,9204,yes,no,unknown,4,jun,578,yes
37735,43,management,married,tertiary,no,3435,yes,yes,telephone,14,may,121,no
29066,34,blue-collar,married,secondary,no,1264,yes,yes,cellular,2,feb,90,no
10989,34,technician,single,secondary,no,13009,yes,no,unknown,17,jun,102,no
6240,30,blue-collar,married,secondary,no,14150,yes,no,unknown,27,may,293,no
14670,49,retired,divorced,secondary,no,12928,yes,no,cellular,15,jul,111,no
16637,55,retired,divorced,secondary,no,9277,no,yes,cellular,24,jul,1417,yes
4900,25,services,single,secondary,no,8301,yes,no,unknown,21,may,264,no
5422,46,management,married,tertiary,no,7554,no,no,unknown,23,may,249,no
6349,35,services,single,secondary,no,-117,yes,no,unknown,27,may,193,no
11568,51,unemployed,married,secondary,no,8838,no,yes,unknown,19,jun,208,no
13458,51,entrepreneur,married,tertiary,no,14646,yes,no,cellular,9,jul,42,no
12298,42,self-employed,married,tertiary,no,9483,no,yes,unknown,25,jun,322,no
11936,51,management,married,tertiary,no,6684,yes,no,unknown,20,jun,435,no
15955,42,technician,divorced,secondary,no,5907,yes,no,cellular,22,jul,307,no
23608,32,technician,divorced,secondary,no,8270,yes,no,telephone,28,aug,85,no
28177,42,management,divorced,tertiary,no,16092,no,yes,cellular,29,jan,149,no
13616,35,blue-collar,married,secondary,no,4830,yes,no,cellular,9,jul,219,no
6921,33,admin.,single,primary,no,12726,yes,no,unknown,28,may,193,no
38721,33,admin.,single,primary,no,-1074,yes,no,cellular,15,may,158,no
28102,35,admin.,married,secondary,no,6893,no,no,cellular,28,jan,117,no
13604,38,blue-collar,married,primary,no,10020,yes,yes,cellular,9,jul,458,no
20489,31,management,married,tertiary,yes,20151,no,no,cellular,12,aug,220,no
13499,40,admin.,married,secondary,no,7583,yes,no,cellular,9,jul,177,no
