id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
381250,Male,24,1,45,1,1,2,21546,152,237,0
381251,Male,41,1,8,1,3,2,33603,124,87,0
381252,Male,25,1,11,1,1,2,20958,152,230,0
381253,Male,25,1,39,1,1,2,28625,152,80,0
381254,Male,61,1,20,1,3,2,2630,26,148,0
381255,Male,39,1,1,0,3,1,2630,26,221,0
381256,Male,41,1,28,0,3,1,26454,26,200,0
381257,Female,26,1,28,1,1,2,33798,152,63,0
381258,Male,53,1,35,1,3,1,21353,26,126,0
381259,Male,29,1,28,0,1,2,2630,158,194,0
381260,Female,25,1,28,0,1,2,30396,152,22,0
381261,Female,52,1,28,0,3,1,33944,155,13,0
381262,Female,43,1,28,0,3,1,35704,26,18,0
381263,Female,30,1,8,1,1,2,2630,160,83,0
381264,Female,43,1,18,0,3,1,27743,124,209,0
381265,Male,22,1,46,0,1,1,32497,152,138,0
381266,Female,22,1,28,1,1,2,28101,160,277,0
381267,Male,74,1,33,1,3,2,22623,26,233,0
381268,Male,57,1,30,1,3,2,26272,152,195,0
381269,Female,23,1,13,0,1,1,28589,152,296,0
381270,Female,53,1,28,0,3,1,2630,152,68,0
381271,Female,67,1,28,0,3,1,30477,26,290,0
381272,Male,23,1,3,1,1,2,26341,152,219,0
381273,Male,55,1,46,1,3,2,2630,26,243,0
381274,Female,22,1,29,1,1,2,33758,152,211,0
381275,Female,32,1,28,1,1,2,2630,1,44,0
381276,Female,27,1,8,0,1,1,49623,152,117,0
381277,Male,22,1,3,1,1,2,26138,152,135,0
381278,Male,25,1,2,0,3,1,2630,156,279,0
381279,Male,38,1,28,0,3,1,33196,26,55,0
381280,Male,29,1,15,1,1,2,24617,152,57,0
381281,Female,20,1,28,0,3,1,41983,124,203,0
381282,Female,24,1,25,1,1,2,22400,152,173,0
381283,Male,20,1,27,1,1,2,26871,160,52,0
381284,Male,49,1,28,0,3,1,45332,124,116,0
381285,Female,23,1,29,1,1,2,29688,152,237,0
381286,Male,64,1,12,1,3,2,2630,26,186,0
381287,Male,31,1,33,1,3,2,2630,156,244,0
381288,Male,44,1,28,0,3,1,18082,60,33,0
381289,Male,36,1,16,0,3,1,2630,124,85,0
381290,Male,38,1,28,0,3,1,52527,122,55,0
381291,Male,50,1,30,0,3,1,35346,152,61,0
381292,Female,24,1,41,0,1,1,46077,152,62,0
381293,Male,20,1,50,1,1,2,36046,160,280,0
381294,Male,27,1,43,0,1,1,2630,152,147,0
381295,Female,25,1,41,1,1,2,36667,152,60,0
381296,Male,42,1,28,0,2,1,32113,26,90,0
381297,Female,24,1,30,1,1,2,27776,152,167,0
381298,Female,37,1,47,1,3,2,38293,16,212,0
381299,Male,44,1,28,1,3,2,28110,61,247,0
381300,Male,44,1,8,0,3,2,46940,124,143,0
381301,Male,64,1,22,0,3,1,2630,26,100,0
381302,Female,24,1,46,1,1,2,35648,152,21,0
381303,Female,22,1,33,1,1,2,29452,152,183,0
381304,Female,51,1,46,1,3,2,27144,124,266,0
381305,Female,20,1,37,0,1,1,55236,160,12,0
381306,Male,49,1,8,0,3,1,40088,26,25,0
381307,Female,24,1,15,1,1,2,28374,152,208,0
381308,Male,33,1,28,0,3,1,2630,156,43,0
381309,Female,25,1,6,1,1,2,29208,152,253,0
381310,Male,28,1,28,0,3,1,30267,124,161,0
381311,Male,25,1,8,1,1,2,61002,152,266,0
381312,Male,21,1,6,1,1,2,24939,152,39,0
381313,Female,44,1,28,0,3,1,46671,26,94,0
381314,Female,61,1,8,0,3,2,42327,26,59,0
381315,Female,26,1,41,1,1,2,27868,152,246,0
381316,Male,53,1,28,0,3,1,61685,25,24,0
381317,Female,54,1,8,0,3,2,31390,26,86,0
381318,Male,28,1,11,0,1,1,2630,156,201,0
381319,Male,24,1,11,1,1,2,29579,152,125,0
381320,Female,22,1,41,0,1,1,52604,152,51,0
381321,Female,24,1,11,0,1,1,40921,124,112,0
381322,Male,64,1,47,0,3,1,29575,26,264,0
381323,Male,76,1,28,0,3,2,35996,26,175,0
381324,Female,65,1,28,1,3,2,47045,26,76,0
381325,Male,36,1,14,0,3,1,27610,152,35,0
381326,Male,25,1,28,1,1,2,34003,152,61,0
381327,Male,51,1,0,0,3,1,2630,12,218,0
381328,Male,26,1,29,1,1,2,71710,152,222,0
381329,Male,66,1,2,0,3,1,35386,124,129,0
381330,Female,47,1,28,1,3,2,34823,26,50,0
381331,Male,56,1,8,0,3,1,42395,154,44,0
381332,Female,24,1,4,1,1,2,27260,152,274,0
381333,Female,30,1,41,1,1,2,47952,152,194,0
381334,Male,30,1,6,1,1,2,28558,152,47,0
381335,Male,25,1,32,1,1,2,25271,152,36,0
381336,Male,24,1,28,1,1,2,29925,152,135,0
381337,Female,36,1,35,1,3,2,25277,152,11,0
381338,Male,51,1,15,0,3,1,37603,124,235,0
381339,Female,21,1,50,0,1,1,24007,152,122,0
381340,Male,42,1,29,1,3,2,36320,124,56,0
381341,Male,25,1,41,1,1,2,30690,152,13,0
381342,Male,22,1,16,1,1,2,19117,152,265,0
381343,Female,71,1,29,1,3,2,31940,26,207,0
381344,Female,37,1,28,0,3,1,31358,124,210,0
381345,Female,22,1,33,1,1,2,35692,152,88,0
381346,Female,20,1,37,0,1,1,30318,160,24,0
381347,Male,55,1,8,0,3,1,29018,26,126,0
381348,Female,21,1,24,1,3,2,2630,157,98,0
381349,Female,23,1,46,1,1,2,25325,152,169,0
381350,Female,22,1,41,1,1,2,33551,152,156,0
381351,Male,55,1,28,0,3,1,43852,26,227,0
381352,Male,49,1,8,1,3,2,2630,7,193,0
381353,Female,48,1,46,0,3,1,34720,11,218,0
381354,Female,32,1,30,1,1,2,36959,152,206,0
381355,Female,52,1,28,1,3,2,42774,122,63,0
381356,Male,25,1,8,1,1,2,61313,152,30,0
381357,Female,26,1,30,1,1,2,27084,152,230,0
381358,Male,46,1,46,1,3,2,31509,124,298,0
381359,Female,53,1,28,0,3,1,53230,124,122,0
381360,Female,67,1,46,0,3,1,34908,26,51,0
381361,Female,25,1,6,1,1,2,31659,152,17,0
381362,Male,45,1,10,0,3,2,38916,124,217,0
381363,Male,56,1,28,0,3,2,54290,31,273,0
381364,Female,61,1,28,1,3,2,51888,26,33,0
381365,Male,41,1,8,0,3,1,21252,163,47,0
381366,Male,44,1,36,0,3,1,35560,124,105,0
381367,Female,43,1,28,0,3,1,30498,152,279,0
381368,Female,30,1,29,1,1,2,2630,160,36,0
381369,Female,33,1,28,0,3,1,45268,124,209,0
381370,Male,45,1,41,1,3,2,33166,152,52,0
381371,Male,55,1,38,0,3,1,32560,124,82,0
381372,Female,71,1,28,0,2,1,34462,26,120,0
381373,Male,26,1,8,1,1,2,43724,152,110,0
381374,Male,26,1,28,0,1,1,30899,152,119,0
381375,Male,22,1,7,1,1,2,40635,160,289,0
381376,Female,63,1,28,0,2,1,51323,26,210,0
381377,Male,45,1,8,1,3,1,2630,4,198,0
381378,Male,54,1,28,0,3,1,38729,157,115,0
381379,Female,25,1,36,0,1,1,42478,152,45,0
381380,Female,26,1,28,1,1,2,50523,152,103,0
381381,Female,40,1,24,0,3,1,2630,157,82,0
381382,Female,40,1,38,0,3,1,31193,124,96,0
381383,Female,24,1,24,1,1,2,21429,152,105,0
381384,Female,58,1,28,0,3,1,93515,26,280,0
381385,Male,24,1,15,0,1,1,31253,152,188,0
381386,Male,56,1,46,0,3,1,45379,26,283,0
381387,Female,38,1,28,0,2,1,41743,124,20,0
381388,Male,53,1,28,0,3,1,49750,26,207,0
381389,Male,64,1,28,0,3,1,52823,26,149,0
381390,Female,76,1,35,0,3,1,41134,26,260,0
381391,Male,57,1,16,0,3,1,26818,124,91,0
381392,Female,41,1,28,0,3,1,38713,124,32,0
381393,Male,68,1,2,1,3,2,37895,152,121,0
381394,Female,39,1,30,1,3,2,2630,152,66,0
381395,Female,21,1,49,0,1,1,19593,152,86,0
381396,Female,23,1,45,1,1,2,2630,152,158,0
381397,Female,34,1,46,1,3,2,35109,124,202,0
381398,Male,21,1,33,1,1,2,41100,152,40,0
381399,Female,24,1,8,1,1,2,66490,152,15,0
381400,Female,33,1,29,1,1,2,32874,152,168,0
381401,Male,22,1,37,0,1,2,32489,152,188,0
381402,Male,44,1,8,0,3,1,30312,124,222,0
381403,Male,39,1,28,1,3,2,27815,124,75,0
381404,Female,20,1,32,0,1,1,21977,160,85,0
381405,Female,48,1,28,0,3,1,56409,52,103,0
381406,Male,31,1,28,0,1,1,46712,124,166,0
381407,Male,38,1,28,0,3,1,67319,26,61,0
381408,Male,68,1,45,0,3,1,2630,26,267,0
381409,Female,39,1,46,0,3,2,29248,152,114,0
381410,Male,55,1,39,1,3,2,35066,124,83,0
381411,Female,20,1,30,0,1,1,2630,156,136,0
381412,Female,21,1,17,0,1,1,33554,152,169,0
381413,Female,23,1,15,0,1,1,26886,152,163,0
381414,Male,59,1,28,0,3,1,31231,124,254,0
381415,Female,41,1,28,1,3,2,32522,154,236,0
381416,Female,23,1,33,1,1,2,29019,152,31,0
381417,Male,43,1,46,0,2,1,30471,124,72,0
381418,Female,29,1,33,1,1,2,35083,152,166,0
381419,Male,23,1,45,1,1,2,35448,152,42,0
381420,Female,24,1,14,1,1,2,27805,152,222,0
381421,Female,40,1,19,0,3,1,2630,156,157,0
381422,Male,77,1,28,0,3,1,61533,122,73,0
381423,Female,45,1,8,0,2,1,45171,124,151,0
381424,Male,49,1,39,1,3,2,55159,124,274,0
381425,Male,36,1,33,0,3,1,31091,124,239,0
381426,Female,27,1,29,1,1,1,2630,154,137,0
381427,Female,26,1,41,1,1,2,23500,152,127,0
381428,Female,41,1,28,0,3,1,38204,152,127,0
381429,Male,51,1,28,0,3,1,47843,26,126,0
381430,Male,38,1,15,0,3,1,25059,152,274,0
381431,Male,47,1,30,0,1,2,2630,1,214,0
381432,Male,24,1,41,0,1,1,35554,152,64,0
381433,Male,44,1,8,0,3,1,30567,26,108,0
381434,Female,24,1,29,1,1,2,2630,152,91,0
381435,Male,26,1,28,0,1,1,42220,152,280,0
381436,Male,50,1,26,0,3,1,47422,26,39,0
381437,Female,73,1,28,0,3,1,43458,26,95,0
381438,Female,30,1,3,0,3,1,2630,157,171,0
381439,Male,21,1,33,0,3,1,22941,156,282,0
381440,Male,42,1,28,1,3,2,34944,26,239,0
381441,Female,64,1,28,0,3,1,33037,26,214,0
381442,Female,49,1,28,0,3,1,35770,163,78,0
381443,Female,49,1,15,0,3,1,27535,152,207,0
381444,Male,28,1,46,1,1,2,28086,152,250,0
381445,Male,77,1,28,1,3,2,30667,122,296,0
381446,Male,45,1,28,0,3,1,60953,26,223,0
381447,Female,21,1,28,0,1,1,36019,152,74,0
381448,Female,22,1,30,1,1,2,25883,152,204,0
381449,Female,20,1,6,0,1,1,2630,160,77,0
381450,Male,48,1,28,0,3,1,39713,26,157,0
381451,Male,24,1,28,1,1,2,51482,152,103,0
381452,Female,47,1,28,0,3,1,42651,26,28,0
381453,Male,56,1,28,1,3,2,32564,124,140,0
381454,Female,42,1,18,0,3,2,34353,124,284,0
381455,Female,22,1,28,0,1,1,74943,152,257,0
381456,Male,78,1,28,0,3,1,49093,13,12,0
381457,Female,56,1,35,0,3,1,2630,152,178,0
381458,Female,29,1,50,1,1,2,57615,152,101,0
381459,Female,22,1,11,1,1,2,28067,152,42,0
381460,Female,22,1,25,1,1,2,49714,152,225,0
381461,Female,26,1,33,1,1,2,2630,152,146,0
381462,Female,24,1,15,1,1,2,36216,151,98,0
381463,Male,43,1,31,0,2,1,2630,9,25,0
381464,Male,21,1,46,0,1,1,33621,152,285,0
381465,Female,42,1,8,0,3,1,27635,7,288,0
381466,Male,23,1,3,1,1,2,2630,152,238,0
381467,Male,28,1,41,0,1,2,37686,152,268,0
381468,Female,61,1,28,1,3,2,27227,26,217,0
381469,Male,70,1,28,0,3,1,30421,26,62,0
381470,Female,78,1,28,0,2,1,42781,26,187,0
381471,Male,22,1,3,0,1,2,35250,152,227,0
381472,Male,50,1,35,0,3,1,33696,124,249,0
381473,Male,57,1,28,0,3,1,2630,26,106,0
381474,Male,30,1,15,1,1,2,2630,152,134,0
381475,Male,40,1,41,0,3,1,35030,26,219,0
381476,Male,32,1,33,0,1,1,2630,160,240,0
381477,Female,40,1,11,1,3,2,38475,124,162,0
381478,Female,38,1,41,1,3,2,42006,124,269,0
381479,Male,40,1,28,0,3,1,61984,26,84,0
381480,Male,27,1,8,1,1,2,40255,152,70,0
381481,Male,59,1,19,0,2,1,61868,26,86,0
381482,Male,46,1,18,0,3,1,40500,124,36,0
381483,Female,34,1,30,1,1,2,2630,152,231,0
381484,Male,59,1,33,0,3,2,26028,124,240,0
381485,Male,23,1,15,0,1,1,36276,152,287,0
381486,Female,53,1,8,1,3,2,2630,25,256,0
381487,Female,56,1,28,0,3,2,33641,26,40,0
381488,Male,25,1,28,1,1,2,45469,152,162,0
381489,Male,36,1,9,0,3,1,33321,124,78,0
381490,Female,48,1,28,0,3,1,57851,124,198,0
381491,Male,62,1,11,0,3,1,39505,26,164,0
381492,Male,43,1,28,0,2,1,44402,26,148,0
381493,Female,25,1,41,1,1,2,46805,152,234,0
381494,Male,54,1,6,1,3,2,26663,26,127,0
381495,Female,22,1,28,1,1,2,39153,152,42,0
381496,Female,56,1,8,0,3,1,29119,26,170,0
381497,Male,32,1,47,1,3,2,34953,124,138,0
381498,Male,24,1,41,1,1,2,20375,152,147,0
381499,Male,22,1,1,0,1,1,2630,152,277,0
381500,Female,30,1,8,0,1,2,2630,152,236,0
381501,Female,40,1,28,0,3,1,31817,26,202,0
381502,Male,68,1,23,1,3,2,26048,26,299,0
381503,Female,25,1,13,1,1,2,41473,152,192,0
381504,Female,30,1,30,1,1,2,27828,152,132,0
381505,Female,23,1,49,1,1,2,2630,160,157,0
381506,Male,51,1,28,1,3,2,45840,26,58,0
381507,Male,24,1,28,0,1,1,50117,124,291,0
381508,Male,40,1,3,1,3,2,37958,152,261,0
381509,Male,44,1,8,0,3,1,46536,124,233,0
381510,Female,42,1,28,0,3,1,36349,124,189,0
381511,Female,45,1,28,0,3,1,36121,124,19,0
381512,Female,43,1,28,1,3,2,33907,26,280,0
381513,Male,44,1,4,0,3,1,33594,31,229,0
381514,Female,36,1,41,0,3,1,38735,124,250,0
381515,Female,34,1,28,0,3,1,40969,24,238,0
381516,Female,28,1,35,1,1,2,34533,160,90,0
381517,Male,62,1,28,0,2,1,41531,13,156,0
381518,Female,67,1,28,0,2,1,25929,26,79,0
381519,Male,41,1,28,0,3,1,29990,26,28,0
381520,Male,49,1,35,0,3,1,25165,124,284,0
381521,Male,40,1,46,0,3,1,43185,26,42,0
381522,Female,72,1,28,1,3,2,45285,122,297,0
381523,Female,25,1,11,1,1,2,26711,152,236,0
381524,Female,52,1,39,0,3,1,2630,154,281,0
381525,Male,28,1,15,1,1,2,43046,152,93,0
381526,Male,46,1,28,1,3,2,51602,60,242,0
381527,Female,24,1,29,1,1,2,29608,152,212,0
381528,Male,59,1,8,1,3,1,48134,124,158,0
381529,Female,56,1,30,1,3,2,37469,152,272,0
381530,Male,43,1,8,0,3,1,34609,124,34,0
381531,Female,28,1,47,0,3,1,52450,26,224,0
381532,Female,68,1,28,0,2,1,2630,157,296,0
381533,Male,50,1,28,1,3,2,50890,61,96,0
381534,Female,24,1,29,1,1,2,24600,152,292,0
381535,Female,41,1,28,0,3,1,55230,3,75,0
381536,Male,48,1,33,0,3,1,2630,124,141,0
381537,Male,31,1,28,0,1,1,30467,31,160,0
381538,Male,22,1,28,0,3,1,31219,124,253,0
381539,Female,42,1,28,0,3,1,31218,124,277,0
381540,Male,25,1,15,1,1,2,28136,152,178,0
381541,Female,25,1,8,1,1,2,35310,152,250,0
381542,Female,69,1,41,0,3,1,35457,26,292,0
381543,Male,42,1,41,0,3,1,26604,26,215,0
381544,Female,45,1,28,1,3,2,30473,154,11,0
381545,Male,59,1,28,1,3,2,46770,122,264,0
381546,Male,42,1,41,0,2,1,50666,26,85,0
381547,Male,39,1,28,0,3,1,44185,124,237,0
381548,Male,45,1,8,0,3,1,28278,124,208,0
381549,Male,37,1,20,0,3,1,2630,124,44,0
381550,Male,26,1,11,1,1,2,21798,152,174,0
381551,Female,40,1,46,0,3,1,29457,156,34,0
381552,Male,21,1,2,0,1,1,2630,152,38,0
381553,Male,24,1,26,1,1,2,49288,151,182,0
381554,Female,58,1,26,0,3,1,37414,26,268,0
381555,Female,27,1,15,1,1,2,36279,152,234,0
381556,Female,33,1,33,0,1,1,30824,152,169,0
381557,Male,20,1,47,0,1,1,42739,160,154,0
381558,Male,37,1,28,1,3,2,2630,23,201,0
381559,Female,24,1,12,0,1,2,58354,152,290,0
381560,Female,29,1,28,0,3,1,37295,157,202,0
381561,Female,22,1,33,1,1,2,32070,152,21,0
381562,Female,66,1,8,1,3,2,45663,7,32,0
381563,Male,21,1,46,0,1,1,33809,152,187,0
381564,Male,59,1,5,1,3,1,34858,26,280,0
381565,Male,70,1,28,0,3,1,48139,13,111,0
381566,Male,22,1,28,1,1,2,69521,152,196,0
381567,Male,58,1,28,1,3,2,62160,26,116,0
381568,Male,69,1,41,0,3,1,27646,26,255,0
381569,Male,27,1,28,1,1,2,51355,152,131,0
381570,Female,69,1,28,0,3,1,60244,26,236,0
381571,Male,69,1,41,1,3,2,39767,26,257,0
381572,Female,26,1,27,0,1,2,22110,152,126,0
381573,Female,23,1,41,0,1,1,29240,152,46,0
381574,Male,53,1,28,0,3,2,34550,26,170,0
381575,Male,45,1,43,1,3,2,2630,124,66,0
381576,Male,42,1,47,0,3,1,29764,124,149,0
381577,Female,24,1,28,1,1,2,64007,152,39,0
381578,Male,42,1,48,0,3,1,2630,7,35,0
381579,Female,25,1,36,0,1,1,41635,160,31,0
381580,Male,42,1,28,1,3,2,26013,124,282,0
381581,Male,26,1,36,1,1,2,29850,152,205,0
381582,Male,25,1,8,1,1,2,28107,152,130,0
381583,Male,21,1,22,1,1,2,28013,152,177,0
381584,Male,43,1,0,0,3,1,2630,59,217,0
381585,Female,50,1,6,1,3,2,32305,152,295,0
381586,Female,65,1,28,0,3,1,41131,13,96,0
381587,Male,22,1,13,0,1,1,2630,152,55,0
381588,Female,44,1,47,0,3,1,39161,26,28,0
381589,Female,26,1,41,1,1,2,34956,152,193,0
381590,Female,28,1,12,1,3,1,30584,156,131,0
381591,Male,52,1,31,0,3,1,2630,26,161,0
381592,Female,21,1,30,0,1,1,26600,152,296,0
381593,Male,51,1,28,0,3,1,2630,26,142,0
381594,Female,65,1,46,1,3,1,29959,11,139,0
381595,Female,80,1,3,1,3,1,30321,26,50,0
381596,Female,35,1,35,0,3,1,22622,156,223,0
381597,Male,53,1,51,0,3,1,32695,163,250,0
381598,Male,43,1,20,0,3,1,2630,124,12,0
381599,Female,54,1,8,1,3,2,42800,26,210,0
381600,Male,32,1,37,1,1,2,24006,152,198,0
381601,Female,28,1,41,1,1,2,32175,152,94,0
381602,Female,21,1,35,1,1,2,37542,160,156,0
381603,Female,34,1,11,0,3,2,2630,154,193,0
381604,Female,41,1,18,0,3,1,36817,124,14,0
381605,Female,52,1,29,1,3,2,25302,152,94,0
381606,Male,56,1,28,0,3,1,2630,26,242,0
381607,Male,44,1,14,0,3,1,33253,124,181,0
381608,Male,68,1,28,0,3,1,43381,30,12,0
381609,Male,55,1,43,0,3,1,42118,124,228,0
381610,Female,25,1,8,1,1,2,31240,152,39,0
381611,Male,22,1,6,0,1,1,36108,152,198,0
381612,Female,71,1,28,0,3,1,30062,26,128,0
381613,Female,22,1,32,1,1,2,30112,152,178,0
381614,Female,53,1,8,0,3,1,2630,157,215,0
381615,Female,20,1,28,0,1,1,20803,160,19,0
381616,Male,43,1,8,1,3,2,55671,124,56,0
381617,Female,23,1,40,0,1,2,36902,152,103,0
381618,Female,29,1,21,1,1,2,29000,152,289,0
381619,Male,23,1,42,0,1,1,26074,152,236,0
381620,Male,22,1,29,0,1,1,28333,152,104,0
381621,Male,44,1,28,1,3,2,29963,124,94,0
