SeriousDlqin2yrs,NumberOfTime30_59DaysPastDueNotWorse,NumberOfTime60_89DaysPastDueNotWorse,NumberOfTimes90DaysLate,MonthlyIncome,DebtRatio
0,0,0,0,3326,1.051397656
0,0,0,0,4500,0.549877805
0,0,0,0,3720,0.540983607
0,2,0,0,7723,0.316416365
0,1,0,0,764,0.681045752
0,0,0,1,2000,0.111444278
0,0,0,0,9455,0.16106176
0,0,0,0,8384,0.262611807
0,0,0,1,6793,0.369590815
1,1,0,0,10257,0.182881653
0,0,0,0,8600,0.116614347
0,0,0,0,4800,0.694646949
0,0,0,0,4975,0.074155949
0,0,0,0,15000,0.270448637
0,0,0,0,1042,2.797698945
0,0,0,0,10833,0.111131623
0,0,0,0,4500,0.208842479
0,0,0,0,12414,2.604510673
0,0,0,0,4950,0.492021814
0,0,0,0,3300,0.395031809
0,0,0,0,4886,0.316144874
0,0,1,0,3200,0.004061231
1,0,0,0,4716,0.591477634
0,0,0,0,4916,0.487288997
0,0,0,0,10500,0.123797734
0,0,0,0,3050,0.368403802
0,0,0,0,3100,0.51241535
0,0,1,1,6500,0.288417167
0,0,0,0,5714,0.280664917
0,0,0,0,2900,0.480523957
0,0,0,0,7500,0.006799093
0,0,0,0,4000,0.32591852
0,0,0,0,2690,0.138238573
0,0,0,0,4908,0.299246282
0,0,0,0,8333,0.258939285
0,0,0,0,6250,0.026235802
0,0,0,0,10060,0.003478779
0,0,0,0,3000,0.519493502
0,0,0,0,8314,0.664221287
0,0,0,0,8000,0.009748781
0,0,0,0,3833,1.382629108
0,0,0,0,3500,0.023993145
0,0,0,0,10000,0.108089191
0,1,0,0,3097,0.384441575
0,0,0,0,10200,0.149103029
0,0,0,0,4067,1.243362832
0,0,0,0,8168,0.12290366
0,0,0,0,500,0.123752495
0,0,0,0,4500,0.297933792
0,0,0,0,4145,0.239507959
0,0,1,0,14000,0.366545247
0,0,0,0,3228,0.63332301
0,0,0,0,3300,0.2226598
0,0,0,0,19167,0.218854341
0,0,0,0,12000,0.266394467
0,0,0,0,4500,0.351699622
0,0,0,0,1000,0.001998002
0,0,0,0,4550,0.517468688
0,0,0,0,2751,0.086482558
0,0,0,0,3150,0.100920343
0,0,0,0,7943,0.199647533
0,0,0,0,2700,1.065901518
0,0,0,0,4139,1.129227053
0,0,0,0,9450,0.112051635
0,0,0,0,5417,0.315983758
0,0,0,0,6799,0.323088235
0,0,0,0,8639,0.534027778
0,0,0,0,3800,0.343593791
0,0,0,0,5821,0.43369976
0,0,0,0,12500,0.452363811
0,1,0,0,3937,0.427882174
0,0,0,0,3500,0.748071979
0,0,0,0,2083,0.025911708
0,2,0,0,3000,0.370876375
0,1,0,0,3500,0.655812625
0,0,0,0,4000,0.315171207
0,0,0,0,3166,0.144616356
0,0,0,0,9583,0.563752087
0,0,0,0,6825,0.412979783
0,0,0,0,12000,0.342971419
0,0,0,0,3100,0.801999355
0,0,0,0,6800,0.034847816
0,1,0,0,3477,0.726566993
1,1,0,0,5416,1.104301274
0,0,0,0,5146,0.610841267
0,0,0,0,6916,0.593899089
0,2,0,0,1875,3.382196162
0,0,0,0,1,639.5
0,0,0,0,7734,0.138461538
0,0,0,0,5000,0.852429514
0,0,0,0,4500,0.089091313
0,0,0,0,7506,0.543625949
0,0,0,0,4200,0.365151154
0,0,0,0,9455,0.342005076
0,0,0,0,5000,0.330733853
0,0,0,1,2255,0.005319149
0,0,0,0,10065,0.010927876
0,0,0,0,2400,0.907538526
0,0,0,0,7700,0.667835346
0,0,0,1,3970,0.436665827
1,0,0,0,6200,0.477503628
1,0,1,0,2916,0.152896812
1,0,2,2,3883,0.291709578
0,0,0,0,5000,0.438912218
0,0,0,0,15000,0.47090194
0,0,0,0,6833,0.332016389
0,5,2,1,3500,0.536703799
0,0,0,0,3250,0.156259612
0,1,0,0,5000,0.016196761
1,0,0,0,1,74.5
0,4,0,0,21000,0.224465502
0,0,0,0,3300,0.119660709
0,0,0,0,3400,0.308438695
0,0,0,0,5200,0.181311286
0,0,0,0,9866,0.269281443
0,0,0,0,4800,0.166215372
0,0,0,0,7272,0.429533892
0,0,0,0,9000,0.17386957
0,0,0,0,10000,0.443755624
0,0,0,0,5833,0.024340075
0,1,0,0,2650,0.034326669
0,0,0,0,8750,0.420180551
0,1,0,1,1937,0.358101135
0,0,0,0,19000,0.183464028
0,0,0,0,6000,0.04965839
0,0,0,0,2200,0.031349387
0,0,0,0,1,800
0,0,0,0,5250,0.332698534
0,1,0,0,4166,0.135589153
0,0,0,0,7600,0.04578345
0,3,1,0,5215,0.700153374
0,0,0,0,8167,0.376836435
0,0,0,0,6962,0.296854804
0,1,0,0,6001,0.701766078
0,0,0,0,6000,0.322446259
1,0,0,0,3556,0.153500141
0,0,0,0,2000,0.56071964
0,0,0,0,6400,0.436025621
0,1,0,0,10000,0.262773723
0,0,0,0,7704,0.002465931
0,0,0,0,2600,0.537485582
0,0,0,0,2900,0.588073078
0,0,0,0,12916,0.460246187
0,0,0,0,4416,0.353860086
0,0,0,0,5000,0.476704659
0,0,0,0,5833,0.578676723
0,0,0,0,14000,0.283765445
1,1,1,0,5500,0.209961825
0,0,0,0,10500,0.000285687
0,0,0,0,6000,0.040493251
0,0,0,0,9000,0.20364404
0,2,0,0,9200,0.14041952
0,0,0,0,6694,0.458551158
0,0,0,0,10000,0.359964004
0,0,0,0,4500,0.008886914
0,0,0,0,3333,0.165566887
0,0,0,0,6625,0.257017809
1,7,0,0,3500,0.151956584
0,0,0,0,9750,0.092913547
0,1,0,0,7166,0.058322869
0,0,0,0,8500,0.266909775
0,0,0,0,1725,0
0,1,0,0,15000,0.123125125
0,0,0,0,4825,0.278077082
0,0,0,0,9387,0.007988922
0,0,0,0,12500,0.125189985
0,0,0,0,4991,0.037259615
0,0,0,0,2500,1.117952819
0,0,0,0,6800,0.264078812
0,1,0,0,208333,0.009691169
0,0,0,0,5700,0.637607437
0,0,0,0,2900,0.267149259
0,0,0,0,3600,0.094140517
0,0,0,0,1285,0.529548989
0,0,0,0,4464,0.175139978
0,0,0,0,11666,0.130453416
0,0,0,0,4668,0.445277361
0,0,0,0,26484,0.205927884
1,1,0,0,1705,0.637749121
0,0,0,0,8332,0.389895596
0,0,0,0,6666,0.326383681
0,0,0,0,3750,0.139429485
0,1,0,0,7500,0.595653913
0,0,0,0,8855,0.178184282
0,1,0,0,5411,0.554878049
0,0,0,0,16250,0.272721679
0,0,0,0,2652,0.307576329
0,0,0,0,16615,0.262879153
0,0,1,2,9493,0.092163472
0,0,0,0,5480,0
0,0,0,0,5000,0.347930414
0,0,0,0,8900,0.28446242
0,0,0,0,5081,0.705627706
0,0,0,0,4216,0.689589756
0,0,0,0,8333,0.339332853
0,0,0,0,2300,0.53628857
0,0,0,0,13054,0.083799311
0,1,1,0,2725,0.24651504
0,1,0,0,15800,0.282830201
0,0,0,0,4000,0.787803049
0,0,0,0,4900,0.537441339
0,1,0,0,5590,0.03988553
0,0,0,0,6666,0.271186441
0,0,0,0,11600,0.046633911
0,0,0,1,3172,0.391427671
0,0,0,0,500,0.075848303
0,0,0,0,11000,0.408871921
0,1,0,1,6667,0.166766647
0,0,0,0,7750,0.066830086
0,0,0,0,4166,0.144948404
0,2,1,0,7460,0.463610776
0,0,0,0,1500,0.136575616
0,0,0,0,6179,0.329935275
0,0,0,0,8333,0.042836573
0,0,0,0,7900,0.184027338
0,1,0,0,5500,0.632794037
0,1,0,0,3666,0.406053995
0,0,0,0,8000,0.043744532
0,0,0,0,4200,0
0,2,1,1,3550,0.472542946
0,0,0,0,6100,0.288477299
0,0,0,0,1244,0.750200803
0,0,0,0,12500,1.247340213
0,0,0,0,6946,0.483518065
0,1,0,0,2090,0.168340507
0,1,0,0,7500,0.318890815
0,0,0,0,2423,0.712458746
0,0,0,0,7090,0.249471161
0,0,0,0,6500,0.408706353
0,0,0,0,3000,0.193935355
1,0,0,0,25000,0.03975841
0,1,0,0,4400,0.388320836
0,0,0,0,5213,0.001534331
0,0,0,0,9230,0.199761673
0,0,0,0,913,1.394967177
0,0,0,0,4000,0.189702574
0,0,0,0,1984,0.572292191
0,0,0,0,4300,0.426412462
0,0,0,0,16100,0.072914726
0,0,0,0,5600,0.090341011
1,0,0,0,7523,0.461323764
0,0,0,0,15928,0.381254316
0,0,0,0,3697,0.356679286
0,0,0,0,5773,0.45722203
1,1,0,0,25000,0.218071277
0,2,2,2,3000,0.193935355
0,0,0,0,4500,0.184625639
0,0,0,0,1886,0.563328034
0,0,0,0,14330,0.033982276
0,0,0,0,5666,0.119463561
0,0,0,0,2500,0.698120752
0,0,0,0,19580,0.170164956
0,0,0,0,8000,0.333583302
0,0,0,0,1187,0.467171717
0,0,0,0,4700,0.017655818
0,2,1,0,3871,0.314566116
0,0,0,0,2500,0.009596162
0,0,0,0,5000,0.267146571
0,0,0,0,8636,0.214426305
0,0,0,0,2000,0.164917541
0,0,0,0,10500,0.101514142
0,0,0,0,9000,0.387956894
1,1,0,0,6150,0.285156885
0,0,0,0,3640,0.655589124
0,0,0,0,8050,0.278226307
0,0,0,0,14491,0.290229092
0,0,0,0,5228,0.13080895
0,0,0,0,2300,0.10821382
0,0,0,0,20000,0.008549573
0,0,0,0,7550,2.086478612
0,2,0,0,3201,0.007495315
0,0,0,0,4200,0
0,0,0,0,8200,0.285452994
0,0,0,0,9600,0.070513488
0,0,0,0,10154,0.188281635
0,0,0,0,4697,0.582162622
0,0,0,0,9700,0.414081023
0,1,1,3,6250,0.113421853
0,0,0,0,1,926.5
0,0,0,0,7752,0.115826132
0,0,0,0,5394,0.073772011
0,1,0,1,5800,1.206516118
0,0,0,0,7444,0.000268637
0,0,0,0,3724,0.352214765
0,1,0,0,3064,0.092985318
0,0,0,0,9700,0.437996083
0,0,0,0,16666,0.043259135
0,0,0,0,10173,0.492529978
0,0,0,0,11200,0.344879921
0,0,0,0,31666,0.259102536
0,0,0,0,6000,0.255290785
0,0,0,0,4800,0.131430952
0,0,0,0,6700,0.045366363
0,0,0,0,4166,1.299736021
0,0,0,0,4750,0.334245422
1,2,0,0,8785,0.369223765
0,0,0,0,1,2221.5
0,0,0,0,3900,0.644706486
1,10,5,2,3000,1.2979007
0,0,0,0,5750,0.41627543
0,0,0,0,1200,0.035803497
0,0,0,0,4550,0.386728192
0,0,0,0,5178,0.130140954
0,0,0,0,3648,0.000822143
0,0,0,0,2000,0.725137431
0,0,0,1,11667,0.16069592
0,0,0,0,3290,0.518991188
0,0,0,0,2439,0.003278689
0,0,0,0,10250,0.446688128
0,0,0,1,8208,0.41905226
0,0,0,0,4583,0.686736475
0,1,0,0,3666,0.603763294
0,0,0,0,9345,0.207789429
0,0,0,0,3416,0.306409131
0,0,0,0,9400,0.358153388
0,0,0,0,6000,0.209965006
0,0,0,0,6783,0.785229953
0,0,0,0,8900,0.179979778
0,1,0,2,3833,0.19170579
0,0,0,0,3500,0
0,0,0,0,5389,0.013543599
0,0,0,0,3166,0.454057468
0,3,1,0,5064,0.671076012
0,0,0,0,3762,0.114004783
0,0,0,0,10000,0.065493451
0,0,0,0,5566,0.432010059
0,0,0,0,4600,0.00912845
0,2,0,0,2060,0.095584668
0,0,0,0,7500,0.229436075
0,0,0,0,7236,0.177007047
0,1,0,2,5416,0.257707218
0,0,0,0,3939,0.145685279
0,0,0,0,3917,0.566105156
0,0,0,0,10000,0.394460554
0,0,0,0,6500,0.053530226
0,0,0,0,8333,0.130309575
1,0,0,0,3416,0.006731051
1,0,0,0,2700,0.594224361
0,1,0,0,10000,0.384761524
0,0,0,0,5000,0.176964607
0,0,0,0,5290,0.216405216
0,0,0,0,4917,0.168767792
0,1,0,1,5500,0.280494456
0,0,0,0,2500,0.041583367
0,0,0,0,4330,0.558762411
0,0,0,3,9400,0.399106478
0,0,0,1,7500,0.034395414
0,4,0,0,11266,0.52409692
0,0,0,0,4311,0.374304267
0,0,0,0,6228,0.186225718
0,0,0,0,3900,0.020763907
0,0,0,0,7667,0.478090767
0,1,0,0,6399,0.4925
0,0,0,0,5600,1.114622389
0,1,0,0,5250,0.086269282
0,0,0,0,2550,0.412779302
0,0,0,0,7668,0.254661625
0,2,1,2,2264,0.229139073
0,0,0,0,9115,0.44723563
0,0,0,0,1640,0.205971968
0,0,0,0,4484,0.068227425
0,0,0,0,11666,0.384074741
0,0,0,0,3800,0.532754538
0,1,0,1,6000,0.057990335
0,0,0,0,6583,0.09963548
0,1,2,0,7433,0.467850417
0,0,0,0,4015,0.016683267
0,0,0,0,7416,0.533099636
0,0,0,0,2497,0.660528423
0,0,0,0,1250,0.023181455
1,0,1,0,2372,0.228402866
0,0,0,0,7996,0.262848568
0,0,0,0,6993,0.067629397
0,1,0,1,4100,0.195074372
0,1,0,0,5000,0.568886223
0,0,0,0,4700,0.278025952
1,2,0,0,4000,1.620344914
0,0,0,0,800,0.347066167
0,0,0,0,5250,0.162635688
0,0,0,0,3200,0.450171821
0,0,0,0,8916,0.4825614
1,1,1,0,3600,0.297139683
0,0,0,0,5599,0.001785714
0,0,0,0,8220,0.207274054
0,2,0,0,6204,0.287187752
0,0,0,0,7416,0.044762033
0,0,0,0,8333,0.230261579
0,1,0,0,3600,0.790613718
1,0,0,0,9841,0.055984556
0,0,0,0,8000,0.724784402
0,1,0,0,1266,0.127071823
0,0,0,0,12900,0.498488489
0,0,0,0,5600,0.300839136
1,1,0,0,10480,0.524949909
0,2,0,0,8836,0.4842141
0,0,0,0,3900,0.881825173
0,0,0,0,6120,0.674399608
0,0,0,0,3597,0.437743191
0,0,0,0,10794,0.423251505
0,0,0,0,3612,0.53418212
0,0,0,0,7200,0.60616581
0,0,0,0,9000,0.030774358
0,0,0,0,5100,0.351891786
0,3,1,0,5217,0.200843235
0,0,0,0,4700,0
0,0,0,0,3000,0.785404865
0,0,0,0,4500,0
0,3,0,0,6000,0.747375437
0,0,0,0,3620,0.388566694
0,0,0,0,3250,0.08951092
0,0,0,0,70000,0.024885359
0,0,0,0,10234,0.353883732
0,0,0,0,801,0.527431421
0,0,0,0,8400,0.338531127
0,0,0,0,9000,0.324741695
0,0,0,0,6003,0.293637575
0,0,0,0,1436,0.437717467
0,0,0,0,6908,0.064119265
0,0,0,0,7420,0.480393478
1,1,1,3,2500,0.549380248
0,2,0,0,8166,0.197624587
0,0,0,0,8289,0.0013269
0,1,0,0,4144,0.138721351
0,0,0,0,4000,1.308922769
0,0,0,0,12000,0.236980252
0,0,0,0,10000,0.368063194
0,0,0,0,7900,0.348057208
0,0,0,2,2400,0.185755935
0,0,0,0,1813,0.184123484
0,0,0,0,2000,0.336831584
0,3,0,0,4350,0.260170076
0,0,0,0,3775,0.373940678
0,1,0,0,4800,0.098937721
0,0,0,0,10000,0.238076192
0,0,0,0,5595,0.024303074
0,0,0,0,5833,0.240143984
0,0,0,0,6048,0.3539428
0,0,0,0,16800,0.349026844
0,0,0,0,6283,0.102800764
1,0,0,0,7500,0.572590321
0,0,0,0,2223,0.010791367
0,0,0,0,3289,0.454103343
1,0,2,0,5833,0.350874186
0,0,0,0,5000,0.187762448
0,0,0,0,1500,0.607594937
0,2,0,0,10930,0.306101912
0,0,0,0,33333,0.201025979
0,0,0,0,6500,1.908629442
0,0,0,1,4333,0.158975542
0,0,0,0,5770,0.513602495
0,0,0,0,2247,0.175266904
0,0,0,0,6584,0.566894457
0,0,0,0,5212,0.002301937
0,1,0,0,2200,0.263516583
0,1,1,1,2080,0.2138395
0,0,0,0,7166,0.444956049
0,0,0,0,3500,0.444444444
0,0,0,0,4000,0.506873282
0,0,0,0,12912,0.258576628
0,0,0,0,3850,1.383017398
0,0,0,0,6665,0.266876688
0,1,0,0,6250,0.191649336
0,1,0,0,1700,0.571428571
0,0,0,0,7333,0.157212981
0,0,0,0,5856,0.020146833
0,0,0,0,16059,0.145703611
0,2,0,0,18500,0.480082158
0,0,0,0,1700,1.432686655
0,0,0,0,6200,0
0,0,0,0,5541,0.489714904
0,0,0,0,4300,0.297372704
0,0,0,0,11916,0.404799866
0,0,0,0,4400,0.238127698
0,0,0,0,4500,0.183736947
0,0,0,0,7123,0.295480067
0,0,0,0,2334,0.24496788
0,0,0,0,2416,0.179975176
1,0,0,0,12667,0.337622356
0,0,0,0,3812,0.258589038
0,0,0,0,1181,0.08037225
0,0,0,0,11318,0.23358954
0,0,0,0,3000,0.156614462
0,0,0,0,400,10.80049875
0,0,0,0,7666,0.370418677
0,0,0,0,1600,0.62273579
1,3,1,0,16984,0.160317928
1,0,0,0,4500,0.558320373
0,0,0,0,2841,0.238212526
0,0,0,0,8741,0.162891787
0,0,0,0,4500,0.162186181
0,0,0,0,4800,0.093522183
0,0,0,0,6666,0.416379181
0,1,1,0,8700,0.219974716
0,0,0,0,3000,0.360879707
0,0,0,0,6613,0.367553674
0,0,0,0,3400,0.645104381
1,0,0,2,2700,0.175120326
0,0,0,0,11000,0.361421689
0,0,0,0,4900,0.517037339
0,0,0,0,6000,0.009831695
0,4,2,3,4400,0.305839582
0,0,0,0,2083,0.325335893
0,0,0,0,7125,0.017260735
0,0,0,0,7166,0.39095856
0,0,0,0,6500,0.009690817
0,0,0,0,9501,0.448326668
0,0,0,0,5833,0.662152897
0,0,0,0,11000,0.008908281
0,0,0,0,4500,0.149077983
0,0,0,0,6083,0.028599606
1,2,0,0,4117,0.361340457
0,0,0,0,11666,0.166452387
0,0,0,0,7032,0.115171335
0,0,0,0,8333,0.335733141
0,0,0,0,3500,0.035418452
0,0,0,0,9083,0.513540291
0,0,0,0,2930,0.037871034
0,1,0,0,820,0.017052375
0,0,0,0,7035,0.457930642
0,0,0,2,4000,0.177955511
0,0,0,0,1082,3.874422899
0,0,0,0,8800,0.263151915
1,0,0,1,6000,0.27112148
0,3,0,0,11916,0.207518671
0,0,0,0,12500,0.00711943
0,0,0,0,7876,0.199949219
0,1,0,0,2648,0.232918082
0,0,0,0,3333,0.182363527
0,0,0,0,6000,0.442592901
0,0,0,0,9401,0.427674963
0,0,0,0,3233,1.012368584
0,0,0,0,4400,0.262440354
0,0,0,0,11000,0.441868921
0,2,0,0,13000,0.190062303
0,0,0,0,5000,0.00019996
0,0,0,0,11000,0.090355422
0,0,0,0,6707,0.585122242
0,0,0,0,1666,0.668266347
0,1,0,0,1698,0.408475574
0,0,0,0,2833,0.04587156
0,2,0,0,16441,0.361938937
0,0,0,0,4213,0.319174181
0,0,0,0,7666,0.601017347
0,0,0,0,4575,0.712194056
0,0,0,0,5000,0.312937413
0,0,0,0,2500,0.011195522
0,0,0,0,4000,0.043739065
0,0,0,0,8500,0.461357487
0,0,0,0,17000,0.711075819
0,0,1,0,3274,0.260763359
0,0,0,0,3600,0.336295473
0,0,0,0,3082,0.376905611
0,0,0,0,6708,0.735131912
0,0,0,0,8000,0.23072116
0,1,0,0,6000,0.870354941
0,0,0,0,3200,0.812870978
0,0,0,0,4490,0.020708083
0,1,0,0,2000,0.650674663
1,5,0,0,5010,0.691279186
0,0,0,0,21000,0.453692681
0,1,0,1,2500,0.428628549
0,0,0,0,4166,0.010079194
0,0,0,0,1201,0.044093178
0,0,0,0,1291,0.080495356
0,0,0,0,16666,0.315173697
0,0,0,0,10000,0.335066493
0,0,0,0,2600,0.052672049
0,0,0,0,5866,0.285324697
0,0,0,0,12500,0.34037277
0,0,0,0,9633,0.365787835
0,2,0,0,19416,0.254313231
0,0,0,0,7166,0.369192131
0,0,0,0,9213,0.228999349
0,0,0,0,3500,0.540702656
0,1,0,1,23100,0.128132981
1,0,0,1,4052,0.632371083
0,1,0,0,5700,0.215576215
0,0,0,0,10000,0.324267573
0,0,0,0,3500,0.89117395
0,0,0,0,615,0
0,0,0,0,11850,0.049700447
0,0,0,0,2900,0.001723544
1,0,0,0,3500,0.44187375
0,0,0,0,12000,0.399050079
0,1,0,0,2951,0.181233062
0,1,0,2,7881,0.531464095
0,0,0,0,4000,0.132716821
0,0,0,0,1105,0.372513562
0,0,0,0,1520,0.067061144
0,0,0,0,6323,0.128716003
0,0,0,0,5280,0.26775232
0,0,0,0,2236,0
0,0,0,0,5000,0.057388522
0,0,0,1,10862,0.342354782
0,0,0,0,3000,0.508163945
0,0,0,0,5611,0.170705631
0,0,0,0,7769,0.001287001
0,0,0,0,1274,0.121568627
0,0,0,0,3000,0.177274242
1,0,1,2,1794,0.129805014
0,0,0,0,6800,0.053521541
0,0,0,0,8400,0.193786454
0,0,0,0,3230,0.515939338
0,0,0,0,2350,0.225861336
0,0,0,0,4167,0.274952015
1,0,1,0,4106,0.68127587
0,0,0,0,2350,0.356018715
0,0,0,0,10416,0.735816454
0,0,0,0,4479,0.166517857
0,0,0,0,7500,0.085321957
0,0,0,0,4000,0.720069983
0,0,0,0,3800,0.332280979
0,0,0,0,3414,0.528550512
0,0,0,0,3833,0
0,4,0,0,13350,0.38708711
0,0,0,0,3646,0.644091034
0,0,0,0,3642,0.107878122
0,0,0,0,8057,0.002606106
0,0,0,1,6421,0.165213329
0,0,0,0,2800,0.217065334
0,0,0,0,6772,0.552930754
0,0,0,0,2800,1.002499107
0,2,0,0,3950,0.475322703
0,0,0,0,5449,0.142385321
0,0,0,0,2000,0.432783608
0,0,1,0,8000,0.264841895
0,0,1,0,4200,0.344679838
0,0,0,0,2400,0.01332778
0,0,0,0,4500,0.335036659
0,0,0,0,5455,0
0,0,0,0,9200,0.216280839
0,0,0,0,2336,0.01283697
0,0,0,0,9066,0.121319069
0,0,0,0,3000,0.264911696
0,0,0,0,4500,0.286158631
0,1,0,0,7854,0.332527053
0,0,0,0,9453,0.963084409
0,0,0,0,8333,0.079193665
0,0,0,0,4347,0.090386385
0,0,0,0,5476,0.447142596
0,0,0,0,3910,0.380976732
0,0,0,0,18553,0.122830656
1,0,0,0,4287,0.53801306
0,0,0,0,7000,0.411084131
0,0,0,0,15916,0.196142489
0,0,0,0,13400,0.103425118
0,0,0,0,6916,0.32224953
0,0,0,0,19000,0.121835693
0,0,0,0,11000,0.226433961
0,0,0,0,6743,0.427787663
0,0,0,0,5833,0.074734316
0,0,0,0,3200,0.589815683
0,0,0,0,5666,0.00829363
0,0,0,0,3600,0.207164676
0,2,0,0,3675,0.718171926
0,0,0,0,10633,0.373801016
0,0,0,0,8750,0.008456176
0,0,0,0,12000,0.430297475
0,0,0,0,6006,0.330947228
0,0,0,0,1871,0.137820513
0,0,0,0,15075,0.301074556
0,3,0,0,7916,0.375647341
0,0,0,0,24750,0.022504141
0,0,0,0,4650,0.679853795
0,0,0,0,13000,0.373740482
0,0,0,0,4800,0.31035201
0,0,0,0,8575,0.311916978
0,1,0,0,4333,0.283571758
0,0,0,0,2800,0.319171724
0,0,0,0,9700,0.236573549
0,0,0,0,1250,1.298161471
0,0,0,0,4050,0.274253271
0,0,0,0,2853,0.528381219
0,0,0,0,2500,0.551779288
0,0,0,0,4333,0.42893401
0,0,0,0,4975,1.112942122
0,2,0,1,2000,0.032483758
0,1,0,1,5400,0
0,0,0,0,9000,0.333851794
0,0,0,0,2500,0.262694922
0,0,0,0,2685,0.802308265
0,0,0,0,8900,0.504887091
0,0,0,0,4150,0.459166466
0,0,0,0,4166,0.006959443
0,1,0,0,9178,0.524458002
0,0,0,0,2620,0.194963754
0,0,0,0,10131,0.226213976
0,0,0,0,2000,0.294852574
0,0,0,0,5259,0.474904943
0,2,0,0,9600,0.27018019
1,0,0,0,2308,0.984408835
0,0,0,0,10500,0
0,0,0,0,2500,0.515793683
0,0,0,0,11400,0.271467415
0,0,0,0,3200,0.069040925
0,0,0,0,5122,0.137224283
0,0,0,0,2700,0.339874121
0,0,0,0,10000,0.224577542
0,0,0,0,5489,0.454098361
0,1,0,0,2933,0.064417178
0,1,0,0,6700,0.560214893
0,4,0,0,25000,0.343546258
0,1,0,0,2880,0.372787227
0,0,0,0,10000,0.266873313
0,0,0,0,3800,0.370691923
0,0,0,0,10337,0.008222093
0,0,0,0,3916,1.220066377
0,0,0,0,5640,0.421201915
1,2,0,0,4300,0.881655429
0,0,0,0,8400,0.75145816
0,0,0,0,12000,0.046662778
0,0,0,0,1500,0
0,1,1,0,12000,0.421048246
0,0,0,0,500,2.694610778
0,0,0,0,5400,0.020736901
0,0,0,0,7166,0.514162132
0,0,0,0,2500,1.317473011
0,0,0,0,4577,0.047400612
0,0,0,0,8926,0.257757365
0,0,0,0,12407,0.146276596
0,0,0,0,2665,0.148162041
0,0,0,0,6400,0
0,0,0,0,3500,0
0,0,0,0,13333,0.318734063
1,3,0,0,4000,0.605098725
0,0,0,0,9000,0.315187201
0,0,0,0,1850,0.198811453
0,0,0,0,6500,0.498692509
0,0,0,0,6300,0.156959213
0,0,1,1,5323,0.167543201
0,0,0,0,6867,0.587361677
0,0,0,0,8630,0.246784845
0,3,0,0,3000,1.511162946
0,0,0,0,5600,0.346902339
0,0,0,0,9750,0.621679828
0,2,0,0,4750,0.432119554
0,1,0,0,21,106.2727273
0,0,0,0,2310,0.061445262
0,1,0,0,8966,0.546448087
0,0,0,0,5000,0.180763847
1,0,0,0,3400,0.18141723
0,0,0,0,3637,0.611050027
0,0,0,0,6316,0.313439924
0,0,0,0,6430,0.691183331
0,1,0,0,13400,0.283411686
0,0,0,0,3300,0.355043926
0,1,0,0,10000,0.252274773
0,1,1,0,3000,10.17127624
0,0,0,0,12400,0.135553584
0,1,0,0,13433,0.43955635
0,0,0,0,5700,0.185055253
0,0,0,0,8750,0.067877957
0,0,0,0,18836,0.102670277
0,0,0,0,4366,0.306846806
0,0,0,0,6250,0
0,0,0,0,4500,0.531659631
0,0,0,0,6140,0.291809152
0,0,0,0,2250,0.217236784
0,3,2,0,6579,0.268693009
0,0,0,0,2200,0.433893685
0,0,1,0,3335,0.047961631
0,0,0,0,5500,0.537720414
0,0,0,0,4166,1.055195584
1,0,0,1,2513,0.53540175
0,0,1,1,6480,0.278969295
0,0,0,0,4466,0.637788225
