Loan_To_Value ratio,Driving_Flag,No_Of_PRI_ACCT,LOAN_DEFAULT,employment_status,,,,,,,,,
71.12,0,0,0,1,,,,,,,,,
45.48,0,0,0,1,,,,,,,,,
51.65,0,0,0,1,,,,,,,,,
74.44,0,0,0,1,,,,,,,,,
49.07,0,0,0,1,,,,,,,,,
67.01,0,0,0,1,,,,,,,,,
66.56,0,0,0,1,,,,,,,,,
74.16,0,0,0,1,,,,,,,,,
68.82,0,0,0,1,,,,,,,,,
62.3,0,0,0,1,,,,,,,,,
66.02,0,0,0,1,,,,,,,,,
74.09,0,0,0,1,,,,,,,,,
56.66,0,0,0,1,,,,,,,,,
60.24,0,0,0,1,,,,,,,,,
77.2,0,0,0,1,,,,,,,,,
63.9,0,0,0,1,,,,,,,,,
75.1,0,0,0,1,,,,,,,,,
67.17,0,0,0,1,,,,,,,,,
80.85,0,0,0,1,,,,,,,,,
79.5,0,0,0,1,,,,,,,,,
74.02,0,0,0,1,,,,,,,,,
61.09,0,0,0,1,,,,,,,,,
66.56,0,0,0,1,,,,,,,,,
71.99,0,0,0,1,,,,,,,,,
59.42,0,0,0,1,,,,,,,,,
73.9,0,0,0,1,,,,,,,,,
45.65,0,0,0,1,,,,,,,,,
58.77,0,0,0,1,,,,,,,,,
40.08,0,0,0,1,,,,,,,,,
69.1,0,0,0,1,,,,,,,,,
64.74,0,0,0,1,,,,,,,,,
72.68,0,0,0,1,,,,,,,,,
65.03,0,0,0,1,,,,,,,,,
57.17,0,0,0,1,,,,,,,,,
61.99,0,0,0,1,,,,,,,,,
69.76,0,0,0,1,,,,,,,,,
72.68,0,0,0,1,,,,,,,,,
67.67,0,0,0,1,,,,,,,,,
71.35,0,0,0,1,,,,,,,,,
74.94,0,0,0,1,,,,,,,,,
70.86,0,0,0,1,,,,,,,,,
51.16,0,0,0,1,,,,,,,,,
74.66,0,0,0,1,,,,,,,,,
74.09,0,0,0,1,,,,,,,,,
70.62,0,0,0,1,,,,,,,,,
62.79,0,0,0,1,,,,,,,,,
24.67,0,0,0,1,,,,,,,,,
52.73,0,0,0,1,,,,,,,,,
67.27,0,0,0,1,,,,,,,,,
60.31,0,0,0,1,,,,,,,,,
57.98,0,0,0,1,,,,,,,,,
60.5,0,0,0,1,,,,,,,,,
74.8,0,0,0,1,,,,,,,,,
60.12,0,0,0,1,,,,,,,,,
62.33,0,0,0,1,,,,,,,,,
72.03,0,0,0,1,,,,,,,,,
56.38,0,0,0,1,,,,,,,,,
68.99,0,0,0,1,,,,,,,,,
78.4,0,0,0,1,,,,,,,,,
54.86,0,0,0,1,,,,,,,,,
68.56,0,0,0,1,,,,,,,,,
85.81,0,0,0,1,,,,,,,,,
58.5,0,0,0,1,,,,,,,,,
70.38,0,0,0,1,,,,,,,,,
72.97,0,0,0,1,,,,,,,,,
57.98,0,0,0,1,,,,,,,,,
41.48,0,0,0,1,,,,,,,,,
52.24,0,0,0,1,,,,,,,,,
83.97,0,0,0,1,,,,,,,,,
74.43,0,0,0,1,,,,,,,,,
59.07,0,0,0,1,,,,,,,,,
51.25,0,0,0,1,,,,,,,,,
74,0,0,0,1,,,,,,,,,
57.15,0,0,0,1,,,,,,,,,
68.17,0,0,0,1,,,,,,,,,
61.9,0,0,0,1,,,,,,,,,
75.85,0,0,0,1,,,,,,,,,
83.23,0,0,0,1,,,,,,,,,
62.53,0,0,0,1,,,,,,,,,
85.16,0,0,0,1,,,,,,,,,
56.9,0,0,0,1,,,,,,,,,
56.48,0,0,0,1,,,,,,,,,
39.64,0,0,0,1,,,,,,,,,
54.86,0,0,0,1,,,,,,,,,
52.62,0,0,0,1,,,,,,,,,
58.14,0,0,0,1,,,,,,,,,
56.66,0,0,0,1,,,,,,,,,
57.79,0,0,0,1,,,,,,,,,
66.13,0,0,0,1,,,,,,,,,
59.89,0,0,0,1,,,,,,,,,
80.08,0,0,0,1,,,,,,,,,
61.93,0,0,0,1,,,,,,,,,
50.86,0,0,0,1,,,,,,,,,
61.86,0,0,0,1,,,,,,,,,
70.46,0,0,0,1,,,,,,,,,
53.79,0,0,0,1,,,,,,,,,
74.21,0,0,0,1,,,,,,,,,
55.62,0,0,0,1,,,,,,,,,
68.87,0,0,0,1,,,,,,,,,
82.12,0,0,0,1,,,,,,,,,
68.75,0,0,0,1,,,,,,,,,
57.9,0,0,0,1,,,,,,,,,
80.26,0,0,0,1,,,,,,,,,
61.75,0,0,0,1,,,,,,,,,
49.74,0,0,0,1,,,,,,,,,
60.41,0,0,0,1,,,,,,,,,
73.32,0,0,0,1,,,,,,,,,
49.41,0,0,0,1,,,,,,,,,
64.92,0,0,0,1,,,,,,,,,
60.83,0,0,0,1,,,,,,,,,
78.81,0,0,0,1,,,,,,,,,
72.47,0,0,0,1,,,,,,,,,
74.21,0,0,0,1,,,,,,,,,
72.18,0,0,0,1,,,,,,,,,
53.79,0,0,0,1,,,,,,,,,
82.77,0,0,0,1,,,,,,,,,
71.03,0,0,0,1,,,,,,,,,
67.51,0,0,0,1,,,,,,,,,
70.66,0,0,0,1,,,,,,,,,
78.59,0,0,0,1,,,,,,,,,
53.29,0,0,0,1,,,,,,,,,
43.48,0,0,0,1,,,,,,,,,
82.64,0,0,0,1,,,,,,,,,
66.59,0,0,0,1,,,,,,,,,
74.08,0,0,0,1,,,,,,,,,
58.12,0,0,0,1,,,,,,,,,
49.64,0,0,0,1,,,,,,,,,
66.4,0,0,0,1,,,,,,,,,
42.37,0,0,0,1,,,,,,,,,
73.92,0,0,0,1,,,,,,,,,
60.7,0,0,0,1,,,,,,,,,
68.72,0,0,0,1,,,,,,,,,
57.55,0,0,0,1,,,,,,,,,
72.33,0,0,0,1,,,,,,,,,
66.91,0,0,0,1,,,,,,,,,
56.41,0,0,0,1,,,,,,,,,
74.07,0,0,0,1,,,,,,,,,
79.62,0,0,0,1,,,,,,,,,
51.32,0,0,0,1,,,,,,,,,
55.98,0,0,0,1,,,,,,,,,
70.38,0,0,0,1,,,,,,,,,
47.3,0,0,0,1,,,,,,,,,
55.6,0,0,0,1,,,,,,,,,
66.86,0,0,0,1,,,,,,,,,
66.89,0,0,0,1,,,,,,,,,
61.04,0,0,0,1,,,,,,,,,
58.88,0,0,0,1,,,,,,,,,
66.98,0,0,0,1,,,,,,,,,
73.71,0,0,0,1,,,,,,,,,
67.26,0,0,0,1,,,,,,,,,
69.63,0,0,0,1,,,,,,,,,
73.33,0,0,0,1,,,,,,,,,
56.41,0,0,0,1,,,,,,,,,
59.23,0,0,0,1,,,,,,,,,
44.99,0,0,0,1,,,,,,,,,
73.93,0,0,0,1,,,,,,,,,
78.41,0,0,0,1,,,,,,,,,
79.87,0,0,0,1,,,,,,,,,
73.18,0,0,0,1,,,,,,,,,
74.86,0,0,0,1,,,,,,,,,
79.77,0,0,0,1,,,,,,,,,
51.48,0,0,0,1,,,,,,,,,
43.93,0,0,0,1,,,,,,,,,
62.4,0,0,0,1,,,,,,,,,
67.82,0,0,0,1,,,,,,,,,
79.95,0,0,0,1,,,,,,,,,
77.78,0,0,0,1,,,,,,,,,
78.42,0,0,0,1,,,,,,,,,
56.08,0,0,0,1,,,,,,,,,
70.27,0,0,0,1,,,,,,,,,
79.5,0,0,0,1,,,,,,,,,
79.9,0,0,0,1,,,,,,,,,
58.52,0,0,0,1,,,,,,,,,
72.67,0,0,0,1,,,,,,,,,
79.83,0,0,0,1,,,,,,,,,
51.52,0,0,0,1,,,,,,,,,
74.52,0,0,0,1,,,,,,,,,
87.45,0,0,0,1,,,,,,,,,
48.59,0,0,0,1,,,,,,,,,
72.22,0,0,0,1,,,,,,,,,
46.56,0,0,0,1,,,,,,,,,
68.06,0,0,0,1,,,,,,,,,
63.07,0,0,0,1,,,,,,,,,
65.98,0,0,0,1,,,,,,,,,
51.95,0,0,0,1,,,,,,,,,
70.95,0,0,0,1,,,,,,,,,
75.3,0,0,0,1,,,,,,,,,
72.2,0,0,0,1,,,,,,,,,
74.53,0,0,0,1,,,,,,,,,
57.41,0,0,0,1,,,,,,,,,
32.71,0,0,0,1,,,,,,,,,
48.01,0,0,0,1,,,,,,,,,
82.63,0,0,0,1,,,,,,,,,
60.67,0,0,0,1,,,,,,,,,
87.71,0,0,0,1,,,,,,,,,
87.11,0,0,0,1,,,,,,,,,
58,0,0,0,1,,,,,,,,,
62.92,0,0,0,1,,,,,,,,,
88.82,0,0,0,1,,,,,,,,,
69.1,0,0,0,1,,,,,,,,,
60.73,0,0,0,1,,,,,,,,,
71.69,0,0,0,1,,,,,,,,,
80.51,0,0,0,1,,,,,,,,,
67.75,0,0,0,1,,,,,,,,,
72.1,0,0,0,1,,,,,,,,,
77.72,0,0,0,1,,,,,,,,,
76.12,0,0,0,1,,,,,,,,,
89.19,0,0,0,1,,,,,,,,,
80.11,0,0,0,1,,,,,,,,,
89.81,0,0,0,1,,,,,,,,,
57.14,0,0,0,1,,,,,,,,,
85.33,0,0,0,1,,,,,,,,,
65.4,0,0,0,1,,,,,,,,,
57.31,0,0,0,1,,,,,,,,,
73.09,0,0,0,1,,,,,,,,,
75.3,0,0,0,1,,,,,,,,,
70.91,0,0,0,1,,,,,,,,,
74.27,0,0,0,1,,,,,,,,,
72.39,0,0,0,1,,,,,,,,,
61.92,0,0,0,1,,,,,,,,,
74.88,0,0,0,1,,,,,,,,,
80.69,0,0,0,1,,,,,,,,,
69.01,0,0,0,1,,,,,,,,,
61.64,0,0,0,1,,,,,,,,,
54.21,0,0,0,1,,,,,,,,,
79.06,0,0,0,1,,,,,,,,,
89.63,0,0,0,1,,,,,,,,,
71.7,0,0,0,1,,,,,,,,,
74.68,0,0,0,1,,,,,,,,,
89.37,0,0,0,1,,,,,,,,,
75.46,0,0,0,1,,,,,,,,,
73.69,0,0,0,1,,,,,,,,,
79.83,0,0,0,1,,,,,,,,,
72.48,0,0,0,1,,,,,,,,,
47.25,0,0,0,1,,,,,,,,,
23.22,0,0,0,1,,,,,,,,,
75.63,0,0,0,1,,,,,,,,,
80.75,0,0,0,1,,,,,,,,,
80.69,0,0,0,1,,,,,,,,,
85.87,0,0,0,1,,,,,,,,,
89.78,0,0,0,1,,,,,,,,,
80.79,0,0,0,1,,,,,,,,,
78.84,0,0,0,1,,,,,,,,,
72.39,0,0,0,1,,,,,,,,,
73.69,0,0,0,1,,,,,,,,,
46.65,0,0,0,1,,,,,,,,,
73.13,0,0,0,1,,,,,,,,,
79.27,0,0,0,1,,,,,,,,,
73.23,0,0,0,1,,,,,,,,,
60.55,0,0,0,1,,,,,,,,,
70.75,0,0,0,1,,,,,,,,,
73.63,0,0,0,1,,,,,,,,,
48.78,0,0,0,1,,,,,,,,,
63.26,0,0,0,1,,,,,,,,,
74.55,0,0,0,1,,,,,,,,,
45.87,0,0,0,1,,,,,,,,,
70.43,0,0,0,1,,,,,,,,,
66.96,0,0,0,1,,,,,,,,,
48.16,0,0,0,1,,,,,,,,,
66.38,0,0,0,1,,,,,,,,,
82.58,0,0,0,1,,,,,,,,,
79.19,0,0,0,1,,,,,,,,,
72.33,0,0,0,1,,,,,,,,,
48.68,0,0,0,1,,,,,,,,,
58.77,0,0,0,1,,,,,,,,,
65.35,0,0,0,1,,,,,,,,,
87.48,0,0,0,1,,,,,,,,,
72.84,0,0,0,1,,,,,,,,,
83.09,0,0,0,1,,,,,,,,,
67.88,0,0,0,1,,,,,,,,,
62.03,0,0,0,1,,,,,,,,,
73.66,0,0,0,1,,,,,,,,,
68.19,0,0,0,1,,,,,,,,,
71.26,0,0,0,1,,,,,,,,,
74.34,0,0,0,1,,,,,,,,,
60.17,0,0,0,1,,,,,,,,,
84.29,0,0,0,1,,,,,,,,,
60.1,0,0,0,1,,,,,,,,,
56.48,0,0,0,1,,,,,,,,,
84.92,0,0,0,1,,,,,,,,,
84.78,0,0,0,1,,,,,,,,,
72.88,0,0,0,1,,,,,,,,,
65.35,0,0,0,1,,,,,,,,,
53.58,0,0,0,1,,,,,,,,,
81.54,0,0,0,1,,,,,,,,,
76.83,0,0,0,1,,,,,,,,,
72.21,0,0,0,1,,,,,,,,,
59.02,0,0,0,1,,,,,,,,,
55.84,0,0,0,1,,,,,,,,,
42.31,0,0,0,1,,,,,,,,,
69.51,0,0,0,1,,,,,,,,,
78.55,0,0,0,1,,,,,,,,,
81.24,0,0,0,1,,,,,,,,,
59.28,0,0,0,1,,,,,,,,,
73.96,0,0,0,1,,,,,,,,,
53.25,0,0,0,1,,,,,,,,,
86.46,0,0,0,1,,,,,,,,,
25.71,0,0,0,1,,,,,,,,,
49.3,0,0,0,1,,,,,,,,,
50.15,0,0,0,1,,,,,,,,,
47.64,0,0,0,1,,,,,,,,,
79.4,0,0,0,1,,,,,,,,,
85,0,0,0,1,,,,,,,,,
68.45,0,0,0,1,,,,,,,,,
49.59,0,0,0,1,,,,,,,,,
84.11,0,0,0,1,,,,,,,,,
46.34,0,0,0,1,,,,,,,,,
66.48,0,0,0,1,,,,,,,,,
60.9,0,0,0,1,,,,,,,,,
83.78,0,0,0,1,,,,,,,,,
72.14,0,0,0,1,,,,,,,,,
69.23,0,0,0,1,,,,,,,,,
76.97,0,0,0,1,,,,,,,,,
50.22,0,0,0,1,,,,,,,,,
73.47,0,0,0,1,,,,,,,,,
65.61,0,0,0,1,,,,,,,,,
68.07,0,0,0,1,,,,,,,,,
70.92,0,0,0,1,,,,,,,,,
75.37,0,0,0,1,,,,,,,,,
84.43,0,0,0,1,,,,,,,,,
71.21,0,0,0,1,,,,,,,,,
50.04,0,0,0,1,,,,,,,,,
71.92,0,0,0,1,,,,,,,,,
74.37,0,0,0,1,,,,,,,,,
68.14,0,0,0,1,,,,,,,,,
52.11,0,0,0,1,,,,,,,,,
71.33,0,0,0,1,,,,,,,,,
74.35,0,0,0,1,,,,,,,,,
67.76,0,0,0,1,,,,,,,,,
69.23,0,0,0,1,,,,,,,,,
74.45,0,0,0,1,,,,,,,,,
74,0,0,0,1,,,,,,,,,
28.57,0,0,0,1,,,,,,,,,
69.28,0,0,0,1,,,,,,,,,
74.15,0,0,0,1,,,,,,,,,
35.18,0,0,0,1,,,,,,,,,
66.03,0,0,0,1,,,,,,,,,
61.1,0,0,0,1,,,,,,,,,
68.1,0,0,0,1,,,,,,,,,
61.84,0,0,0,1,,,,,,,,,
86.79,0,0,0,1,,,,,,,,,
70.22,0,0,0,1,,,,,,,,,
71.48,0,0,0,1,,,,,,,,,
73.58,0,0,0,1,,,,,,,,,
68.85,0,0,0,1,,,,,,,,,
72.81,0,0,0,1,,,,,,,,,
60.43,0,0,0,1,,,,,,,,,
61.95,0,0,0,1,,,,,,,,,
53.62,0,0,0,1,,,,,,,,,
83.48,0,0,0,1,,,,,,,,,
72.37,0,0,0,1,,,,,,,,,
70.37,0,0,0,1,,,,,,,,,
47.55,0,0,0,1,,,,,,,,,
74.06,0,0,0,1,,,,,,,,,
82.9,0,0,0,1,,,,,,,,,
89.88,0,0,0,1,,,,,,,,,
58.13,0,0,0,1,,,,,,,,,
64.82,0,0,0,1,,,,,,,,,
74.41,0,0,0,1,,,,,,,,,
68.62,0,0,0,1,,,,,,,,,
79.65,0,0,0,1,,,,,,,,,
73.04,0,0,0,1,,,,,,,,,
69.01,0,0,0,1,,,,,,,,,
25.53,0,0,0,1,,,,,,,,,
82.61,0,0,0,1,,,,,,,,,
61.22,0,0,0,1,,,,,,,,,
46.6,0,0,0,1,,,,,,,,,
78.68,0,0,0,1,,,,,,,,,
63.73,0,0,0,1,,,,,,,,,
71.58,0,0,0,1,,,,,,,,,
74.71,0,0,0,1,,,,,,,,,
67.59,0,0,0,1,,,,,,,,,
42.58,0,0,0,1,,,,,,,,,
70.59,0,0,0,1,,,,,,,,,
55.17,0,0,0,1,,,,,,,,,
38.31,0,0,0,1,,,,,,,,,
69.2,0,0,0,1,,,,,,,,,
76.02,0,0,0,1,,,,,,,,,
65.22,0,0,0,1,,,,,,,,,
46.85,0,0,0,1,,,,,,,,,
55.39,0,0,0,1,,,,,,,,,
71.95,0,0,0,1,,,,,,,,,
87.3,0,0,0,1,,,,,,,,,
74.5,0,0,0,1,,,,,,,,,
63.02,0,0,0,1,,,,,,,,,
79.69,0,0,0,1,,,,,,,,,
68.2,0,0,0,1,,,,,,,,,
42.89,0,0,0,1,,,,,,,,,
69.58,0,0,0,1,,,,,,,,,
55.39,0,0,0,1,,,,,,,,,
75,0,0,0,1,,,,,,,,,
63.77,0,0,0,1,,,,,,,,,
75.65,0,0,0,1,,,,,,,,,
73.67,0,0,0,1,,,,,,,,,
69.1,0,0,0,1,,,,,,,,,
75,0,0,0,1,,,,,,,,,
66.67,0,0,0,1,,,,,,,,,
79.84,0,0,0,1,,,,,,,,,
79.71,0,0,0,1,,,,,,,,,
56.3,0,0,0,1,,,,,,,,,
74.56,0,0,0,1,,,,,,,,,
67.11,0,0,0,1,,,,,,,,,
76.99,0,0,0,1,,,,,,,,,
69.73,0,0,0,1,,,,,,,,,
62.78,0,0,0,1,,,,,,,,,
73.9,0,0,0,1,,,,,,,,,
74.94,0,0,0,1,,,,,,,,,
74.93,0,0,0,1,,,,,,,,,
70.2,0,0,0,1,,,,,,,,,
56.44,0,0,0,1,,,,,,,,,
70.93,0,0,0,1,,,,,,,,,
65.56,0,0,0,1,,,,,,,,,
56.81,0,0,0,1,,,,,,,,,
74.17,0,0,0,1,,,,,,,,,
56.26,0,0,0,1,,,,,,,,,
56.31,0,0,0,1,,,,,,,,,
75.14,0,0,0,1,,,,,,,,,
65.7,0,0,0,1,,,,,,,,,
63.03,0,0,0,1,,,,,,,,,
79.86,0,0,0,1,,,,,,,,,
68.77,0,0,0,1,,,,,,,,,
75.45,0,0,0,1,,,,,,,,,
74.57,0,0,0,1,,,,,,,,,
84.03,0,0,0,1,,,,,,,,,
51.25,0,0,0,1,,,,,,,,,
80.67,0,0,0,1,,,,,,,,,
63.38,0,0,0,1,,,,,,,,,
81.85,0,0,0,1,,,,,,,,,
74.98,0,0,0,1,,,,,,,,,
66.73,0,0,0,1,,,,,,,,,
76.55,0,0,0,1,,,,,,,,,
40.92,0,0,0,1,,,,,,,,,
79.95,0,0,0,1,,,,,,,,,
74.73,0,0,0,1,,,,,,,,,
69.36,0,0,0,1,,,,,,,,,
37.97,0,0,0,1,,,,,,,,,
73.17,0,0,0,1,,,,,,,,,
67.37,0,0,0,1,,,,,,,,,
75,0,0,0,1,,,,,,,,,
67.22,0,0,0,1,,,,,,,,,
74.65,0,0,0,1,,,,,,,,,
74.36,0,0,0,1,,,,,,,,,
73.22,0,0,0,1,,,,,,,,,
65.76,0,0,0,1,,,,,,,,,
43.15,0,0,0,1,,,,,,,,,
89.82,0,0,0,1,,,,,,,,,
74.87,0,0,0,1,,,,,,,,,
77.51,0,0,0,1,,,,,,,,,
47.01,0,0,0,1,,,,,,,,,
61.86,0,0,0,1,,,,,,,,,
52.97,0,0,0,1,,,,,,,,,
69.61,0,0,0,1,,,,,,,,,
66.14,0,0,0,1,,,,,,,,,
42.77,0,0,0,1,,,,,,,,,
47.28,0,0,0,1,,,,,,,,,
80.08,0,0,0,1,,,,,,,,,
74.47,0,0,0,1,,,,,,,,,
73.12,0,0,0,1,,,,,,,,,
69.77,0,0,0,1,,,,,,,,,
66.73,0,0,0,1,,,,,,,,,
64.91,0,0,0,1,,,,,,,,,
69.93,0,0,0,1,,,,,,,,,
84.3,0,0,0,1,,,,,,,,,
79.92,0,0,0,1,,,,,,,,,
59.07,0,0,0,1,,,,,,,,,
70.75,0,0,0,1,,,,,,,,,
57.72,0,0,0,1,,,,,,,,,
61.62,0,0,0,1,,,,,,,,,
54.95,0,0,0,1,,,,,,,,,
71.71,0,0,0,1,,,,,,,,,
51.21,0,0,0,1,,,,,,,,,
73.41,0,0,0,1,,,,,,,,,
47.85,0,0,0,1,,,,,,,,,
58.32,0,0,0,1,,,,,,,,,
57.96,0,0,0,1,,,,,,,,,
80.75,0,0,0,1,,,,,,,,,
77.99,0,0,0,1,,,,,,,,,
66.54,0,0,0,1,,,,,,,,,
65.11,0,0,0,1,,,,,,,,,
73.47,0,0,0,1,,,,,,,,,
55.58,0,0,0,1,,,,,,,,,
68.87,0,0,0,1,,,,,,,,,
64.09,0,0,0,1,,,,,,,,,
67.53,0,0,0,1,,,,,,,,,
62.94,0,0,0,1,,,,,,,,,
76.71,0,0,0,1,,,,,,,,,
73.98,0,0,0,1,,,,,,,,,
78.23,0,0,0,1,,,,,,,,,
39.67,0,0,0,1,,,,,,,,,
48.45,0,0,0,1,,,,,,,,,
79.1,0,0,0,1,,,,,,,,,
62.5,0,0,0,1,,,,,,,,,
78.75,0,0,0,1,,,,,,,,,
65.91,0,0,0,1,,,,,,,,,
64.94,0,0,0,1,,,,,,,,,
62.23,0,0,0,1,,,,,,,,,
77.82,0,0,0,1,,,,,,,,,
62.69,0,0,0,1,,,,,,,,,
69.36,0,0,0,1,,,,,,,,,
80.31,0,0,0,1,,,,,,,,,
84.8,0,0,0,1,,,,,,,,,
56.66,0,0,0,1,,,,,,,,,
74.92,0,0,0,1,,,,,,,,,
81.67,0,0,0,1,,,,,,,,,
62.45,0,0,0,1,,,,,,,,,
63.89,0,0,0,1,,,,,,,,,
83.57,0,0,0,1,,,,,,,,,
66.58,0,0,0,1,,,,,,,,,
81.42,0,0,0,1,,,,,,,,,
67.8,0,0,0,1,,,,,,,,,
76.91,0,0,0,1,,,,,,,,,
67.31,0,0,0,1,,,,,,,,,
59.72,0,0,0,1,,,,,,,,,
74.17,0,0,0,1,,,,,,,,,
70.68,0,0,0,1,,,,,,,,,
63.07,0,0,0,1,,,,,,,,,
85,0,0,0,1,,,,,,,,,
67.78,0,0,0,1,,,,,,,,,
70.48,0,0,0,1,,,,,,,,,
78.29,0,0,0,1,,,,,,,,,
66.15,0,0,0,1,,,,,,,,,
67.94,0,0,0,1,,,,,,,,,
73.29,0,0,0,1,,,,,,,,,
70.3,0,0,0,1,,,,,,,,,
80.94,0,0,0,1,,,,,,,,,
71.57,0,0,0,1,,,,,,,,,
68.08,0,0,0,1,,,,,,,,,
75.04,0,0,0,1,,,,,,,,,
58.04,0,0,0,1,,,,,,,,,
71.14,0,0,0,1,,,,,,,,,
45.8,0,0,0,1,,,,,,,,,
80.47,0,0,0,1,,,,,,,,,
73.23,0,0,0,1,,,,,,,,,
76.12,0,0,0,1,,,,,,,,,
80.89,0,0,0,1,,,,,,,,,
54.06,0,0,0,1,,,,,,,,,
86.85,0,0,0,1,,,,,,,,,
74.43,0,0,0,1,,,,,,,,,
48.43,0,0,0,1,,,,,,,,,
49.56,0,0,0,1,,,,,,,,,
57.53,0,0,0,1,,,,,,,,,
69.64,0,0,0,1,,,,,,,,,
26.5,0,0,0,1,,,,,,,,,
67.04,0,0,0,1,,,,,,,,,
59.69,0,0,0,1,,,,,,,,,
75.83,0,0,0,1,,,,,,,,,
58.23,0,0,0,1,,,,,,,,,
84.91,0,0,0,1,,,,,,,,,
54.95,0,0,0,1,,,,,,,,,
75.83,0,0,0,1,,,,,,,,,
56.7,0,0,0,1,,,,,,,,,
58.23,0,0,0,1,,,,,,,,,
80.18,0,0,0,1,,,,,,,,,
48.96,0,0,0,1,,,,,,,,,
64.09,0,0,0,1,,,,,,,,,
81.37,0,0,0,1,,,,,,,,,
73.61,0,0,0,1,,,,,,,,,
70.09,0,0,0,1,,,,,,,,,
84.48,0,0,0,1,,,,,,,,,
84.76,0,0,0,1,,,,,,,,,
87.93,0,0,0,1,,,,,,,,,
81.07,0,0,0,1,,,,,,,,,
77.98,0,0,0,1,,,,,,,,,
71.42,0,0,0,1,,,,,,,,,
83.78,0,0,0,1,,,,,,,,,
80.98,0,0,0,1,,,,,,,,,
45.89,0,0,0,1,,,,,,,,,
63.78,0,0,0,1,,,,,,,,,
81.86,0,0,0,1,,,,,,,,,
68.04,0,0,0,1,,,,,,,,,
57.45,0,0,0,1,,,,,,,,,
81.07,0,0,0,1,,,,,,,,,
53.99,0,0,0,1,,,,,,,,,
73.55,0,0,0,1,,,,,,,,,
75.82,0,0,0,1,,,,,,,,,
78.5,0,0,0,1,,,,,,,,,
82.81,0,0,0,1,,,,,,,,,
72.63,0,0,0,1,,,,,,,,,
60.27,0,0,0,1,,,,,,,,,
57.99,0,0,0,1,,,,,,,,,
77.15,0,0,0,1,,,,,,,,,
67.88,0,0,0,1,,,,,,,,,
68.44,0,0,0,1,,,,,,,,,
54.49,0,0,0,1,,,,,,,,,
40.84,0,0,0,1,,,,,,,,,
69.24,0,0,0,1,,,,,,,,,
56.49,0,0,0,1,,,,,,,,,
67.7,0,0,0,1,,,,,,,,,
68.24,0,0,0,1,,,,,,,,,
72.92,0,0,0,1,,,,,,,,,
83.31,0,0,0,1,,,,,,,,,
88.1,0,0,0,1,,,,,,,,,
50.65,0,0,0,1,,,,,,,,,
75,0,0,0,1,,,,,,,,,
30.36,0,0,0,1,,,,,,,,,
66.42,0,0,0,1,,,,,,,,,
64.27,0,0,0,1,,,,,,,,,
78.24,0,0,0,1,,,,,,,,,
72.47,0,0,0,1,,,,,,,,,
74.9,0,0,0,1,,,,,,,,,
82.27,0,0,0,1,,,,,,,,,
69,0,0,0,1,,,,,,,,,
56.85,0,0,0,1,,,,,,,,,
79.18,0,0,0,1,,,,,,,,,
78.77,0,0,0,1,,,,,,,,,
